ClassName,Changes,TotalCommits,Insertions,Deletions
ArrayUtils,3,34,7170,1344
CompareToBuilder,1,34,1120,99
EqualsBuilder,1,34,1115,170
HashCodeBuilder,1,34,1230,268
ToStringStyle,1,34,2494,214
CharRange,3,34,400,40
ClassUtils,3,34,1391,259
EnumUtils,1,34,415,104
ContextedException,1,34,366,113
ContextedRuntimeException,1,34,370,116
DefaultExceptionContext,1,34,275,110
ExceptionUtils,1,34,788,91
Range,2,34,802,307
ConstructorUtils,1,34,620,337
MemberUtils,1,34,270,85
MethodUtils,1,34,864,343
StringEscapeUtils,1,34,770,107
StringUtils,4,34,10612,3285
ExtendedMessageFormat,1,34,619,84
FormatFactory,1,34,44,2
StrLookup,1,34,182,10
StrSubstitutor,1,34,1054,128
DateUtils,4,34,2208,320
Validate,1,34,1637,557
ArrayUtilsAddTest,2,34,703,91
ArrayUtilsTest,2,34,3919,842
CharRangeTest,1,34,648,246
ClassUtilsTest,2,34,1416,192
CallableBackgroundInitializerTest,1,34,119,23
TimedSemaphoreTest,2,34,53,56
ExceptionUtilsTest,1,34,594,62
StringUtilsTest,2,34,2643,325
DateUtilsTest,2,34,1954,259
