ClassName,Changes,TotalCommits,Insertions,Deletions
DifferentiableMultivariateRealFunction,1,67,0,0
DifferentiableMultivariateVectorialFunction,1,67,0,0
DifferentiableUnivariateMatrixFunction,2,67,0,0
DifferentiableUnivariateRealFunction,2,67,0,0
DifferentiableUnivariateVectorialFunction,2,67,0,0
LegendreGaussIntegrator,1,67,0,0
RombergIntegrator,2,67,0,0
SimpsonIntegrator,2,67,0,0
TrapezoidIntegrator,2,67,0,0
UnivariateRealIntegratorImpl,2,67,0,0
UnivariateRealIntegrator,1,67,0,0
DividedDifferenceInterpolator,2,67,0,0
LoessInterpolator,5,67,0,0
MicrosphereInterpolatingFunction,4,67,0,0
MicrosphereInterpolator,3,67,0,0
MultivariateRealInterpolator,2,67,0,0
SplineInterpolator,1,67,0,0
UnivariateRealInterpolator,3,67,0,0
MultivariateMatrixFunction,1,67,0,0
MultivariateRealFunction,1,67,0,0
MultivariateVectorialFunction,1,67,0,0
PolynomialFunction,1,67,0,0
PolynomialFunctionLagrangeForm,4,67,0,0
PolynomialFunctionNewtonForm,3,67,0,0
PolynomialSplineFunction,1,67,0,0
PolynomialsUtils,1,67,0,0
BisectionSolver,1,67,0,0
BrentSolver,2,67,0,0
LaguerreSolver,2,67,0,0
MullerSolver,2,67,0,0
NewtonSolver,1,67,0,0
RiddersSolver,2,67,0,0
SecantSolver,1,67,0,0
UnivariateRealSolverFactoryImpl,1,67,0,0
UnivariateRealSolverFactory,1,67,0,0
UnivariateRealSolverImpl,3,67,0,0
UnivariateRealSolver,1,67,0,0
UnivariateRealSolverUtils,3,67,0,0
UnivariateMatrixFunction,2,67,0,0
UnivariateRealFunction,2,67,0,0
UnivariateVectorialFunction,2,67,0,0
ArgumentOutsideDomainException,1,67,0,0
ComplexField,3,67,0,0
ComplexFormat,2,67,0,0
Complex,6,67,0,0
ComplexUtils,1,67,0,0
ConvergenceException,1,67,0,0
ConvergingAlgorithmImpl,1,67,0,0
ConvergingAlgorithm,2,67,0,0
DimensionMismatchException,2,67,0,0
AbstractContinuousDistribution,1,67,0,0
AbstractDistribution,1,67,0,0
AbstractIntegerDistribution,2,67,0,0
BinomialDistributionImpl,3,67,0,0
BinomialDistribution,1,67,0,0
CauchyDistributionImpl,1,67,0,0
CauchyDistribution,1,67,0,0
ChiSquaredDistributionImpl,1,67,0,0
ChiSquaredDistribution,1,67,0,0
ContinuousDistribution,1,67,0,0
DiscreteDistribution,1,67,0,0
Distribution,1,67,0,0
ExponentialDistributionImpl,1,67,0,0
ExponentialDistribution,1,67,0,0
FDistributionImpl,1,67,0,0
FDistribution,1,67,0,0
GammaDistributionImpl,1,67,0,0
GammaDistribution,1,67,0,0
HypergeometricDistributionImpl,3,67,0,0
HypergeometricDistribution,2,67,0,0
IntegerDistribution,1,67,0,0
NormalDistributionImpl,1,67,0,0
PascalDistribution,1,67,0,0
PoissonDistributionImpl,3,67,0,0
PoissonDistribution,2,67,0,0
SaddlePointExpansion,2,67,0,0
TDistributionImpl,1,67,0,0
TDistribution,1,67,0,0
WeibullDistributionImpl,2,67,0,0
WeibullDistribution,1,67,0,0
ZipfDistributionImpl,1,67,0,0
ZipfDistribution,2,67,0,0
DuplicateSampleAbscissaException,2,67,0,0
AbstractEstimator,4,67,0,0
EstimatedParameter,1,67,0,0
EstimationException,1,67,0,0
EstimationProblem,2,67,0,0
Estimator,2,67,0,0
GaussNewtonEstimator,1,67,0,0
LevenbergMarquardtEstimator,4,67,0,0
SimpleEstimationProblem,2,67,0,0
WeightedMeasurement,2,67,0,0
FieldElement,1,67,0,0
Field,1,67,0,0
AbstractFormat,1,67,0,0
BigFractionField,3,67,0,0
BigFractionFormat,1,67,0,0
BigFraction,2,67,0,0
FractionConversionException,1,67,0,0
FractionField,3,67,0,0
FractionFormat,1,67,0,0
Fraction,1,67,0,0
ProperBigFractionFormat,1,67,0,0
ProperFractionFormat,1,67,0,0
FunctionEvaluationException,1,67,0,0
AbstractListChromosome,2,67,0,0
BinaryChromosome,2,67,0,0
BinaryMutation,1,67,0,0
Chromosome,1,67,0,0
ChromosomePair,1,67,0,0
CrossoverPolicy,1,67,0,0
ElitisticListPopulation,1,67,0,0
Fitness,2,67,0,0
FixedGenerationCount,1,67,0,0
GeneticAlgorithm,3,67,0,0
InvalidRepresentationException,1,67,0,0
ListPopulation,1,67,0,0
MutationPolicy,1,67,0,0
OnePointCrossover,1,67,0,0
PermutationChromosome,2,67,0,0
Population,1,67,0,0
RandomKey,2,67,0,0
RandomKeyMutation,1,67,0,0
SelectionPolicy,1,67,0,0
StoppingCondition,1,67,0,0
TournamentSelection,1,67,0,0
CardanEulerSingularityException,2,67,0,0
NotARotationMatrixException,2,67,0,0
RotationOrder,1,67,0,0
Vector3D,2,67,0,0
AbstractFieldMatrix,3,67,0,0
AbstractRealMatrix,2,67,0,0
Array2DRowFieldMatrix,1,67,0,0
Array2DRowRealMatrix,1,67,0,0
ArrayFieldVector,2,67,0,0
ArrayRealVector,1,67,0,0
BiDiagonalTransformer,1,67,0,0
BigMatrixImpl,3,67,0,0
BigMatrix,2,67,0,0
BlockFieldMatrix,3,67,0,0
BlockRealMatrix,3,67,0,0
CholeskyDecompositionImpl,1,67,0,0
CholeskyDecomposition,2,67,0,0
DecompositionSolver,1,67,0,0
DefaultFieldMatrixChangingVisitor,1,67,0,0
DefaultFieldMatrixPreservingVisitor,1,67,0,0
DefaultRealMatrixChangingVisitor,1,67,0,0
DefaultRealMatrixPreservingVisitor,1,67,0,0
EigenDecompositionImpl,6,67,0,0
EigenDecomposition,2,67,0,0
FieldLUDecompositionImpl,1,67,0,0
FieldLUDecomposition,2,67,0,0
FieldMatrixChangingVisitor,1,67,0,0
FieldMatrix,2,67,0,0
FieldMatrixPreservingVisitor,1,67,0,0
FieldVector,2,67,0,0
LUDecompositionImpl,2,67,0,0
LUDecomposition,2,67,0,0
MatrixUtils,2,67,0,0
NotPositiveDefiniteMatrixException,1,67,0,0
NotSymmetricMatrixException,1,67,0,0
OpenMapRealMatrix,2,67,0,0
OpenMapRealVector,2,67,0,0
QRDecompositionImpl,2,67,0,0
QRDecomposition,2,67,0,0
RealMatrixChangingVisitor,1,67,0,0
