ClassName,Changes,TotalCommits,Insertions,Deletions
Answers,2,82,0,0
ArgumentCaptor,1,82,135,44
Captor,4,82,0,0
AnnotationEngine,2,82,34,0
DefaultMockitoConfiguration,1,82,52,4
Reporter,7,82,1072,608
InjectMock,4,82,0,0
InjectMocks,2,82,0,0
InOrder,3,82,23,24
DefaultAnnotationEngine,6,82,34,1
DefaultInjectionEngine,4,82,0,0
GlobalConfiguration,1,82,89,67
InjectingAnnotationEngine,6,82,0,0
SpyAnnotationEngine,4,82,0,0
DelegatingMethod,1,82,0,0
MockSettingsImpl,1,82,32,15
DebuggingInfo,2,82,160,128
FindingsListener,3,82,0,0
LoggingListener,3,82,0,0
MockitoDebuggerImpl,2,82,0,0
WarningsCollector,2,82,0,0
WarningsFinder,5,82,0,0
WarningsPrinterImpl,4,82,0,0
ExceptionIncludingMockitoWarnings,3,82,0,0
InOrderImpl,4,82,44,1
AllInvocationsFinder,2,82,41,1
Invocation,1,82,616,390
InvocationMarker,1,82,0,0
InvocationMatcher,2,82,260,150
InvocationsFinder,2,82,276,134
SerializableMethod,1,82,0,0
StubInfo,1,82,0,0
UnusedStubsFinder,1,82,0,0
CollectCreatedMocks,3,82,0,0
MockingProgressListener,2,82,0,0
MockingStartedListener,4,82,0,0
Equals,1,82,129,50
MockHandlerInterface,3,82,0,0
MockHandler,4,82,878,754
MockitoCore,4,82,186,168
MockingProgressImpl,3,82,196,87
MockingProgress,4,82,66,28
ThreadSafeMockingProgress,4,82,109,40
JUnit44RunnerImpl,2,82,41,0
JUnit45AndHigherRunnerImpl,2,82,4,1
RunnerImpl,2,82,4,0
AnswersValidator,1,82,63,0
ClonesArguments,2,82,0,0
Answers,4,82,0,0
ReturnsDeepMocks,3,82,0,0
ReturnsDeepStubs,5,82,0,0
ReturnsMocks,1,82,35,0
InvocationContainerImpl,1,82,0,0
InvocationContainer,1,82,0,0
ArrayUtils,2,82,0,0
ConsoleMockitoLogger,1,82,0,0
IdentitySet,1,82,0,0
JUnitFailureHacker,4,82,0,0
MockCreationValidator,1,82,0,0
MockitoLoggerImpl,2,82,15,11
MockUtil,1,82,263,172
FieldReader,2,82,0,0
FieldSetter,2,82,0,0
LenientCopyTool,1,82,0,0
SimpleMockitoLogger,1,82,0,0
InOrderContext,1,82,0,0
VerificationDataInOrderImpl,1,82,0,0
VerificationDataInOrder,1,82,0,0
VerificationInOrderMode,1,82,11,0
AtLeast,2,82,77,18
AtMost,1,82,43,0
AtLeastXNumberOfInvocationsInOrderChecker,1,82,51,17
MissingInvocationInOrderChecker,3,82,46,3
NumberOfInvocationsInOrderChecker,1,82,58,11
InOrderContextImpl,1,82,0,0
InOrderWrapper,3,82,29,0
NoMoreInteractions,2,82,24,2
Only,1,82,0,0
Times,2,82,79,23
VerificationDataImpl,2,82,6,4
VerificationModeFactory,1,82,15,16
Matchers,2,82,1597,1833
MockitoAnnotations,5,82,86,51
MockitoDebugger,1,82,0,0
Mockito,14,82,4567,3178
Mock,3,82,48,9
ConsoleSpammingMockitoJUnitRunner,7,82,135,0
MockitoJUnitRunner,1,82,100,36
VerboseMockitoJUnitRunner,9,82,159,159
Spy,3,82,0,0
ReturnsElementsOf,1,82,0,0
ClonesArguments,2,82,0,0
