ClassName,Changes,TotalCommits,Insertions,Deletions
AlreadySelectedException,2,160,6,2
AmbiguousOptionException,7,160,21,16
BasicParser,4,160,7,4
CommandLine,9,160,28,36
CommandLineParser,1,160,1,2
DefaultParser,9,160,78,73
GnuParser,6,160,7,6
HelpFormatter,19,160,154,102
MissingArgumentException,2,160,6,2
MissingOptionException,6,160,18,15
OptionBuilder,11,160,49,30
OptionGroup,4,160,9,9
Option,24,160,341,40
Options,12,160,47,39
OptionValidator,7,160,11,12
package-info,2,76,23,0
ParseException,2,160,6,2
Parser,12,160,31,31
PatternOptionBuilder,8,160,42,36
PosixParser,9,160,16,19
TypeHandler,6,160,35,31
UnrecognizedOptionException,2,160,6,2
Util,5,160,3,4
ApplicationTest,3,160,59,7
ArgumentIsOptionTest,3,160,11,2
BasicParserTest,3,160,28,4
BugCLI133Test,2,160,7,6
BugCLI13Test,2,160,8,6
BugCLI148Test,3,160,10,5
BugCLI162Test,3,160,96,18
BugCLI18Test,1,160,3,3
BugCLI71Test,4,160,14,6
BugsTest,1,27,377,0
BugsTest,6,160,0,386
CommandLineTest,3,160,21,6
DefaultParserTest,2,160,3,4
GnuParserTest,3,160,26,1
HelpFormatterTest,5,160,82,55
OptionBuilderTest,5,160,25,10
OptionGroupTest,4,160,24,7
OptionsTest,4,160,22,10
OptionTest,6,160,86,7
ParserTestCase,4,160,73,9
PatternOptionBuilderTest,3,160,21,7
PosixParserTest,3,160,13,2
UtilTest,1,160,7,5
ValuesTest,3,160,27,13
ValueTest,4,160,23,3
