ClassName,Changes,TotalCommits,Insertions,Deletions
CoalesceVariableNames,1,16,65,93
Compiler,1,16,1,1
DefaultPassConfig,1,16,14,3
FlowSensitiveInlineVariables,1,16,4,1
FunctionTypeBuilder,1,16,1,1
NodeUtil,2,16,21,1
JsDocInfoParser,1,16,84,48
PassConfig,1,16,4,1
PeepholeFoldConstants,1,16,61,0
PrepareAst,1,16,36,12
ReplaceIdGenerators,1,16,45,0
Result,1,16,5,3
TypedScopeCreator,4,16,305,265
TypeInference,2,16,57,41
JSDocInfoBuilder,1,16,4,0
JSTypeRegistry,1,16,12,0
FlowSensitiveInlineVariablesTest,1,16,13,0
ParserTest,1,16,15,0
PeepholeFoldConstantsTest,1,16,10,0
TypeCheckTest,5,16,88,1
TypedScopeCreatorTest,2,16,45,0
