ClassName,Changes,TotalCommits,Insertions,Deletions
Bag,1,68,7,0
BidiMap,1,68,2,0
ClosureUtils,2,68,8,2
PredicatedCollection,2,68,37,0
CollectionUtils,3,68,6,2
ComparatorChain,1,68,1,1
FixedOrderComparator,1,68,1,1
NullComparator,1,68,2,2
FactoryUtils,2,68,8,2
AbstractQuantifierPredicate,1,68,1,0
AllPredicate,1,68,1,0
AndPredicate,1,68,2,0
AnyPredicate,1,68,1,0
CatchAndRethrowClosure,1,68,1,0
ChainedClosure,1,68,1,0
ChainedTransformer,1,68,1,0
ClosureTransformer,1,68,1,0
ComparatorPredicate,1,68,1,0
ConstantFactory,1,68,1,0
ConstantTransformer,1,68,1,0
DefaultEquator,1,68,2,0
EqualPredicate,1,68,1,0
ExceptionClosure,1,68,1,0
ExceptionFactory,1,68,1,0
ExceptionPredicate,1,68,1,0
ExceptionTransformer,1,68,1,0
FactoryTransformer,1,68,1,0
FalsePredicate,1,68,1,0
IdentityPredicate,1,68,1,0
IfClosure,1,68,1,0
IfTransformer,1,68,1,0
InstanceofPredicate,1,68,1,0
MapTransformer,1,68,1,0
NonePredicate,1,68,1,0
NOPClosure,1,68,1,0
NOPTransformer,1,68,1,0
NotNullPredicate,1,68,1,0
NotPredicate,1,68,2,0
NullIsExceptionPredicate,1,68,2,0
NullIsFalsePredicate,1,68,2,0
NullIsTruePredicate,1,68,2,0
NullPredicate,1,68,1,0
OnePredicate,1,68,1,0
OrPredicate,1,68,2,0
PredicateTransformer,1,68,1,0
StringValueTransformer,1,68,1,0
SwitchClosure,1,68,1,0
SwitchTransformer,1,68,1,0
TransformedPredicate,1,68,2,0
TransformerClosure,1,68,1,0
TransformerPredicate,1,68,1,0
TruePredicate,1,68,1,0
UniquePredicate,1,68,1,0
IterableUtils,1,68,7,4
AbstractIteratorDecorator,1,68,1,0
AbstractListIteratorDecorator,1,68,9,0
AbstractMapIteratorDecorator,1,68,6,0
AbstractOrderedMapIteratorDecorator,1,68,8,0
AbstractUntypedIteratorDecorator,1,68,2,0
ArrayIterator,2,68,5,0
ArrayListIterator,1,68,6,0
BoundedIterator,1,68,3,0
CollatingIterator,1,68,3,0
EntrySetMapIterator,1,68,7,0
EnumerationIterator,2,68,5,2
FilterIterator,1,68,3,0
FilterListIterator,1,68,9,0
IteratorChain,1,68,3,0
IteratorEnumeration,1,68,2,0
IteratorIterable,1,68,4,0
LazyIteratorChain,1,68,3,0
ListIteratorWrapper,1,68,10,0
LoopingIterator,1,68,4,0
LoopingListIterator,1,68,10,0
NodeListIterator,1,68,3,0
ObjectArrayIterator,3,68,6,1
ObjectArrayListIterator,1,68,6,0
ObjectGraphIterator,1,68,3,0
PeekingIterator,1,68,3,0
PermutationIterator,2,68,6,3
PushbackIterator,2,68,4,1
ReverseListIterator,1,68,10,0
SingletonIterator,1,68,4,0
SingletonListIterator,1,68,10,0
TransformIterator,1,68,3,0
UnmodifiableIterator,1,68,3,0
UnmodifiableListIterator,1,68,9,0
UnmodifiableMapIterator,1,68,6,0
UnmodifiableOrderedMapIterator,1,68,8,0
ZippingIterator,1,68,3,0
IteratorUtils,1,68,6,3
AbstractKeyValue,1,68,2,0
AbstractMapEntryDecorator,1,68,3,0
TiedMapEntry,1,68,3,0
AbstractLinkedList,1,68,32,0
AbstractListDecorator,1,68,10,0
FixedSizeList,1,68,2,0
PredicatedList,1,68,10,0
TransformedList,1,68,10,0
TreeList,1,68,9,0
ListUtils,2,68,4,1
AbstractHashedMap,1,68,11,0
AbstractIterableMap,1,68,1,0
AbstractLinkedMap,1,68,15,0
AbstractMapDecorator,1,68,12,0
AbstractOrderedMapDecorator,1,68,4,0
AbstractReferenceMap,1,68,7,0
AbstractSortedMapDecorator,1,68,10,0
CompositeMap,1,68,12,0
EntrySetToMapIteratorAdapter,1,68,7,0
FixedSizeMap,1,68,2,0
FixedSizeSortedMap,1,68,2,0
Flat3Map,1,68,26,0
MapIterator,1,68,3,0
LazySortedMap,1,68,6,0
ListOrderedMap,1,68,16,0
LRUMap,1,68,2,0
MultiValueMap,1,68,17,1
PassiveExpiringMap,1,68,1,0
PredicatedSortedMap,1,68,6,0
SingletonMap,1,68,30,0
StaticBucketMap,1,68,18,0
TransformedSortedMap,1,68,6,0
MapUtils,1,68,9,0
AbstractListValuedMap,2,68,25,42
AbstractMultiValuedMapDecorator,1,68,2,0
AbstractMultiValuedMap,7,68,254,197
AbstractSetValuedMap,3,68,28,36
ArrayListValuedHashMap,2,58,143,0
HashSetValuedHashMap,2,58,131,0
MultiMap,1,68,6,0
MultiValuedHashMap,1,68,0,259
package-info,1,68,2,3
TransformedMultiValuedMap,1,68,1,1
