ClassName,Changes,TotalCommits,Insertions,Deletions
ArchiveStreamFactory,2,9,35,18
CpioArchiveInputStream,1,9,7,3
CpioArchiveOutputStream,1,9,7,3
DumpArchiveInputStream,1,9,8,4
JarArchiveInputStream,1,9,16,0
JarArchiveOutputStream,1,9,12,0
TarArchiveInputStream,1,9,9,5
TarArchiveOutputStream,1,9,8,4
ZipArchiveInputStream,1,9,8,0
CompressorStreamFactory,1,9,1,0
AbstractTestCase,2,9,10,17
ArchiveReadTest,2,2,108,0
ArArchiveInputStreamTest,1,9,5,0
ArArchiveOutputStreamTest,1,9,5,0
ArchiveOutputStreamTest,1,9,10,10
ArchiveStreamFactoryTest,1,9,254,0
ArjArchiveInputStreamTest,1,9,6,0
ArTestCase,1,9,13,0
CpioArchiveInputStreamTest,1,9,5,0
CpioArchiveOutputStreamTest,1,9,4,0
CpioTestCase,1,9,9,0
DumpArchiveInputStreamTest,1,9,5,1
DumpTestCase,1,9,9,0
ExceptionMessageTest,1,9,11,7
JarArchiveOutputStreamTest,1,9,5,3
JarTestCase,1,9,5,0
LongPathTest,1,9,42,50
LongSymLinkTest,1,0,157,0
MemoryArchiveTestCase,1,9,5,2
SevenZFileTest,1,9,14,0
SevenZOutputFileTest,1,9,33,0
SevenZTestCase,1,9,7,0
SparseFilesTest,1,9,4,2
TarArchiveEntryTest,1,9,10,3
TarArchiveOutputStreamTest,1,9,31,2
TarUtilsTest,1,9,21,2
TarTestCase,1,9,13,0
AsiExtraFieldTest,1,9,10,7
BinaryTreeTest,1,9,5,2
BitStreamTest,1,9,9,2
CircularBufferTest,1,9,6,2
EncryptedArchiveTest,1,9,5,2
ExplodeSupportTest,2,9,13,6
ExtraFieldUtilsTest,1,9,12,7
GeneralPurposeBitTest,1,9,11,2
Maven221MultiVolumeTest,1,9,6,4
ZipTestCase,1,9,17,0
UTF8ZipFilesTest,1,9,20,0
X5455_ExtendedTimestampTest,1,9,1,0
Zip64ExtendedInformationExtraFieldTest,1,9,16,5
ZipArchiveEntryTest,1,9,13,7
ZipEightByteIntegerTest,1,9,11,7
ZipEncodingTest,1,9,14,8
ZipFileTest,1,9,16,4
ZipLongTest,1,9,11,7
ZipShortTest,1,9,11,7
ZipUtilTest,1,9,17,16
ArchiveUtilsTest,1,9,7,0
ChainingTestCase,1,9,5,0
ChangeSetTestCase,1,9,31,0
BZip2TestCase,1,9,8,0
BZip2UtilsTestCase,1,9,6,2
DeflateTestCase,1,9,5,0
DetectCompressorTestCase,1,9,6,7
FramedSnappyTestCase,1,9,5,1
GZipTestCase,1,9,16,0
GzipUtilsTestCase,1,9,6,2
LZMATestCase,1,9,2,0
Pack200UtilsTest,1,9,3,0
Pack200TestCase,1,9,14,0
FramedSnappyCompressorInputStreamTest,1,9,9,2
XZTestCase,1,9,7,0
XZUtilsTestCase,1,9,11,2
ZTestCase,1,9,7,0
DetectArchiverTestCase,1,9,9,3
IOMethodsTest,1,9,17,0
