ClassName,Changes,TotalCommits,Insertions,Deletions
GeneratorBase,3,21,52,41
ParserBase,5,21,20,11
ParserMinimalBase,6,21,87,85
SerializedString,1,21,8,0
ByteSourceJsonBootstrapper,1,21,7,10
DupDetector,2,9,90,0
JsonEncoding,1,21,11,6
JsonGenerator,1,21,23,3
JsonReadContext,2,21,55,13
JsonWriteContext,1,21,40,12
JsonParseException,1,21,1,1
JsonParser,4,21,47,7
ReaderBasedJsonParser,4,21,67,41
JsonTokenId,2,13,87,0
JsonToken,3,21,76,26
UTF8JsonGenerator,2,21,101,89
UTF8StreamJsonParser,6,21,170,127
SerializableString,1,21,5,3
JsonParserDelegate,1,21,5,0
TestBase64Parsing,1,21,1,0
TestGeneratorDupHandling,1,7,72,0
TestJsonGenerator,1,21,2,2
TestJsonParser,2,21,2,5
TestLocation,1,4,53,0
TestNumericValues,1,21,1,1
TestParserDupHandling,2,9,58,0
TestParserErrorHandling,1,21,35,1
TestParserNonStandard,1,21,27,5
TestRootValueParsing,2,20,0,0
TestRootValues,1,3,82,0
TestUtf8Generator,1,21,13,2
TestValueConversions,2,21,4,6
TestGeneratorMisc,1,21,1,0
TestJsonParserSymbols,1,21,1,0
