ClassName,Changes,TotalCommits,Insertions,Deletions
AbstractTypeResolver,1,66,1,1
AnnotationIntrospector,1,66,19,22
MapperBuilder,2,65,556,0
BasicDeserializerFactory,2,66,7,2
BeanDeserializer,1,66,0,0
DeserializationConfig,1,66,72,2
DeserializationContext,4,66,15,16
DeserializationFeature,1,66,2,2
EnumDeserializer,1,66,1,1
EnumMapDeserializer,1,66,1,1
StdDeserializer,2,66,4,1
StdKeyDeserializer,4,66,8,3
StdKeyDeserializers,1,66,1,3
StdValueInstantiator,2,66,13,2
ValueInstantiationException,1,65,57,0
NioPathDeserializer,1,66,0,0
JsonMapper,3,65,159,0
JsonNode,3,66,25,4
SubTypeValidator,3,66,1,1
TypeDeserializerBase,1,66,2,2
MapperFeature,1,66,3,3
Module,1,66,1,1
ArrayNode,3,66,5,17
BaseJsonNode,2,66,16,0
BinaryNode,1,66,0,10
ContainerNode,1,66,17,8
InternalNodeMapper,1,65,37,0
JsonNodeCreator,1,66,3,0
JsonNodeFactory,1,66,5,0
MissingNode,1,66,0,6
ObjectNode,2,66,3,19
POJONode,1,66,0,14
TextNode,2,66,2,14
TreeTraversingParser,2,66,19,11
ValueNode,2,66,6,6
ObjectMapper,13,66,123,149
ObjectReader,6,66,63,22
SerializationConfig,2,66,71,1
PropertySerializerMap,1,66,26,5
NumberSerializers,1,66,23,12
TypeFactory,4,66,17,9
BaseMapTest,4,66,13,1
DeserializationConfigTest,1,66,7,7
SerConfigTest,1,66,5,11
CreatorPropertiesTest,2,66,3,2
TestCreators2,1,66,11,7
TestCreators3,2,66,7,7
HugeIntegerCoerceTest,2,66,2,3
NullConversionsForContentTest,1,66,5,5
ProblemHandlerTest,1,66,5,5
DateDeserializationTZTest,1,66,1,2
EnumAltIdTest,2,66,9,8
EnumDeserializationTest,2,66,5,4
JDKCollectionsDeserTest,1,66,1,1
JDKNumberDeserTest,2,66,3,2
MapDeserializationTest,1,66,2,2
MapKeyDeserializationTest,1,66,14,14
MapRelatedTypesDeserTest,1,66,1,1
UntypedDeserializationTest,1,66,27,0
ArrayMergeTest,1,66,2,2
CollectionMergeTest,1,66,2,2
MapMergeTest,1,66,2,2
MergeWithNullTest,1,66,2,2
NodeMergeTest,1,66,2,2
PropertyMergeTest,1,66,5,5
TestBasicAnnotations,2,66,9,6
TestSetterlessProperties,2,66,10,6
FullStreamReadTest,2,66,10,5
AutoDetect1947Test,2,66,3,2
BeanNamingTest,1,66,3,2
POJOPropertiesCollectorTest,1,66,6,4
TestInferredMutators,1,66,6,3
TestNamingStrategyStd,2,66,9,7
TestPropertyConflicts,2,66,6,5
TransientTest,1,66,3,2
VisibilityForSerializationTest,1,66,24,17
TestDefaultForArrays,1,66,6,1
ExternalTypeId999Test,1,66,1,1
TestBaseTypeAsDefault,1,66,6,4
TestGenericListSerialization,2,66,3,3
TestTypedArraySerialization,2,66,3,2
TestTypedContainerSerialization,1,66,1,1
MapperViaParserTest,1,66,24,24
AccessFixTest,1,66,3,2
CaseInsensitive1854Test,1,66,3,2
CaseInsensitiveDeserTest,1,66,4,6
MapperMixinsCopy1998Test,2,66,4,2
TestMixinMerging,1,66,10,10
TestMixinSerWithViews,2,66,10,8
TestAbstractTypes,1,66,2,2
TestDuplicateRegistration,1,66,9,6
ArrayNodeTest,1,66,3,0
EmptyContentAsTreeTest,4,65,140,0
JsonNodeFactoryTest,1,66,2,0
NodeTestBase,1,66,2,1
ObjectNodeTest,2,66,3,2
TestEndOfInputHandling,1,65,0,31
TestJsonNode,1,66,2,2
TestMissingNode,1,66,2,1
TestNullNode,1,66,1,0
TestTreeMapperSerializer,1,66,0,213
TestTreeTraversingParser,1,66,101,24
TextNodeTest,1,66,3,0
ToStringForNodesTest,1,65,37,0
TreeFromIncompleteJsonTest,1,65,36,0
TreeReadViaMapperTest,2,66,18,28
ObjectIdReordering1388Test,1,66,1,1
ObjectWithCreator1261Test,1,66,4,3
ObjectMapperTest,8,66,32,20
ObjectReaderTest,2,66,6,5
ObjectWriterTest,1,66,5,5
JsonValueTest,1,66,3,2
TestAnnotations,1,66,8,7
TestConfig,1,66,6,4
TestIterable,1,66,3,4
TestJsonSerialize,1,66,12,8
TestRootType,1,66,3,2
TestSerializationOrder,1,66,9,6
ScalarCoercionTest,1,66,6,6
TestUnwrapped,2,66,3,2
UnwrappedWithView1559Test,1,66,4,2
TestTokenBuffer,2,66,9,8
TestViewDeserialization,1,66,3,2
TestViewSerialization,1,66,3,2
TestViewsSerialization2,1,66,5,4
EnumAsIndexMapKey1877Test,2,66,0,2
NodeContext2049Test,1,66,0,0
RequireSetterForGetter736Test,1,66,6,5
StaticTyping1515Test,1,66,3,4
TestObjectIdWithUnwrapping1298,2,66,6,4
ManualReadPerfUntyped,2,66,6,5
ManualReadPerfUntypedReader,2,66,6,4
ManualReadPerfUntypedStream,2,66,7,5
ManualReadPerfWithMedia,1,66,3,3
ManualReadPerfWithRecord,1,66,2,2
ManualReadPerfWithUUID,1,66,2,2
ManualReadWithTypeResolution,1,66,2,1
ManualWritePerfUntyped,1,66,2,2
ManualWritePerfWithAllTypes,1,66,2,2
ManualWritePerfWithRecord,1,66,2,2
ManulWritePerfWithUUID,1,66,3,3
