ClassName,Changes,TotalCommits,Insertions,Deletions
FromXmlParser,2,112,68,19
WrapperHandlingDeserializer,1,112,18,26
XmlBeanDeserializerModifier,1,112,6,1
XmlReadContext,3,112,27,3
XmlStringDeserializer,1,17,70,0
XmlTextDeserializer,1,112,16,17
XmlTokenStream,6,112,97,68
JacksonXmlModule,1,112,7,4
XmlJaxbAnnotationIntrospector,1,112,0,65
ToXmlGenerator,4,112,118,22
XmlBeanSerializerBase,1,112,0,1
XmlBeanSerializer,1,112,6,7
XmlSerializerProvider,9,112,37,63
DefaultXmlPrettyPrinter,1,112,10,2
StaxUtil,3,112,42,2
TypeUtil,1,112,3,3
XmlFactory,4,112,38,34
XmlMapper,5,112,12,1
CaseInsensitiveDeserTest,3,23,56,0
DeserErrorHandling236Test,1,39,32,0
EmptyStringValueTest,3,47,71,0
ExceptionDeserializationTest,1,43,27,0
Issue274PropertyNameTest,2,2,65,0
NullConversionsGenericTest,1,6,142,0
NullConversionsSkipTest,1,6,106,0
SimpleStringValuesTest,1,47,130,0
TestStringValues162,2,104,0,0
XmlTokenStreamTest,1,46,128,0
CaseInsensitiveDeser273Test,3,19,74,0
DeserErrorHandling236Test,3,41,0,0
EnumIssue9Test,1,33,59,0
FailingDelegatingCreator254Test,1,31,38,0
MapperCopyTest,1,0,36,0
MixedContentTreeRead226Test,1,73,16,0
PolymorphicIssue4Test,2,33,94,0
TestPolymorphic,2,112,0,101
TestTypeAttributeOrder,2,59,0,0
TestUnwrappedDeserIssue86,1,112,0,2
TypeAttributeOrder242Test,2,41,53,0
MapperCopyTest,1,0,94,0
DTDSupportTest,1,41,23,0
RootNameTest,1,111,83,0
TestSerialization,1,112,10,68
XmlGeneratorTest,1,112,115,1
XmlParserTest,1,112,15,5
XmlTokenStreamTest,2,112,0,90
VersionInfoTest,3,112,0,46
XmlTestBase,3,112,34,2
