ClassName,Changes,TotalCommits,Insertions,Deletions
Element,1,40,1,1
Evaluator,4,40,282,71
Node,1,40,1,1
Parser,2,40,7,5
TokenQueue,3,40,19,19
Collector,1,40,1,1
Elements,2,40,31,3
AndSelector,9,32,64,0
AttrSelector,3,31,0,0
BasicSelector,3,32,20,0
ClassSelector,2,32,0,0
ElementContainerSelector,3,18,0,0
ElementSelector,6,32,52,0
HasSelector,3,13,38,0
IdSelector,2,32,0,0
ImmediateParentSelector,4,27,34,0
ImmediatePreviousSiblingSelector,1,0,39,0
ListSelector,3,32,0,0
NextSiblingSelector,2,27,0,0
NotSelector,6,32,36,0
OrSelector,7,26,44,0
ParentSelector,5,27,44,0
Parser,5,16,294,0
PreviousSequentSiblingSelector,5,21,0,0
PrevioustSiblingSelector,1,0,46,0
PrevSiblingSelector,5,21,0,0
RootSelector,2,5,18,0
SelectMatch,4,32,95,0
Selector,2,32,0,0
SequentSiblingSelector,2,27,0,0
TagSelector,2,32,0,0
Selector,3,40,39,8
ParserTest,1,0,9,4
ElementsTest,1,40,12,0
ParserSelectorNG,2,12,604,0
SelectorNGTest,4,23,594,0
SelectorTest,1,40,37,0
