ClassName,Changes,TotalCommits,Insertions,Deletions
AbstractCommandLineRunner,3,73,18,2
AmbiguateProperties,1,73,2,2
AnalyzePrototypeProperties,1,73,3,4
AnonymousFunctionNamingCallback,1,73,2,9
CheckGlobalThis,2,73,15,1
CheckUnreachableCode,1,73,1,26
CodeGenerator,2,73,19,6
CollapseProperties,2,73,20,17
CommandLineRunner,3,73,17,3
CompilationLevel,3,73,5,6
Compiler,1,73,17,6
CompilerOptions,3,73,20,6
CrossModuleCodeMotion,1,73,2,1
DeadAssignmentsElimination,1,73,32,9
DefaultPassConfig,3,73,6,62
DefinitionsRemover,1,73,1,2
SortedDependencies,1,73,19,0
DiagnosticGroups,1,73,11,3
DisambiguateProperties,1,73,1,1
ExpressionDecomposer,2,73,21,1
FunctionTypeBuilder,1,73,54,8
GlobalNamespace,2,73,31,19
JsMessage,1,73,43,5
JsMessageVisitor,2,73,4,1
JSModuleGraph,1,73,28,13
ErrorLevel,1,62,28,0
JsonMLAst,1,62,167,0
JsonMLError,1,62,87,0
JsonMLException,1,62,33,0
JsonML,1,62,314,0
JsonMLUtil,1,62,320,0
NodeUtil,1,62,76,0
Reader,1,62,1526,0
SecureCompiler,2,62,196,0
TagAttr,1,62,70,0
TagType,1,62,94,0
Validator,1,62,530,0
Writer,1,62,845,0
MarkNoSideEffectCalls,1,73,1,1
MethodCompilerPass,1,73,4,4
NodeTraversal,1,73,1,2
NodeUtil,5,73,198,21
OptimizeParametersAlt,1,65,705,0
Annotation,2,73,4,0
IRFactory,2,73,66,86
JsDocInfoParser,2,73,81,0
PeepholeFoldConstants,3,73,172,68
PeepholeSubstituteAlternateSyntax,1,73,104,33
PhaseOptimizer,1,73,5,4
PrepareAst,1,73,2,2
ProcessClosurePrimitives,4,73,3,3
PureFunctionIdentifier,7,73,429,60
RemoveConstantExpressions,1,73,0,135
RemoveConstantExpressionsParallel,1,73,0,70
RenameProperties,1,73,2,2
RenamePrototypes,1,73,2,2
ReplaceMessages,1,73,4,4
SanityCheck,1,73,7,0
SourceFile,3,73,5,0
SourceInformationAnnotator,2,73,11,2
SourceMap,1,73,4,1
StrictModeCheck,1,73,1,1
StripCode,1,73,3,4
SuspiciousPropertiesCheck,1,73,1,6
TypeCheck,2,73,9,10
TypedScopeCreator,4,73,85,48
TypeInference,3,73,13,7
WarningLevel,1,73,2,0
JSDocInfoBuilder,2,73,40,1
JSDocInfo,2,73,58,0
AllType,1,73,2,2
ArrowType,1,73,13,0
FunctionType,3,73,96,33
JSType,2,73,12,1
JSTypeNative,1,73,0,2
JSTypeRegistry,2,73,13,4
NamedType,2,73,52,18
ObjectType,1,73,28,0
PrototypeObjectType,1,73,16,14
ProxyObjectType,1,73,64,24
UnionType,1,73,8,0
Node,2,73,139,9
Asserts,1,73,2,2
CheckGlobalThisTest,1,73,17,0
CheckUnreachableCodeTest,1,73,7,7
CollapsePropertiesTest,1,73,36,0
CommandLineRunnerTest,6,73,142,9
DeadAssignmentsEliminationTest,1,73,19,4
DisambiguatePropertiesTest,1,73,6,2
InlineFunctionsTest,2,73,46,2
JsMessageExtractorTest,1,73,21,0
JsMessageTest,1,73,8,0
JSModuleGraphTest,1,73,33,12
LooseTypeCheckTest,1,73,18,6
NodeUtilTest,2,73,141,1
OptimizeParametersAltTest,1,64,338,0
IRFactoryTest,1,73,10,10
JsDocInfoParserTest,2,73,110,1
ParserTest,1,73,16,16
PeepholeFoldConstantsTest,4,73,33,3
PeepholeIntegrationTest,1,73,10,1
PeepholeSubstituteAlternateSyntaxTest,1,73,18,2
PrepareAstTest,1,73,3,3
ProcessClosurePrimitivesTest,3,73,15,0
ProcessDefinesTest,1,73,32,1
PureFunctionIdentifierTest,4,73,281,2
RemoveConstantExpressionsParallelTest,1,73,0,59
RemoveConstantExpressionsTest,1,73,0,300
SourceMap2Test,1,73,5,5
SourceMapTest,1,0,78,3
TypeCheckTest,6,73,214,11
AllTests,1,73,0,77
JSDocInfoTest,1,73,10,0
FunctionTypeTest,2,73,49,3
JSTypeTest,2,73,32,2
