ClassName,Changes,TotalCommits,Insertions,Deletions
AbstractBagDecorator,2,33,5,1
AbstractMapBag,2,33,22,2
AbstractSortedBagDecorator,2,33,4,1
CollectionBag,2,33,3,3
CollectionSortedBag,1,33,2,2
HashBag,2,33,2,2
PredicatedBag,2,33,9,3
PredicatedSortedBag,2,33,8,3
SynchronizedBag,2,33,7,3
SynchronizedSortedBag,2,33,6,3
TransformedBag,2,33,8,4
TransformedSortedBag,2,33,7,4
TreeBag,1,33,3,0
UnmodifiableBag,1,33,2,2
UnmodifiableSortedBag,1,33,2,2
BagUtils,1,33,9,9
AbstractBidiMapDecorator,2,33,4,1
AbstractDualBidiMap,1,33,23,0
AbstractOrderedBidiMapDecorator,2,33,5,1
AbstractSortedBidiMapDecorator,2,33,6,1
DualTreeBidiMap,1,33,18,0
TreeBidiMap,1,33,60,3
UnmodifiableBidiMap,2,33,3,3
UnmodifiableOrderedBidiMap,2,33,3,3
UnmodifiableSortedBidiMap,2,33,3,3
ClosureUtils,1,33,20,22
AbstractCollectionDecorator,2,33,15,2
CompositeCollection,1,33,13,0
PredicatedCollection,1,33,17,13
SynchronizedCollection,2,33,21,5
TransformedCollection,1,33,4,4
UnmodifiableBoundedCollection,2,33,8,5
UnmodifiableCollection,1,33,2,2
CollectionUtils,6,33,75,245
BooleanComparator,1,33,1,0
ComparableComparator,1,33,4,2
ComparatorChain,1,33,1,0
FixedOrderComparator,2,33,7,6
NullComparator,1,33,1,0
ReverseComparator,1,33,1,0
TransformingComparator,1,33,1,0
FactoryUtils,1,33,2,2
FluentIterable,8,33,69,41
AllPredicate,1,33,4,4
AndPredicate,1,33,2,2
AnyPredicate,1,33,4,4
ChainedClosure,1,33,5,5
ChainedTransformer,1,33,5,5
ClosureTransformer,1,33,2,2
ComparatorPredicate,1,33,4,4
FactoryTransformer,1,33,2,2
FunctorUtils,1,33,8,8
IdentityPredicate,1,33,0,1
IfClosure,1,33,4,4
IfTransformer,1,33,8,6
InstanceofPredicate,1,33,2,2
InstantiateFactory,1,33,3,1
InstantiateTransformer,1,33,1,0
InvokerTransformer,1,33,5,2
NonePredicate,1,33,4,4
NotPredicate,1,33,2,2
NullIsExceptionPredicate,1,33,2,2
NullIsFalsePredicate,1,33,2,2
NullIsTruePredicate,1,33,2,2
OnePredicate,1,33,4,4
OrPredicate,1,33,2,2
SwitchClosure,1,33,6,5
SwitchTransformer,1,33,5,5
TransformedPredicate,1,33,3,3
TransformerPredicate,1,33,2,2
WhileClosure,1,33,3,3
IterableUtils,12,33,496,109
AbstractIteratorDecorator,1,33,1,1
AbstractListIteratorDecorator,1,33,2,2
AbstractMapIteratorDecorator,1,33,2,2
AbstractOrderedMapIteratorDecorator,1,33,2,2
AbstractUntypedIteratorDecorator,1,33,2,1
BoundedIterator,1,33,3,2
CollatingIterator,1,33,9,16
IteratorIterable,1,33,1,2
NodeListIterator,1,33,5,4
PeekingIterator,1,33,2,2
PushbackIterator,1,33,2,2
ReverseListIterator,1,33,3,0
SkippingIterator,1,33,2,1
UnmodifiableIterator,1,33,2,2
UnmodifiableListIterator,1,33,2,2
UnmodifiableMapIterator,1,33,2,2
UnmodifiableOrderedMapIterator,1,33,2,2
IteratorUtils,6,33,154,136
AbstractMapEntryDecorator,1,33,2,2
AbstractListDecorator,1,33,1,1
AbstractSerializableListDecorator,1,33,1,1
FixedSizeList,1,33,2,2
GrowthList,1,33,2,2
LazyList,1,33,2,2
PredicatedList,1,33,2,2
SetUniqueList,1,33,4,4
TransformedList,1,33,4,4
UnmodifiableList,1,33,2,2
ListUtils,1,33,35,41
ListValuedMap,2,33,12,12
AbstractInputCheckedMapDecorator,1,33,2,2
AbstractMapDecorator,1,33,2,2
AbstractOrderedMapDecorator,1,33,1,1
AbstractSortedMapDecorator,1,33,1,1
DefaultedMap,1,33,5,5
FixedSizeMap,1,33,3,3
FixedSizeSortedMap,1,33,3,3
LazyMap,1,33,6,6
LazySortedMap,1,33,4,4
ListOrderedMap,1,33,2,2
MultiKeyMap,1,33,3,2
PassiveExpiringMap,1,33,11,12
PredicatedMap,1,33,2,2
PredicatedSortedMap,1,33,2,2
SingletonMap,1,33,1,1
TransformedMap,1,33,3,3
TransformedSortedMap,1,33,3,3
UnmodifiableEntrySet,1,33,3,3
UnmodifiableMap,1,33,3,3
UnmodifiableOrderedMap,1,33,3,3
UnmodifiableSortedMap,1,33,3,3
MapUtils,2,33,28,22
AbstractListValuedMap,1,33,78,90
AbstractMultiValuedMapDecorator,2,33,39,15
AbstractMultiValuedMap,4,33,220,259
AbstractSetValuedMap,1,33,19,59
MultiValuedHashMap,1,33,5,4
package-info,1,33,2,0
TransformedMultiValuedMap,2,33,49,94
UnmodifiableMultiValuedMap,2,33,23,23
MultiMapUtils,2,33,31,31
AbstractMapMultiSet,2,15,780,0
AbstractMultiSetDecorator,3,15,107,0
HashMultiSet,2,15,76,0
MultiSet,3,15,272,0
package-info,2,15,38,0
PredicatedMultiSet,1,3,137,0
SynchronizedMultiSet,1,3,164,0
UnmodifiableMultiSet,1,14,166,0
MultiValuedMap,3,33,69,75
PredicateUtils,1,33,29,29
AbstractQueueDecorator,1,33,1,1
PredicatedQueue,1,33,2,2
TransformedQueue,1,33,3,3
UnmodifiableQueue,1,33,2,2
QueueUtils,1,33,3,3
AbstractNavigableSetDecorator,1,33,1,1
AbstractSerializableSetDecorator,1,33,1,1
AbstractSetDecorator,1,33,1,1
AbstractSortedSetDecorator,1,33,1,1
ListOrderedSet,1,33,8,8
MapBackedSet,1,33,6,6
PredicatedNavigableSet,1,33,2,2
PredicatedSet,1,33,2,2
PredicatedSortedSet,1,33,2,2
TransformedNavigableSet,1,33,4,4
TransformedSet,1,33,4,4
TransformedSortedSet,1,33,4,4
UnmodifiableNavigableSet,1,33,2,2
UnmodifiableSet,1,33,2,2
UnmodifiableSortedSet,1,33,2,2
SetUtils,3,33,236,13
SetValuedMap,2,33,13,16
AbstractIterableGetMapDecorator,1,33,7,3
TransformedSplitMap,1,33,9,13
SplitMapUtils,1,33,8,5
TransformerUtils,1,33,22,21
UnmodifiableTrie,1,33,3,3
TrieUtils,1,33,1,0
PredicatedBagTest,1,33,2,2
PredicatedSortedBagTest,1,33,4,4
UnmodifiableBagTest,1,33,1,1
UnmodifiableSortedBagTest,1,33,1,1
BagUtilsTest,1,33,25,27
UnmodifiableBidiMapTest,1,33,1,1
UnmodifiableOrderedBidiMapTest,1,33,1,1
UnmodifiableSortedBidiMapTest,1,33,1,1
ClosureUtilsTest,1,33,15,18
UnmodifiableBoundedCollectionTest,1,33,1,1
UnmodifiableCollectionTest,1,33,1,1
CollectionUtilsTest,5,33,43,98
ComparatorUtilsTest,1,18,125,0
FactoryUtilsTest,1,33,2,7
FluentIterableTest,6,31,553,0
AbstractCompositePredicateTest,1,33,9,9
IterableUtilsTest,6,33,228,14
NodeListIteratorTest,1,33,4,6
UnmodifiableIteratorTest,1,33,1,1
UnmodifiableListIteratorTest,1,33,1,1
UnmodifiableMapIteratorTest,1,33,1,1
