ClassName,Changes,TotalCommits,Insertions,Deletions
ArchiveStreamFactory,4,138,24,11
ArjArchiveEntry,5,138,81,2
ArjArchiveInputStream,7,138,86,62
LocalFileHeader,1,138,1,1
CpioArchiveInputStream,3,138,57,19
CpioArchiveOutputStream,1,138,57,8
DumpArchiveInputStream,1,138,30,3
DumpArchiveSummary,1,138,7,5
DumpArchiveUtil,1,138,12,0
TapeInputStream,1,138,4,10
Archive,1,138,1,1
BoundedRandomAccessFileInputStream,1,138,2,1
Coders,8,138,103,42
Folder,2,138,2,1
LZMA2Decoder,4,99,57,0
SevenZArchiveEntry,5,138,203,7
SevenZFile,14,138,99,116
SevenZMethod,2,102,68,0
SevenZOutputFile,13,138,199,42
StartHeader,1,138,1,1
SubStreamsInfo,1,138,1,1
TarArchiveInputStream,3,138,3,3
TarArchiveOutputStream,4,138,60,27
TarUtils,1,138,9,1
AbstractUnicodeExtraField,1,138,2,2
BinaryTree,1,2,189,0
BitStream,1,2,119,0
CircularBuffer,1,2,89,0
ExplodingInputStream,1,2,158,0
ExtraFieldUtils,1,138,2,2
FallbackZipEncoding,2,138,10,10
GeneralPurposeBit,2,138,41,3
UnshrinkingInputStream,3,41,118,0
X5455_ExtendedTimestamp,1,138,33,6
ZipArchiveInputStream,15,138,226,190
ZipArchiveOutputStream,3,138,5,2
ZipEncodingHelper,3,138,18,14
ZipFile,3,138,9,4
ZipUtil,3,138,3,0
CompressorInputStream,1,138,11,1
CompressorStreamFactory,3,138,52,2
FileNameUtil,1,138,1,1
GzipCompressorInputStream,1,138,2,1
GzipCompressorOutputStream,4,138,151,9
GzipParameters,1,18,121,0
LZMACompressorInputStream,2,138,84,0
FramedSnappyCompressorInputStream,7,59,291,0
SnappyCompressorInputStream,6,59,430,0
SnappyDecompressor,3,61,0,0
AbstractLZWInputStream,3,21,192,0
ZCompressorInputStream,7,54,133,0
ArchiveUtils,1,138,4,4
BoundedInputStream,2,138,14,1
ChecksumVerifyingInputStream,1,33,110,0
CRC32VerifyingInputStream,6,138,13,55
IOUtils,2,138,49,1
PureJavaCrc32C,1,33,637,0
AbstractTestCase,1,138,4,0
ArjArchiveInputStreamTest,2,138,27,0
CpioArchiveInputStreamTest,1,138,1,1
SevenZArchiveEntryTest,1,73,39,0
SevenZFileTest,6,138,60,0
SevenZOutputFileTest,2,78,174,0
SevenZTestCase,2,138,21,2
TarArchiveInputStreamTest,1,138,23,0
TarArchiveOutputStreamTest,1,138,85,0
BinaryTreeTest,1,2,47,0
BitStreamTest,1,2,82,0
CircularBufferTest,1,2,76,0
ExplodeSupportTest,1,2,85,0
ZipTestCase,1,138,8,2
X5455_ExtendedTimestampTest,2,138,71,2
ZipArchiveInputStreamTest,2,138,29,0
ZipEncodingTest,1,25,148,0
ZipFileTest,1,138,23,0
FramedSnappyTestCase,8,59,100,0
GZipTestCase,2,138,122,0
LZMATestCase,1,138,52,0
FramedSnappyCompressorInputStreamTest,1,33,179,0
ZTestCase,2,54,71,0
