ClassName,Changes,TotalCommits,Insertions,Deletions
DefaultDateTypeAdapter,1,5,2,0
FieldNamingPolicy,1,5,6,6
Gson,1,5,3,3
ArrayTypeAdapter,1,5,2,2
CollectionTypeAdapterFactory,1,5,3,2
DateTypeAdapter,1,5,1,1
JsonAdapterAnnotationTypeAdapterFactory,1,5,1,0
MapTypeAdapterFactory,1,5,3,3
ObjectTypeAdapter,1,5,1,1
ReflectiveTypeAdapterFactory,1,5,2,2
SqlDateTypeAdapter,1,5,1,1
TimeTypeAdapter,1,5,1,1
TypeAdapters,1,5,11,11
LongSerializationPolicy,1,5,2,2
TreeTypeAdapter,1,5,1,0
TestTypes,1,5,8,5
CustomDeserializerTest,1,5,7,2
CustomTypeAdaptersTest,1,5,25,16
DelegateTypeAdapterTest,1,5,3,1
EnumTest,1,5,2,2
ExclusionStrategyFunctionalTest,1,5,5,5
ExposeFieldsTest,1,5,1,1
InstanceCreatorTest,1,5,5,5
JsonAdapterAnnotationOnClassesTest,1,5,1,1
JsonAdapterAnnotationOnFieldsTest,1,5,1,1
NamingPolicyTest,1,5,3,2
NullObjectAndFieldTest,1,5,3,3
RuntimeTypeAdapterFactoryFunctionalTest,1,5,1,1
TreeTypeAdaptersTest,1,5,2,0
TypeAdapterPrecedenceTest,1,5,2,0
TypeHierarchyAdapterTest,1,5,4,4
UncategorizedTest,1,5,1,1
GsonTypeAdapterTest,1,5,4,5
MockExclusionStrategy,1,5,2,0
ParameterizedTypeFixtures,1,5,4,4
ProtoTypeAdapter,1,5,20,11
