ClassName,Changes,TotalCommits,Insertions,Deletions
Base64Variants,1,201,1,1
GeneratorBase,3,201,30,288
ParserBase,4,201,56,110
ParserMinimalBase,8,201,62,98
DataFormatDetector,1,201,7,16
BaseReader,2,201,0,116
CharacterEscapes,1,201,1,2
CharTypes,2,201,12,14
InputDecorator,1,201,4,4
IOContext,7,201,64,48
JsonStringEncoder,2,201,77,81
MergedStream,1,201,37,61
NumberInput,3,201,110,122
NumberOutput,1,201,174,177
OutputDecorator,2,201,3,6
SegmentedStringWriter,1,201,10,25
SerializedString,2,201,14,25
UTF32Reader,3,201,88,38
ByteSourceJsonBootstrapper,3,201,18,32
JsonFactory,11,201,187,228
JsonGenerationException,1,201,1,1
JsonGenerator,5,201,319,165
JsonReadContext,1,201,17,40
JsonWriteContext,2,201,18,44
JsonParseException,1,201,3,7
JsonParser,4,201,91,194
JsonPointer,2,201,28,57
JsonProcessingException,1,201,11,29
ReaderBasedJsonParser,29,201,550,292
JsonStreamContext,1,201,2,8
JsonToken,1,201,5,16
UTF8JsonGenerator,6,201,112,121
UTF8StreamJsonParser,28,201,433,312
WriterBasedJsonGenerator,5,201,68,99
ObjectCodec,2,201,7,8
package-info,1,201,1,1
BytesToNameCanonicalizer,11,201,255,211
CharsToNameCanonicalizer,11,201,210,152
Name1,2,201,9,26
Name2,1,201,7,17
Name3,1,201,8,16
NameN,2,201,66,38
TreeCodec,1,201,2,7
TreeNode,1,201,1,2
TypeReference,1,201,3,6
BufferRecycler,6,201,108,68
ByteArrayBuilder,1,201,19,53
FilterJsonGenerator,0,0,0,0
InternCache,2,201,5,10
JsonGeneratorDelegate,7,201,131,222
JsonParserDelegate,2,201,59,254
JsonParserSequence,1,201,2,5
TextBuffer,4,201,60,63
VersionUtil,1,201,15,16
Version,2,201,4,14
TestBase64Codec,1,201,1,1
TestBase64Generation,1,201,1,1
TestBase64Parsing,1,201,1,1
TestJsonParserBinary,1,201,1,1
BaseTest,1,0,432,0
TestJsonParserSymbols,2,9,0,0
TestJsonFormatDetection,1,201,1,1
TestCharTypes,1,201,1,1
TestIOContext,1,201,1,1
TestJDKSerializable,1,201,1,1
TestJsonStringEncoder,1,201,1,1
TestMergedStream,1,201,1,1
TestUTF8Writer,1,201,1,1
TestCharEscaping,3,201,14,2
TestComments,3,201,123,8
TestCustomEscaping,2,201,1,2
TestDecorators,1,201,1,1
TestGeneratorDupHandling,1,201,1,1
TestGeneratorWithSerializedString,1,201,1,1
TestJsonFactory,1,201,1,1
TestJsonGeneratorFeatures,1,201,1,1
TestJsonGenerator,3,201,6,8
TestJsonParser,5,201,93,25
TestLocation,1,201,1,1
TestNextXxx,3,201,82,2
TestNumericValues,6,201,82,28
TestParserDupHandling,1,201,1,1
TestParserErrorHandling,1,201,1,1
TestParserNonStandard,1,201,1,1
TestParserOverrides,1,201,1,1
TestParserSymbols,2,5,40,0
TestRootValues,1,201,1,1
TestUnicode,1,201,1,1
TestUtf8Generator,2,201,25,1
TestUtf8Parser,1,201,0,1
TestValueConversions,1,201,1,1
TestWithTonsaSymbols,2,201,3,7
TestArrayParsing,1,201,1,1
TestGeneratorArray,1,201,1,1
TestGeneratorClosing,1,201,0,1
TestGeneratorCopy,1,201,0,1
TestGeneratorMisc,1,201,1,1
TestGeneratorObject,1,201,0,1
TestNumberParsing,3,201,40,2
TestParserClosing,1,201,0,1
TestParserFeatures,1,201,1,1
TestParserLinefeeds,2,201,2,3
TestParserWithObjects,1,201,1,1
TestPrettyPrinter,1,201,1,1
TestRawStringWriting,1,201,1,1
TestScopeMatching,1,201,0,1
TestStringGeneration,2,201,8,8
TestByteBasedSymbols,3,201,3,4
TestHashCollisionChars,2,33,170,0
TestJsonParserSymbols,4,201,10,2
TestSymbolTables,5,201,45,59
TestExceptions,1,201,0,1
TestJDKSerializability,1,201,0,1
TestJsonPointer,2,201,26,2
TestVersions,2,201,2,2
TestCharTypes,1,201,1,1
TestDelegates,3,201,21,1
TestFilterJsonGenerator,0,0,0,0
TestNumberPrinting,1,201,1,1
TestSerializedString,1,201,1,1
TestTextBuffer,1,201,1,1
TestVersionUtil,1,201,1,1
TestHashCollision,5,41,0,0
CollisionGenerator,2,41,0,0
ManualCharAccessTest,1,146,194,0
ManualReadPerfWithMedia,4,124,80,0
MediaItem,1,124,206,0
ParserTestBase,2,124,86,0
