ClassName,Changes,TotalCommits,Insertions,Deletions
BeanDeserializerBase,1,37,7,6
BeanDeserializer,1,37,1,1
JsonNodeDeserializer,1,37,1,2
StringDeserializer,4,37,18,19
JacksonAnnotationIntrospector,1,37,2,0
JsonFormatTypes,2,37,0,0
JsonNode,1,37,1,1
AsPropertyTypeDeserializer,3,37,2,4
AsWrapperTypeSerializer,1,37,75,72
MappingJsonFactory,1,37,4,5
MissingNode,1,37,3,3
ObjectNode,1,37,1,1
ObjectMapper,4,37,37,22
ObjectReader,1,37,64,33
BasicSerializerFactory,3,37,1,8
AtomicReferenceSerializer,1,37,1,1
NumberSerializer,2,37,3,6
SqlTimeSerializer,0,37,0,0
StdJdkSerializers,3,37,13,0
SimpleType,1,37,37,12
TypeBase,1,37,1,1
TypeFactory,1,37,10,6
TokenBuffer,1,37,1,1
Objecid1083Test,1,0,45,0
ObjectId825BTest,1,16,194,0
ReferentialWithObjectIdTest,1,6,66,0
TestObjectId154,1,37,0,44
TestObjectIdDeserialization,1,37,2,2
TestObjectId,1,37,37,0
TestObjectIdSerialization,1,37,43,2
ObjectMapperTest,2,37,19,1
TestDateSerialization,0,37,0,0
TestObjectMapperBeanSerializer,1,37,1,4
TestJavaType,1,37,0,7
