ClassName,Changes,TotalCommits,Insertions,Deletions
Connection,2,17,5,4
DataUtil,2,17,4,2
HttpConnection,2,17,88,7
StringUtil,1,17,5,5
Attribute,1,17,1,1
Document,2,17,2,2
Element,5,17,30,0
Entities,1,17,1,1
Node,2,17,16,8
Tag,1,17,1,1
Whitelist,1,17,57,56
Elements,2,17,91,2
Evaluator,1,17,25,4
QueryParser,2,17,11,1
Selector,1,17,1,0
HttpConnectionTest,1,17,3,1
UrlConnectTest,3,17,73,0
ElementTest,2,17,29,0
NodeTest,1,17,15,0
CleanerTest,1,17,11,0
ElementsTest,1,17,45,0
QueryParserTest,1,17,9,0
SelectorTest,2,17,26,4
