ClassName,Changes,TotalCommits,Insertions,Deletions
AbstractFactory,10,250,73,0
BasicNamespaceManager,2,83,0,0
BasicNodeSet,5,108,78,0
BasicVariables,9,262,88,0
ClassFunctions,11,262,120,0
CompiledExpression,8,227,117,0
Container,8,260,41,0
DynamicPropertyHandler,7,262,56,0
ExpressionContext,9,262,73,0
Function,9,262,45,0
FunctionLibrary,7,262,125,0
ConstructorFunction,14,262,75,0
Functions,9,262,44,0
MethodFunction,14,262,103,0
PackageFunctions,2,262,0,0
Types,3,262,0,0
IdentityManager,6,201,34,0
JXPathAbstractFactoryException,2,25,34,0
JXPathBasicBeanInfo,12,262,154,0
JXPathBeanInfo,9,262,72,0
JXPathContextFactoryConfigurationError,7,262,113,0
JXPathContextFactory,10,262,242,0
JXPathContext,29,262,891,0
JXPathException,8,231,129,0
JXPathFunctionNotFoundException,2,25,33,0
JXPathIntrospector,12,262,197,0
JXPathInvalidAccessException,2,25,37,0
JXPathInvalidSyntaxException,2,25,32,0
JXPath,5,262,0,0
JXPathNotFoundException,2,25,34,0
JXPathTypeConversionException,2,25,37,0
KeyManager,7,201,35,0
MapDynamicPropertyHandler,9,256,60,0
NamespaceManager,2,83,0,0
NodeSet,5,116,47,0
PackageFunctions,16,262,212,0
Pointer,11,262,90,0
AncestorContext,17,262,102,0
AttributeContext,12,260,91,0
ChildContext,18,262,126,0
DescendantContext,18,262,150,0
InitialContext,17,262,84,0
NamespaceContext,12,255,104,0
NodeSetContext,5,108,67,0
ParentContext,17,262,80,0
PrecedingOrFollowingContext,17,262,166,0
PredicateContext,25,262,189,0
PropertyIterator,2,262,0,0
RootContext,21,262,145,0
SelfContext,14,262,79,0
SimplePathInterpreter,20,232,843,0
UnionContext,15,262,68,0
Constant,10,262,79,0
CoreFunction,20,262,694,0
CoreOperationAdd,5,125,53,0
CoreOperationAnd,5,125,54,0
CoreOperationCompare,5,125,145,0
CoreOperationDivide,5,125,51,0
CoreOperationEqual,5,125,48,0
CoreOperationGreaterThan,5,125,51,0
CoreOperationGreaterThanOrEqual,5,125,51,0
CoreOperation,16,262,102,0
CoreOperationLessThan,5,125,51,0
CoreOperationLessThanOrEqual,5,125,51,0
CoreOperationMod,5,125,51,0
CoreOperationMultiply,5,125,51,0
CoreOperationNegate,5,125,50,0
CoreOperationNotEqual,5,125,48,0
CoreOperationOr,5,125,54,0
CoreOperationSubtract,5,125,51,0
CoreOperationUnion,5,125,59,0
Expression,12,262,144,0
ExpressionPath,14,262,191,0
ExtensionFunction,16,262,100,0
Compiler,11,262,316,0
LocationPath,13,262,85,0
NameAttributeTest,7,220,44,0
NodeNameTest,13,262,53,0
NodeTest,7,255,24,0
NodeTypeTest,10,262,53,0
Operation,10,262,45,0
Path,18,262,303,0
ProcessingInstructionTest,10,262,37,0
QName,3,262,0,0
Step,11,262,135,0
TreeCompiler,12,262,211,0
VariableReference,11,262,62,0
EvalContext,32,262,362,0
InfoSetUtil,13,220,178,0
JXPathCompiledExpression,11,227,131,0
JXPathContextFactoryReferenceImpl,8,262,41,0
JXPathContextReferenceImpl,49,262,729,0
BeanAttributeIterator,10,241,78,0
BeanPointerFactory,9,241,62,0
BeanPointer,15,241,169,0
BeanPropertyPointer,21,241,293,0
CollectionAttributeNodeIterator,5,108,45,0
CollectionChildNodeIterator,5,108,47,0
CollectionNodeIterator,5,108,114,0
CollectionPointerFactory,8,241,61,0
CollectionPointer,22,241,254,0
DynamicPointerFactory,4,241,0,0
DynamicPointer,8,241,0,0
DynamicPropertyPointer,12,241,0,0
LangAttributePointer,15,241,113,0
NullElementPointer,19,241,135,0
NullPointer,13,241,144,0
NullPropertyPointer,21,241,224,0
PropertyIterator,15,241,304,0
PropertyOwnerPointer,22,241,181,0
PropertyPointer,18,241,237,0
ContainerPointerFactory,8,241,61,0
ContainerPointer,15,241,169,0
DOMAttributeIterator,13,241,165,0
DOMAttributePointer,17,241,148,0
DOMNamespaceIterator,11,241,97,0
DOMNodeIterator,15,241,146,0
DOMNodePointer,32,241,772,0
DOMPointerFactory,8,241,61,0
NamespacePointer,15,241,133,0
DynaBeanPointerFactory,8,145,60,0
DynaBeanPointer,8,145,130,0
DynaBeanPropertyPointer,15,145,264,0
DynamicAttributeIterator,6,137,41,0
DynamicPointerFactory,7,137,77,0
DynamicPointer,8,137,131,0
DynamicPropertyIterator,7,137,39,0
DynamicPropertyPointer,11,137,323,0
JDOMAttributeIterator,8,162,190,0
JDOMAttributePointer,12,162,131,0
JDOMNamespaceIterator,11,162,101,0
JDOMNamespacePointer,11,162,123,0
JDOMNodeIterator,10,162,166,0
JDOMNodePointer,23,162,768,0
JDOMPointerFactory,7,162,64,0
NodeIterator,6,241,36,0
NodePointerFactory,9,241,57,0
NodePointer,28,241,748,0
VariablePointer,21,241,349,0
NamespaceResolver,8,64,150,0
ASCII_UCodeESC_CharStream,2,262,0,0
Parser,11,262,90,0
JavaCharStream,2,122,0,0
ParseException,3,262,192,0
SimpleCharStream,1,107,401,0
Token,3,262,81,0
TokenMgrError,4,262,153,0
XPathParserConstants,5,262,175,0
XPathParser,7,262,3775,0
XPathParserTokenManager,6,262,1875,0
BeanAttributeIterator,3,253,0,0
BeanPointerFactory,3,250,0,0
BeanPointer,5,262,0,0
BeanPropertyPointer,5,262,0,0
ContainerPointerFactory,2,250,0,0
ContainerPointer,6,260,0,0
DOMAttributeIterator,3,260,0,0
DOMAttributePointer,4,260,0,0
DOMNamespaceIterator,2,255,0,0
DOMNodeIterator,3,260,0,0
DOMNodePointer,7,260,0,0
DOMPointerFactory,2,250,0,0
DynamicPointerFactory,3,250,0,0
DynamicPointer,5,262,0,0
DynamicPropertyPointer,5,262,0,0
LangAttributePointer,3,253,0,0
NamespacePointer,3,255,0,0
NodeIterator,3,260,0,0
NodePointerFactory,2,250,0,0
NodePointer,7,262,0,0
NullElementPointer,2,250,0,0
NullPointer,6,262,0,0
NullPropertyPointer,5,262,0,0
PropertyAccessHelper,4,262,0,0
PropertyIterator,3,260,0,0
PropertyOwnerPointer,5,260,0,0
PropertyPointer,6,262,0,0
VariablePointer,6,262,0,0
QName,12,241,86,0
Constants,7,258,54,0
HttpSessionAndServletContext,3,58,46,0
HttpSessionHandler,8,258,73,0
