ClassName,Changes,TotalCommits,Insertions,Deletions
Base64Variant,5,955,209,22
Base64Variants,5,955,34,13
GeneratorBase,36,955,225,280
package-info,1,955,0,0
ParserBase,37,955,262,164
ParserMinimalBase,37,955,286,274
FilteringGeneratorDelegate,20,253,564,130
FilteringParserDelegate,21,221,596,15
JsonPointerBasedFilter,1,198,0,0
TokenFilterContext,18,253,235,28
TokenFilter,8,253,336,35
DataFormatDetector,5,955,39,13
DataFormatMatcher,3,955,13,6
FormatFeature,2,167,1,1
InputAccessor,6,955,39,18
MatchStrength,2,955,0,2
package-info,2,955,0,2
FormatSchema,4,955,6,3
BaseReader,4,955,0,116
CharacterEscapes,5,955,5,6
CharTypes,9,955,79,56
InputDecorator,4,955,7,6
IOContext,13,955,120,78
JsonStringEncoder,11,955,92,107
MergedStream,2,955,37,61
NumberInput,8,955,127,123
NumberOutput,7,955,184,180
OutputDecorator,5,955,3,5
SegmentedStringWriter,5,955,14,31
SerializedString,9,955,168,13
UTF32Reader,6,955,123,69
UTF8Writer,3,955,25,25
ByteSourceJsonBootstrapper,12,955,33,52
CoreVersion,2,944,0,14
DupDetector,3,628,26,12
JsonEncoding,3,955,16,6
JsonFactory,51,955,840,192
JsonGenerationException,5,955,53,8
JsonGenerator,57,955,872,293
JsonGeneratorImpl,6,822,37,5
JsonReadContext,13,955,105,48
JsonWriteContext,20,955,113,50
JsonLocation,4,955,11,11
ModuleVersion,2,945,0,12
JsonNode,6,955,0,668
package-info,1,955,0,0
PackageVersion,1,2,0,0
JsonParseException,9,955,65,8
JsonParser,53,955,592,332
JsonPointer,22,667,196,71
JsonProcessingException,6,955,79,31
ReaderBasedJsonParser,77,955,1373,434
JsonStreamContext,5,955,29,18
JsonTokenId,2,632,58,1
JsonToken,10,955,77,37
UTF8JsonGenerator,45,955,653,426
UTF8StreamJsonParser,103,955,1407,673
WriterBasedJsonGenerator,30,955,406,338
ObjectCodec,13,955,72,45
package-info,5,955,5,7
PrettyPrinter,5,955,21,10
SerializableString,6,955,111,9
ByteQuadsCanonicalizer,26,308,651,300
BytesToNameCanonicalizer,32,955,0,969
CharsToNameCanonicalizer,26,955,408,198
Name1,5,955,10,25
Name2,3,955,9,17
Name3,3,955,13,16
Name,2,955,7,2
NameN,4,955,70,38
package-info,1,955,0,0
TreeCodec,3,659,2,7
TreeNode,13,924,235,6
JavaType,3,955,0,432
package-info,1,955,0,0
ResolvedType,6,952,48,1
TypeReference,7,955,16,18
BufferRecycler,11,955,107,59
ByteArrayBuilder,5,955,20,70
DefaultIndenter,4,377,50,11
DefaultPrettyPrinter,20,955,194,90
FilteringGeneratorDelegate,2,254,0,314
FilterJsonGenerator,0,0,0,0
Instantiatable,2,843,1,1
InternCache,5,955,35,20
JsonGeneratorDelegate,27,955,300,152
JsonParserDelegate,19,955,120,133
JsonParserSequence,4,955,3,8
MinimalPrettyPrinter,7,955,7,6
package-info,1,955,0,0
TextBuffer,15,955,156,123
TokenBuffer,2,955,0,1219
TokenFilter,2,254,0,46
VersionUtil,21,955,146,44
Versioned,4,955,6,3
Version,14,955,72,21
CollGenerator,2,856,0,265
TestBase64Codec,2,708,1,1
TestBase64Generation,3,708,2,1
TestBase64Parsing,5,708,2,1
TestJsonParserBinary,3,707,3,1
BaseTest,8,417,64,7
TestJsonParserSymbols,2,426,0,43
BasicFilteringTest,9,233,0,74
BasicGeneratorFilteringTest,7,223,179,59
