ClassName,Changes,TotalCommits,Insertions,Deletions
ContainerBuilder,1,253,0,0
MappingIteratorDeserializer,1,171,0,0
MappingIteratorReadTest,1,171,0,0
TypeSerializerWrapper,1,1708,0,0
AbstractTypeResolver,5,2506,0,11
JacksonInject,2,2506,0,30
JacksonStdImpl,2,2506,0,25
JsonCachable,3,2506,0,32
JsonDeserialize,2,2506,0,108
JsonFilter,2,2506,0,29
JsonRootName,2,2506,0,27
JsonSerialize,2,2506,0,215
JsonTypeIdResolver,3,2506,0,36
JsonTypeResolver,3,2506,0,25
JsonValueInstantiator,2,2506,0,25
JsonView,2,2506,0,37
NoClass,2,2506,0,19
package-info,3,2506,0,5
AnnotationIntrospector,67,2506,544,886
JacksonStdImpl,2,2498,0,2
JsonAppend,4,688,108,1
JsonCachable,2,2498,0,30
JsonDeserialize,7,2498,46,16
JsonNaming,3,2040,10,1
JsonPOJOBuilder,1,2267,0,0
JsonSerialize,12,2498,86,30
JsonTypeIdResolver,3,2498,4,4
JsonTypeResolver,3,2498,4,1
JsonValueInstantiator,2,2498,1,3
NoClass,4,2498,4,5
package-info,1,2498,0,0
BeanDescription,18,2506,137,52
BeanPropertyDefinition,9,2506,0,66
BeanProperty,20,2506,161,31
BaseSettings,12,2429,187,22
ConfigFeature,4,2427,8,8
ContextAttributes,1,1403,0,0
DatabindVersion,2,2304,0,14
DeserializationConfig,2,2304,0,497
DeserializerFactoryConfig,5,2309,23,9
HandlerInstantiator,7,2304,52,3
MapperConfigBase,25,2429,445,43
MapperConfig,21,2429,187,349
package-info,1,2304,0,0
PackageVersion,1,2,0,0
SerializationConfig,2,2304,0,475
SerializerFactoryConfig,3,2309,6,14
ClassIntrospector,3,2506,0,117
ContextualDeserializer,2,2506,0,38
ContextualKeyDeserializer,2,2506,0,33
ContextualSerializer,2,2506,0,38
DatabindContext,8,1678,132,2
DatabindVersion,2,2478,0,14
AbstractDeserializer,21,2506,167,62
BasicDeserializerFactory,119,2506,1499,465
BeanDeserializerBase,88,2267,887,283
BeanDeserializerBuilder,37,2506,201,60
BeanDeserializerFactory,83,2506,403,981
BeanDeserializer,96,2506,455,1117
BeanDeserializerModifier,13,2506,127,12
BuilderBasedDeserializer,24,2267,103,393
ContextualDeserializer,4,2499,13,13
ContextualKeyDeserializer,3,2499,4,8
CreatorProperty,19,2481,96,17
DataFormatReaders,2,1970,1,1
DefaultDeserializationContext,28,2285,252,1
DeserializationProblemHandler,7,2501,19,12
DeserializerCache,38,2301,143,48
DeserializerFactory,18,2499,57,217
DeserializerProvider,3,2389,0,143
Deserializers,18,2499,51,97
DeserializationConfig,50,2289,403,105
DeserializationContext,74,2506,848,79
DeserializationFeature,25,2304,247,32
DeserializationProblemHandler,2,2506,0,56
DeserializerFactory,3,2506,0,353
DeserializerProvider,8,2506,0,186
Deserializers,3,2506,0,336
BeanAsArrayBuilderDeserializer,10,2060,72,54
BeanAsArrayDeserializer,11,2082,258,16
BeanPropertyMap,35,2506,459,169
CreatorCollector,21,2506,290,53
CreatorProperty,6,2506,0,153
DeserializerCache,3,2305,0,514
DeserializerFactoryConfig,2,2361,0,193
ExternalTypeHandler,19,2506,192,36
FailingDeserializer,2,1395,1,3
FieldProperty,10,2267,54,22
InnerClassProperty,8,2275,71,17
ManagedReferenceProperty,10,2275,37,32
MethodProperty,7,2267,50,25
NoClassDefFoundDeserializer,2,691,3,3
NullProvider,5,2267,8,5
ObjectIdProperty,4,2275,0,81
ObjectIdReader,12,2278,97,17
ObjectIdReferenceProperty,9,1257,33,40
ObjectIdValueProperty,18,2217,31,25
package-info,1,2506,0,0
PropertyBasedCreator,14,2506,90,52
PropertyBasedObjectIdGenerator,3,2267,5,0
PropertyValueBuffer,16,2506,187,36
PropertyValue,2,2506,2,1
ReadableObjectId,12,2275,90,33
SetterlessProperty,6,2267,21,17
TypeWrappedDeserializer,4,2329,26,11
UnwrappedPropertyHandler,7,2506,32,7
ValueInjector,6,2506,14,6
KeyDeserializers,6,2499,2,12
package-info,1,2506,0,0
ResolvableDeserializer,7,2499,29,11
SettableAnyProperty,12,2506,89,46
SettableBeanProperty,51,2506,319,579
ArrayBlockingQueueDeserializer,6,1728,20,24
AtomicBooleanDeserializer,6,1541,3,10
AtomicReferenceDeserializer,10,1541,52,22
ByteBufferDeserializer,2,1537,2,7
CalendarDeserializer,4,2506,0,48
CharsetDeserializer,4,1541,0,24
ClassDeserializer,8,2506,0,50
CollectionDeserializer,48,2506,215,88
ContainerDeserializerBase,12,2506,57,3
DateDeserializer,3,2506,0,31
DateDeserializers,20,2486,209,53
DelegatingDeserializer,12,1948,38,7
StdDeserializationContext,9,2506,0,325
StdDeserializer,2,2506,0,92
StdDeserializerProvider,12,2506,0,506
StdDeserializers,4,2506,0,119
EnumDeserializer,29,2506,168,60
EnumMapDeserializer,29,2506,141,36
EnumSetDeserializer,22,2506,87,32
FailingDeserializer,2,1396,0,30
FromStringDeserializer,17,2506,214,177
InetAddressDeserializer,3,1541,0,26
InetSocketAddressDeserializer,3,1541,0,52
JacksonDeserializers,15,2486,0,84
JavaTypeDeserializer,8,1506,0,40
JdkDeserializers,29,2486,32,253
JsonLocationInstantiator,4,1506,6,6
JsonNodeDeserializer,26,2506,223,129
StdKeyDeserializer,2,2506,0,12
StdKeyDeserializers,2,2506,0,11
MapDeserializer,60,2506,431,165
MapEntryDeserializer,5,883,6,5
NullifyingDeserializer,3,1726,11,12
NumberDeserializers,25,2486,347,167
ObjectArrayDeserializer,25,2506,83,27
package-info,2,2506,0,2
PrimitiveArrayDeserializers,14,2506,176,231
StdScalarDeserializer,2,2506,0,13
StackTraceElementDeserializer,3,1541,13,5
StdDelegatingDeserializer,18,1904,118,29
StdDeserializer,51,2506,598,653
StdKeyDeserializer,18,2506,260,167
StdKeyDeserializers,16,2506,45,51
StdNodeBasedDeserializer,2,728,1,1
StdScalarDeserializer,8,2506,9,15
StdValueInstantiator,22,2506,91,81
StringArrayDeserializer,14,1671,62,48
StringCollectionDeserializer,37,2506,113,80
StringDeserializer,12,2506,34,16
ThrowableDeserializer,10,2506,17,22
TimestampDeserializer,3,2506,0,31
TokenBufferDeserializer,9,1506,8,13
UntypedObjectDeserializer,34,2506,538,111
UUIDDeserializer,5,1435,44,36
UnresolvedForwardReference,6,1258,53,5
UnresolvedId,3,1226,6,6
ValueInstantiator,18,2506,86,81
ValueInstantiators,7,2506,1,6
IgnoredPropertyException,1,1354,0,0
InvalidFormatException,1,2081,0,0
PropertyBindingException,2,1354,6,2
UnrecognizedPropertyException,6,2506,27,38
CoreXMLDeserializers,9,2506,63,62
CoreXMLSerializers,19,2506,70,37
DOMDeserializer,3,2506,8,7
DOMSerializer,16,2506,17,12
JodaDeserializers,4,2506,0,254
JodaSerializers,8,2506,0,204
OptionalHandlerFactory,15,2506,26,75
package-info,1,2506,0,0
HandlerInstantiator,6,2506,0,115
InjectableValues,4,2506,10,14
AnnotatedClass,30,2506,376,263
AnnotatedConstructor,7,2506,92,10
AnnotatedField,11,2506,105,21
Annotated,6,2506,26,13
AnnotatedMember,10,2506,103,10
AnnotatedMethod,15,2506,147,38
AnnotatedMethodMap,3,2506,0,0
AnnotatedParameter,11,2506,28,26
AnnotatedWithParams,9,2506,12,41
AnnotationIntrospectorPair,26,1959,238,297
AnnotationMap,8,2506,23,8
BasicBeanDescription,35,2506,372,275
BasicClassIntrospector,19,2506,152,233
BeanPropertyDefinition,24,2289,141,29
ClassIntrospector,8,2499,27,10
JacksonAnnotationIntrospector,87,2506,580,321
MemberKey,2,2506,6,0
MethodFilter,2,2506,0,12
NopAnnotationIntrospector,12,2506,16,190
ObjectIdInfo,9,2284,61,6
package-info,1,2506,0,0
POJOPropertiesCollector,63,2506,631,274
POJOPropertyBuilder,56,2506,751,176
SimpleMixInResolver,3,380,15,6
VirtualAnnotatedMember,2,678,5,3
VisibilityChecker,10,2506,129,160
WithMember,1,2357,0,0
JavaType,18,2501,123,45
JsonDeserializer,26,2506,230,29
JsonAnyFormatVisitor,3,2048,8,2
JsonArrayFormatVisitor,9,2048,47,4
JsonBooleanFormatVisitor,2,2048,9,2
JsonFormatTypes,2,2019,13,5
JsonFormatVisitable,6,2019,7,6
JsonFormatVisitorAware,0,0,0,0
JsonFormatVisitorWithSerializerProvider,2,2048,2,4
JsonFormatVisitorWrapper,6,2048,140,11
JsonIntegerFormatVisitor,4,2048,21,1
JsonMapFormatVisitor,3,1810,10,3
JsonNullFormatVisitor,2,2048,6,1
JsonNumberFormatVisitor,5,2048,20,1
JsonObjectFormatVisitor,11,2048,55,11
JsonStringFormatVisitor,2,2048,9,1
JsonValueFormat,2,2020,35,63
JsonValueFormatVisitor,4,2048,20,4
package-info,1,1517,0,0
SchemaType,0,0,0,0
JsonMappingException,7,2506,58,39
JsonNode,30,2349,397,176
AnySchemaFactory,0,0,0,0
ArraySchemaFactory,0,0,0,0
BooleanSchemaFactory,0,0,0,0
IntegerSchemaFactory,0,0,0,0
NullSchemaFactory,0,0,0,0
NumberSchemaFactory,0,0,0,0
ObjectSchemaFactory,0,0,0,0
SchemaFactoryDelegate,0,0,0,0
SchemaFactory,0,0,0,0
SchemaFactoryProvider,0,0,0,0
StringSchemaFactory,0,0,0,0
ValueTypeSchemaFactory,0,0,0,0
JsonFormatVisitorAware,0,0,0,0
JsonSchema,7,2502,17,5
JsonSerializableSchema,4,2502,29,5
package-info,1,2502,0,0
SchemaAware,3,2502,14,6
