ClassName,Changes,TotalCommits,Insertions,Deletions
JacksonXmlElementWrapper,2,589,0,24
JacksonXmlProperty,2,589,0,21
JacksonXmlRootElement,2,589,0,19
package-info,2,589,0,6
JacksonXmlCData,1,240,0,0
JacksonXmlElementWrapper,2,586,20,6
JacksonXmlProperty,2,586,1,1
JacksonXmlRootElement,1,586,0,0
JacksonXmlText,2,552,5,5
package-info,1,586,0,0
ElementWrapper,3,495,53,2
FromXmlParser,41,589,480,212
WrapperHandlingDeserializer,12,498,105,29
XmlBeanDeserializerModifier,13,562,96,17
XmlReadContext,4,505,40,23
XmlTextDeserializer,2,362,9,17
XmlTokenStream,20,496,308,21
JacksonXmlAnnotationIntrospector,20,589,131,57
JacksonXmlModule,11,589,102,6
XmlJaxbAnnotationIntrospector,13,589,43,87
ModuleVersion,2,589,0,12
package-info,1,589,0,0
PackageVersion,1,2,0,0
ToXmlGenerator,32,589,428,113
UnwrappingXmlBeanSerializer,4,317,10,8
XmlBeanPropertyWriter,10,589,56,30
XmlBeanSerializerBase,8,318,94,44
XmlBeanSerializer,23,589,81,175
XmlBeanSerializerModifier,13,589,36,98
XmlSerializerProvider,18,589,218,23
AnnotationUtil,5,562,35,6
DefaultXmlPrettyPrinter,14,589,476,31
StaxUtil,2,589,46,0
TypeUtil,3,495,7,1
XmlInfo,3,589,7,1
XmlRootNameLookup,8,589,55,50
XmlTokenStream,3,589,0,265
XmlAnnotationIntrospector,9,589,106,30
XmlFactory,30,589,345,66
XmlMapper,21,589,184,20
XmlPrettyPrinter,4,578,30,2
XmlTypeResolverBuilder,7,589,11,36
JacksonXmlElementWrapper,3,650,0,27
JacksonXmlProperty,4,650,0,26
JacksonXmlRootElement,3,618,0,22
package-info,3,650,0,8
FromXmlParser,4,647,0,724
FromXmlParser,2,650,0,724
JacksonXmlAnnotationIntrospector,6,650,0,197
JacksonXmlModule,6,640,0,171
XmlJaxbAnnotationIntrospector,6,648,0,111
ModuleVersion,2,593,0,12
package-info,3,650,0,8
ToXmlGenerator,4,647,0,832
XmlBeanPropertyWriter,6,647,0,124
XmlBeanSerializerFactory,3,647,0,262
XmlBeanSerializer,10,647,0,112
XmlBeanSerializerModifier,4,632,0,148
XmlSerializerProvider,6,647,0,78
ToXmlGenerator,2,650,0,832
DefaultXmlPrettyPrinter,4,650,0,88
StaxUtil,2,650,0,26
XmlInfo,2,640,0,20
XmlRootNameLookup,4,650,0,78
XmlTokenStream,4,650,0,265
XmlAnnotationIntrospector,7,650,0,40
XmlBeanPropertyWriter,2,650,0,123
XmlBeanSerializerFactory,2,650,0,260
XmlBeanSerializer,2,650,0,111
XmlFactory,6,650,0,356
XmlMapper,5,650,0,86
XmlSerializerProvider,2,650,0,78
XmlTypeResolverBuilder,6,631,0,177
TestAdapterIssue37,2,413,0,179
TestIssue47Attribute,1,412,0,0
TestArrayConversions,3,370,0,201
TestBinaryData,1,303,0,0
TestDeserialization,1,303,0,0
TestEnums,2,303,5,11
TestStringValues,4,303,17,13
TestViews,1,303,0,0
AttributeFailIssue108Test,2,306,0,39
DeserializePolyList178Test,2,114,0,80
EmptyElement167Test,2,118,0,29
EmptyList177Test,2,142,0,43
EmptyListDeser124Test,1,51,0,0
Issue101UnwrappedListAttributesTest,2,303,0,106
Issue37AdapterTest,1,303,0,0
Issue76Test,2,348,0,66
Issue97Test,4,303,0,71
JAXBObjectId170Test,3,114,0,125
ListDeser191Test,2,70,0,41
NestedUnwrappedLists180Test,4,113,0,75
PolymorphicList97Test,1,68,0,0
SupportDTDDefaultsTest,1,47,0,0
TestAdapterIssue37,6,412,0,179
TestConflictingGetters,1,517,0,0
TestDeserialization,4,533,3,3
TestElementWrapper,2,533,0,63
TestEmptyContent,1,369,0,0
TestEnums,5,588,20,10
TestIssue47Attribute,2,431,0,34
TestIssue64Lists,3,368,0,49
TestListRoundtrip,2,376,0,49
TestOrderingIssue91,2,325,0,30
TestPolymorphic,3,588,2,2
TestStringValues162,2,131,44,0
TestTextValue,2,367,0,52
TestUntypedListSerialization,5,577,20,22
TestUnwrappedDeserIssue86,4,335,43,58
TestUnwrappedLists,4,516,0,88
TestUnwrappedRootList,3,463,0,80
UnwrappedListWithEmptyCData129Test,2,220,0,45
IncrementalWritingTest,1,268,0,0
PartialReadTest,2,268,35,0
AttributesWithJAXBTest,2,300,28,18
ElementWrapperTest,1,300,0,0
JAXBObjectId170Test,1,106,0,0
TestAttributes,2,483,0,48
TestElementWrapper,9,538,0,57
TestWithJAXBAnnotations,8,588,0,86
WithJAXBAnnotationsTest,1,300,0,0
AttributeIssue108Test,2,290,0,39
AttributeIssue99Test,2,290,0,36
DeserializePolyList178Test,1,69,0,0
EmptyListDeserTest,2,141,4,0
Issue101UnwrappedListAttributesTest,1,298,0,0
Issue43Test,2,301,0,47
ListAnnotationSharingTest,3,303,2,2
ListAsObjectTest,2,290,0,7
ListDeser191Test,1,69,0,0
ListDeserializationTest,2,301,1,1
ListRoundtripTest,2,301,1,1
ListSerializationTest,2,301,0,2
ListWithAttributes,3,289,33,1
NestedUnwrappedLists180Test,1,106,0,0
NestedUnwrappedListsTest,4,301,8,8
RootListHandlingTest,2,303,2,2
TestListDeserialization,2,303,0,167
TestListRoundtrip,2,303,0,177
TestListSerialization,2,303,0,75
TestRootListHandling,2,361,0,192
TestUnwrappedLists,4,361,0,54
TestWrappedLists,2,316,0,41
UnwrappedListsTest,1,301,0,0
UnwrappedListWithEmptyCData129Test,2,217,2,2
WrappedListsTest,1,303,0,0
ManualTest,0,0,0,0
MediaItem,2,525,1,1
ArrayConversionsTest,1,300,0,0
AttributeIssue108Test,2,291,0,39
EmptyPolymorphicTest,2,127,1,1
ListAsObjectTest,2,292,0,66
NodeTest,1,229,0,0
ObjectId104Test,1,300,0,0
PolymorphicTypesTest,2,300,3,6
RootNameTest,1,4,0,0
TextValueTest,4,300,8,8
UnwrappingWithXMLTest,5,293,7,11
XmlTextTest,3,300,53,1
ObjectId104Test,2,303,0,44
RoundtripContentTest,4,293,13,16
TestIndentation,5,303,61,15
TestJDKSerializability,2,303,1,1
TestNamespaces,1,303,0,0
TestSerializationAttr,2,303,28,1
TestSerialization,3,303,31,62
TestSerializationManual,1,303,0,0
TestSerializationOrdering,1,303,0,0
TestSerializerCustom,1,303,0,0
TestXmlDeclaration,1,303,0,0
FormatDetectionTest,2,302,4,4
TestXMLFormatDetection,2,355,0,168
TestXmlGenerator,2,355,0,109
TestXmlParser,2,355,0,258
TestXmlTokenStream,2,355,0,90
XmlGeneratorTest,1,302,0,0
XmlParserNextXxxTest,1,53,0,0
XmlParserTest,5,302,86,76
XmlTokenStreamTest,1,302,0,0
TestBinaryData,3,526,0,43
TestComplex,7,525,0,30
TestDeserialization,13,588,0,69
TestEnums,2,588,0,37
TestIndentation,5,588,0,72
TestIssue104,3,318,0,46
TestJDKSerializability,5,466,0,84
TestListDeserialization,9,577,0,68
TestListRoundtrip,2,413,0,92
TestListSerialization,3,577,0,73
TestListsUnwrapped,3,491,0,96
TestNamespaces,2,536,0,41
TestPolymorphic,4,588,0,93
TestRootListHandling,4,373,0,106
TestSerializationAttr,5,560,0,85
TestSerialization,8,588,0,240
TestSerializationManual,4,417,0,47
TestSerializationOrdering,2,323,0,30
TestSerializerCustom,3,443,0,91
TestStringValues,5,470,0,49
TestTextValue,14,552,0,37
TestUnwrappingWithXML,3,317,0,136
TestVersions,13,588,0,45
TestViews,7,588,0,73
TestXmlDeclaration,2,588,0,30
TestXMLFormatDetection,4,588,0,104
TestXmlGenerator,4,588,0,94
TestXmlParser,5,588,0,256
TestXmlTokenStream,3,588,0,89
TestTextValue,2,303,0,183
TestXmlText,2,303,0,30
PolymorphicTypesTest,2,302,0,124
TestPolymorphic,6,355,0,94
Issue43Test,2,303,0,47
NestedUnwrappedListsTest,2,302,0,191
TestIssue43,2,409,0,47
TestIssue86,2,344,0,96
TestIssue97,2,318,0,96
TestListAnnotationSharing,2,407,0,54
TestListDeserialization,2,411,0,167
TestListRoundtrip,5,411,0,135
TestListSerialization,2,411,0,75
TestListsUnwrapped,4,484,0,125
TestNestedUnwrappedLists,7,484,0,104
TestXmlText,3,344,0,33
UnwrappedListsTest,2,302,0,180
VersionInfoTest,2,293,1,1
XmlTestBase,14,588,93,10
TestEnums,4,600,0,47
TestPolymorphic,4,600,0,101
TestWithJAXBAnnotations,8,646,0,101
TestDeserialization,4,651,0,68
TestEnums,6,608,0,59
TestIndentation,6,651,0,71
TestPolymorphic,11,651,0,132
TestSerialization,7,651,0,174
TestVersions,3,593,0,45
TestViews,5,605,0,72
TestWithJAXBAnnotations,3,650,0,59
TestXmlDeclaration,5,651,0,30
TestXMLFormatDetection,4,615,0,105
TestXmlGenerator,5,651,0,94
TestXmlParser,7,651,0,231
TestXmlTokenStream,4,651,0,89
XmlTestBase,4,651,0,228
