ClassName,Changes,TotalCommits,Insertions,Deletions
AbstractFactory,12,406,49,87
BasicNamespaceManager,2,239,0,89
BasicNodeSet,10,264,43,70
BasicVariables,10,418,44,65
ClassFunctions,14,418,71,76
CompiledExpression,8,383,34,60
Container,9,416,18,63
DynamicPropertyHandler,7,418,16,61
ExpressionContext,10,418,32,67
ExtendedKeyManager,4,103,2,1
Function,10,418,23,65
FunctionLibrary,9,418,50,80
ConstructorFunction,14,418,44,75
Functions,10,418,25,63
MethodFunction,15,418,79,81
PackageFunctions,2,418,0,146
Types,3,418,0,454
IdentityManager,6,357,15,60
JXPathAbstractFactoryException,3,181,10,9
JXPathBasicBeanInfo,15,418,98,88
JXPathBeanInfo,9,418,29,68
JXPathContextFactoryConfigurationError,8,418,14,64
JXPathContextFactory,11,418,125,157
JXPathContext,37,418,515,131
JXPathException,11,387,35,82
JXPathFunctionNotFoundException,3,181,9,8
JXPathIntrospector,13,418,91,83
JXPathInvalidAccessException,3,181,10,9
JXPathInvalidSyntaxException,3,181,12,7
JXPath,5,418,0,116
JXPathNotFoundException,3,181,12,8
JXPathTypeConversionException,3,181,9,8
KeyManager,8,357,20,62
MapDynamicPropertyHandler,10,412,28,72
NamespaceManager,2,239,0,88
NodeSet,6,272,20,57
PackageFunctions,17,418,126,84
Pointer,13,418,64,78
AncestorContext,19,418,68,128
AttributeContext,15,416,46,128
ChildContext,22,418,86,144
DescendantContext,19,418,95,127
InitialContext,20,418,42,77
NamespaceContext,13,411,57,82
NodeSetContext,6,264,34,59
ParentContext,17,418,43,118
PrecedingOrFollowingContext,20,418,93,146
PredicateContext,27,418,137,96
PropertyIterator,2,418,0,324
RootContext,22,418,84,101
SelfContext,14,418,45,110
SimplePathInterpreter,24,388,832,213
UnionContext,18,418,56,102
Constant,11,418,29,76
CoreFunction,31,418,840,107
CoreOperationAdd,6,281,32,53
CoreOperationAnd,6,281,18,55
CoreOperationCompare,10,281,67,86
CoreOperationDivide,6,281,33,53
CoreOperationEqual,7,281,24,67
CoreOperationGreaterThan,6,281,19,69
CoreOperationGreaterThanOrEqual,6,281,20,69
CoreOperation,18,418,59,101
CoreOperationLessThan,7,281,30,69
CoreOperationLessThanOrEqual,6,281,20,69
