ClassName,Changes,TotalCommits,Insertions,Deletions
CLI2Converter,3,184,0,190
CLI2ConverterTest,3,184,0,132
Argument,3,331,0,96
ArgumentBuilder,6,331,0,259
CommandBuilder,5,331,0,166
DefaultOptionBuilder,6,331,0,219
GroupBuilder,3,331,0,116
PatternBuilder,3,331,0,200
SwitchBuilder,7,331,0,176
CommandLineImpl,3,331,0,116
DefaultingCommandLine,2,331,0,171
CommandLine,2,331,0,214
Parser,9,331,0,147
PreferencesCommandLine,2,331,0,169
PropertiesCommandLine,2,331,0,154
WriteableCommandLineImpl,5,331,0,215
DisplaySetting,3,331,0,156
Group,2,331,0,64
HelpLine,2,331,0,52
ArgumentImpl,10,331,0,370
Command,6,331,0,180
DefaultOption,7,331,0,231
OptionException,4,331,0,110
GroupImpl,11,331,0,470
HelpLineImpl,2,331,0,109
Option,6,331,0,187
OptionImpl,7,331,0,102
ParentImpl,6,331,0,255
PropertyOption,5,331,0,166
SourceDestArgument,5,331,0,143
Switch,9,331,0,234
Parent,2,331,0,40
ResourceConstants,3,225,0,57
ResourceHelper,8,331,0,178
Comparators,3,331,0,479
HelpFormatter,9,331,0,604
ClassValidator,6,331,0,156
DateValidator,9,331,0,213
EnumValidator,9,331,0,86
FileValidator,5,331,0,166
InvalidArgumentException,3,331,0,30
NumberValidator,7,331,0,132
UrlValidator,6,331,0,62
Validator,3,331,0,35
WriteableCommandLine,3,331,0,59
AlreadySelectedException,12,440,70,66
AbstractParserControl,2,265,0,40
CLArgsParser,2,265,0,810
CLOptionDescriptor,2,265,0,226
CLOption,2,265,0,173
CLUtil,2,265,0,118
ParserControl,2,265,0,36
Token,2,265,0,72
BasicParser,9,404,40,7
CLI2Converter,2,331,0,190
CommandLine,29,440,307,147
CommandLineParserFactory,5,429,0,95
CommandLineParser,13,437,73,66
GnuParser,21,436,85,142
HelpFormatter,37,440,966,319
MissingArgumentException,11,440,55,67
MissingOptionException,11,440,81,67
OptionBuilder,23,416,324,33
OptionGroup,16,440,89,125
Option,38,440,563,192
Options,28,440,152,578
OptionValidator,9,366,52,81
ParseException,10,440,26,67
Parser,33,404,333,90
PatternOptionBuilder,20,440,162,130
PosixParser,27,437,247,164
TypeHandler,20,440,187,137
UnrecognizedOptionException,11,440,54,67
Util,10,366,60,64
AntTest,2,331,0,197
CpTest,4,331,0,470
CvsTest,2,331,0,311
LsTest,2,331,0,223
Bug13886Test,2,331,0,88
Bug13935Test,2,331,0,59
Bug15046Test,2,331,0,81
Bug15648Test,2,331,0,59
Bug27575Test,2,331,0,40
Bug28005Test,3,331,0,79
Bug32533Test,3,277,0,49
BugCLI18Test,2,190,0,59
BugLoopingOptionLookAlikeTest,3,266,0,57
ArgumentBuilderTest,2,222,0,251
DefaultOptionBuilderTest,4,331,0,199
CLITestCase,3,331,0,84
DefaultingCommandLineTest,6,331,0,132
CommandLineDefaultsTest,2,307,0,250
ParserTest,2,259,0,124
PreferencesCommandLineTest,4,331,0,50
PropertiesCommandLineTest,5,331,0,51
CommandLineTestCase,6,331,0,485
WriteableCommandLineImplTest,3,331,0,35
DocumentationTest,7,331,0,321
JDependTest,4,331,0,111
ArgumentTestCase,2,331,0,27
ArgumentTest,9,331,0,615
CommandTest,5,331,0,241
DefaultOptionTest,4,331,0,225
GroupTestCase,3,331,0,31
GroupTest,6,331,0,426
NestedGroupTest,3,277,0,199
OptionTestCase,2,331,0,54
ParentTestCase,2,331,0,25
ParentTest,5,331,0,414
PropertyOptionTest,4,331,0,232
SwitchTest,6,331,0,239
PrecedenceTest,6,331,0,416
ResourceHelperTest,2,219,0,81
ComparatorsTest,3,331,0,222
HelpFormatterTest,10,331,0,343
ClassValidatorTest,4,331,0,247
DateValidatorTest,12,331,0,80
EnumValidatorTest,5,331,0,58
FileValidatorTest,9,331,0,82
NumberValidatorTest,5,331,0,146
ProtectedClass,3,331,0,21
TimeZoneTestSuite,2,252,0,45
UrlValidatorTest,5,331,0,55
WriteableCommandLineTestCase,4,331,0,94
ApplicationTest,20,436,196,36
ArgumentIsOptionTest,6,289,41,65
ClutilTestCase,2,265,0,1022
BasicParserTest,2,106,26,10
BugCLI133Test,2,159,7,1
BugCLI138Test,2,128,0,59
BugCLI13Test,2,178,5,5
BugCLI148Test,3,127,10,3
BugCLI162Test,10,41,254,19
BugCLI18Test,3,190,25,21
BugCLI51Test,3,177,0,51
BugCLI71Test,3,176,11,4
BugsTest,30,408,356,34
BuildTest,7,440,0,166
CLI2ConverterTest,2,331,0,132
CommandLineTest,1,83,0,0
GnuParserTest,7,91,3,174
GnuParseTest,10,429,0,267
HelpFormatterExamples,6,440,0,106
HelpFormatterTest,12,157,402,149
LongOptionWithShort,4,289,0,113
OptionBuilderTest,9,416,77,51
OptionGroupTest,15,440,138,152
OptionsTest,13,365,112,94
OptionTest,6,176,140,35
ParseRequiredTest,13,440,82,54
ParserTestCase,2,50,8,0
ParseTest,12,440,0,307
PatternOptionBuilderTest,17,440,162,51
PosixParserTest,10,115,103,7
TestHelpFormatter,10,440,0,163
UtilTest,4,159,11,2
ValuesTest,14,440,144,91
ValueTest,13,440,240,96
