ClassName,Changes,TotalCommits,Insertions,Deletions
FunctionInfo,4,413,11,12
FunctionInformationMap,15,413,6,0
FunctionInformationMapOrBuilder,3,169,0,19
Instrumentation,14,413,2,0
InstrumentationOrBuilder,3,169,0,33
InstrumentationTemplate,4,413,7,8
AbstractCommandLineRunner,29,353,769,323
AbstractCompiler,12,445,56,12
AbstractCompilerRunner,18,445,0,850
AbstractMessageFormatter,6,445,1,2
AbstractPeepholeOptimization,9,251,70,21
AliasExternals,9,445,52,41
AliasKeywords,8,445,5,10
AliasStrings,6,445,2,7
AmbiguateProperties,17,445,143,100
AnalyzeNameReferences,6,445,6,7
AnalyzePrototypeProperties,10,445,106,37
AnonymousFunctionNamingCallback,5,445,0,1
AnonymousFunctionNamingPolicy,1,445,0,0
AntErrorManager,5,399,0,1
CompileTask,13,399,37,24
AstChangeProxy,6,445,2,1
AstParallelizer,5,445,0,1
BasicErrorManager,6,445,29,23
CallGraph,4,167,248,132
ChainableReverseAbstractInterpreter,6,445,43,17
ChainCalls,6,445,2,3
CheckAccessControls,4,445,23,26
CheckAccidentalSemicolon,7,445,3,9
CheckGlobalNames,3,445,14,3
CheckGlobalThis,11,445,47,16
CheckLevel,5,445,0,1
CheckLevelLegacy,5,445,0,1
CheckMissingGetCssName,8,445,10,15
CheckMissingReturn,8,445,21,12
CheckPathsBetweenNodes,8,445,77,14
CheckProvides,6,445,2,3
CheckRegExp,4,296,7,4
CheckRequiresForConstructors,7,445,2,4
CheckSideEffects,8,445,17,4
CheckUnreachableCode,9,445,61,7
ClosureCodeRemoval,3,159,78,6
ClosureCodingConvention,12,445,48,21
ClosureReverseAbstractInterpreter,8,445,69,54
CoalesceVariableNames,17,445,142,130
CodeChangeHandler,3,445,10,1
CodeConsumer,10,445,36,32
CodeGenerator,32,445,264,73
CodePrinter,13,445,163,137
CodingConventionAnnotator,4,445,0,97
CodingConvention,17,445,74,23
CollapseAnonymousFunctions,7,445,8,2
CollapseProperties,11,445,46,35
CollapseVariableDeclarations,7,445,1,2
CombinedCompilerPass,7,445,33,18
CommandLineRunner,26,353,489,47
CompilationLevel,19,445,23,18
CompilerInput,10,445,144,41
Compiler,49,445,521,671
CompilerOptions,32,445,224,17
CompilerPass,6,445,1,2
CompilerRunner,10,445,0,157
ComposeWarningsGuard,4,445,24,12
ConcreteType,8,445,5,8
ConstCheck,7,445,3,10
ControlFlowAnalysis,11,445,83,45
ControlFlowGraph,8,445,52,28
ControlStructureCheck,7,445,18,128
ConvertToDottedProperties,6,445,2,3
CreateSyntheticBlocks,7,445,133,74
CrossModuleCodeMotion,13,445,40,28
CrossModuleMethodMotion,5,445,17,8
CssRenamingMap,5,445,0,1
CustomPassExecutionTime,1,445,0,0
DataFlowAnalysis,9,445,7,66
DeadAssignmentsElimination,14,445,184,38
DefaultCodingConvention,15,445,28,22
DefaultPassConfig,46,445,918,184
DefinitionProvider,5,445,0,1
DefinitionSite,5,445,0,1
DefinitionsRemover,8,445,86,46
Denormalize,7,445,43,4
DependencyInfo,3,315,1,3
DepsFileParser,5,307,53,30
JsFileLineParser,5,307,96,35
JsFileParser,5,307,41,23
SimpleDependencyInfo,3,315,1,3
SortedDependencies,6,285,143,4
DevirtualizePrototypeMethods,9,445,34,6
DiagnosticGroup,2,445,1,1
DiagnosticGroups,13,445,56,3
DiagnosticGroupWarningsGuard,2,445,1,1
DiagnosticType,5,445,0,1
DisambiguateProperties,14,445,61,37
DotFormatter,6,445,24,25
ErrorFormat,3,445,10,0
ErrorManager,5,445,0,1
ErrorPass,6,340,15,16
ExportTestFunctions,9,445,33,6
ExpressionDecomposer,9,445,198,93
ExternExportsPass,10,445,222,104
ExtractPrototypeMemberDeclarations,11,445,22,14
FindExportableNodes,8,445,5,6
FlowScope,3,445,1,2
FlowSensitiveInlineVariables,10,445,118,6
FoldConstants,16,445,0,2001
FunctionArgumentInjector,6,445,11,38
FunctionCheck,2,445,0,254
FunctionInjector,8,445,38,43
FunctionNames,7,445,4,5
FunctionRewriter,8,445,7,22
FunctionToBlockMutator,9,445,23,12
FunctionTypeBuilder,17,445,209,78
GatherRawExports,5,424,2,2
GatherSideEffectSubexpressionsCallback,6,445,3,3
GenerateExports,8,445,18,4
GlobalNamespace,9,445,11,6
GoogleCodeRemoval,4,445,0,162
GoogleCodingConvention,10,445,14,13
AdjacencyGraph,6,445,3,4
Annotatable,5,445,0,1
Annotation,5,445,0,1
DiGraph,7,445,41,7
FixedPointGraphTraversal,2,445,1,1
GraphColoring,6,445,1,3
Graph,7,445,41,36
GraphNode,5,445,0,1
GraphReachability,6,445,32,5
GraphvizGraph,5,445,0,1
LinkedDirectedGraph,8,445,48,93
LinkedUndirectedGraph,6,445,34,51
StandardUnionFind,5,445,0,4
SubGraph,5,445,0,1
UndiGraph,2,445,5,1
UnionFind,6,445,9,10
GroupVariableDeclarations,5,311,0,1
IgnoreCajaProperties,6,422,24,25
InferJSDocInfo,5,445,115,31
InlineCostEstimator,6,445,0,16
InlineFunctions,18,445,174,56
InlineGetters,8,445,5,5
InlineVariables,15,445,283,123
InstrumentFunctions,6,445,6,3
InvocationsCallback,6,445,4,5
JoinOp,1,271,0,0
JsAst,10,445,7,9
JSError,8,445,20,45
JsMessageDefinition,1,260,0,0
JsMessageExtractor,7,254,1,5
JsMessage,7,260,264,9
JsMessageVisitor,4,260,23,6
JSModuleGraph,13,445,145,35
JSModule,14,445,79,75
ErrorLevel,1,39,0,0
JsonMLAst,1,39,0,0
JsonMLError,1,39,0,0
JsonMLException,1,39,0,0
JsonML,1,39,0,0
JsonMLUtil,1,39,0,0
NodeUtil,1,39,0,0
Reader,1,39,0,0
SecureCompiler,1,39,0,0
TagAttr,1,39,0,0
TagType,1,39,0,0
Validator,1,39,0,0
Writer,1,39,0,0
JSSourceFile,7,445,14,4
LatticeElement,6,281,1,2
LightweightMessageFormatter,8,445,19,6
LineNumberCheck,4,445,12,3
LinkedFlowScope,4,445,2,4
LiveVariablesAnalysis,8,445,3,4
LocaleUtil,3,445,4,6
LoggerErrorManager,7,445,11,3
MakeDeclaredNamesUnique,9,445,207,96
MarkNoSideEffectCalls,6,445,1,2
MaybeReachingVariableUse,8,445,5,6
MemoizedScopeCreator,2,445,1,1
MessageBundle,5,260,0,2
MessageFormatter,5,445,0,1
MethodCheck,3,445,0,118
MethodCompilerPass,8,445,6,31
MinimizeExitPoints,4,445,7,8
MoveFunctionDeclarations,5,445,0,1
MustBeReachingVariableDef,10,445,24,10
NameAnalyzer,15,445,302,227
NameAnonymousFunctions,6,445,3,4
NameAnonymousFunctionsMapped,6,445,4,5
NameGenerator,7,445,7,8
