ClassName,Changes,TotalCommits,Insertions,Deletions
Base64,9,560,0,393
Base64InputStream,12,140,174,148
Base64,59,560,1047,498
Base64OutputStream,9,140,198,171
BinaryCodec,12,341,43,32
Binary,9,390,0,545
BinaryDecoder,16,560,42,82
BinaryEncoder,16,560,42,79
Hex,26,560,229,125
StringBytesUtils,7,68,0,272
StringUtils,5,30,8,5
CharEncoding,1,33,0,0
DecoderException,20,560,88,75
Decoder,16,560,55,87
DigestUtils,17,482,539,170
EncoderException,21,560,90,75
Encoder,15,560,25,62
Caverphone,7,165,20,20
DoubleMetaphone,34,529,195,196
Metaphone,35,560,285,203
RefinedSoundex,34,560,161,112
Soundex,40,560,226,115
SoundexUtils,12,413,71,110
BCodec,22,346,34,33
CharacterEncodingNames,7,279,0,66
QCodec,23,346,34,32
QuotedPrintableCodec,26,359,177,193
RFC1522Codec,16,346,47,30
StringEncodings,3,347,0,49
URLCodec,39,522,161,167
Utils,4,38,4,3
RequiredCharsetNames,3,68,0,136
StringDecoder,14,522,20,58
StringEncoderComparator,22,560,44,67
StringEncoder,15,560,40,78
Base64Test,5,560,0,354
Base64InputStreamTest,9,140,332,212
Base64OutputStreamTest,9,140,310,208
Base64TestData,7,140,211,159
Base64Test,44,560,1025,443
BinaryCodecTest,7,341,18,12
BinaryTest,10,390,0,1792
BinaryEncoderAbstractTest,18,560,22,66
HexTest,18,560,186,133
StringBytesUtilsTest,3,68,0,169
StringUtilsTest,4,30,12,2
CharEncodingTest,3,33,2,2
DecoderExceptionTest,4,35,14,5
DigestUtilsTest,19,482,152,125
EncoderExceptionTest,4,35,14,5
AllTests,10,453,14,5
CaverphoneTest,5,165,9,3
DoubleMetaphone2Test,2,6,4,4
DoubleMetaphoneTest,20,487,1248,159
MetaphoneTest,25,560,455,91
RefinedSoundexTest,23,560,96,81
SoundexTest,33,560,374,79
BCodecTest,9,342,18,43
QCodecTest,11,342,32,47
QuotedPrintableCodecTest,10,359,22,19
RFC1522CodecTest,13,335,35,56
URLCodecTest,24,520,227,80
UtilsTest,5,22,9,3
RequiredCharsetNamesTest,5,68,0,46
StringEncoderAbstractTest,19,560,58,68
StringEncoderComparatorTest,19,560,81,91
