ClassName,Changes,TotalCommits,Insertions,Deletions
Bzip2Compress,4,304,0,70
BZip2Example,0,0,0,0
Bzip2Uncompress,4,304,0,76
TarExample,0,0,0,0
ZipExample,0,0,0,0
AbstractArchive,0,0,0,0
AbstractCompressor,0,0,0,0
ArchiveEntry,0,0,0,0
ArchiveException,0,0,0,0
Archive,0,0,0,0
ArchiverFactory,0,0,0,0
TarArchive,0,0,0,0
TarBuffer,0,0,0,0
TarEntry,0,0,0,0
TarInputStream,0,0,0,0
TarOutputStream,0,0,0,0
TarUtils,0,0,0,0
AsiExtraField,0,0,0,0
ExtraFieldUtils,0,0,0,0
UnixStat,0,0,0,0
UnrecognizedExtraField,0,0,0,0
ZipArchive,0,0,0,0
ZipEntry,0,0,0,0
ZipExtraField,0,0,0,0
ZipLong,0,0,0,0
ZipOutputStream,0,0,0,0
ZipShort,0,0,0,0
BZip2Constants,4,340,0,144
CBZip2InputStream,6,340,0,1012
CBZip2OutputStream,4,340,0,2080
CRC,4,340,0,172
CompressException,0,0,0,0
CompressorFactory,0,0,0,0
Compressor,0,0,0,0
BZip2Compressor,0,0,0,0
BZip2Constants,0,0,0,0
BZip2InputStream,0,0,0,0
BZip2OutputStream,0,0,0,0
CRC,0,0,0,0
CompressUtils,0,0,0,0
PackableObjectException,0,0,0,0
PackableObject,0,0,0,0
TarBuffer,6,344,0,542
TarConstants,5,344,0,187
TarEntry,5,344,0,733
TarInputStream,6,344,0,510
TarOutputStream,5,344,0,469
TarUtils,5,344,0,278
UnpackException,0,0,0,0
AsiExtraField,5,344,0,451
ExtraFieldUtils,5,344,0,249
UnixStat,5,344,0,121
UnrecognizedExtraField,5,344,0,225
ZipEntry,5,344,0,496
ZipExtraField,5,344,0,133
ZipLong,5,344,0,165
ZipOutputStream,5,344,0,773
ZipShort,5,344,0,161
ArArchiveEntry,7,342,23,7
ArArchiveInputStream,14,342,152,104
ArArchiveOutputStream,11,342,140,145
ArchiveEntry,3,342,3,4
ArchiveException,1,342,0,0
