ClassName,Changes,TotalCommits,Insertions,Deletions
CharBuffer,8,740,0,188
CSVParser,29,781,0,763
CSVPrinter,11,781,0,358
CSVStrategy,14,761,0,87
CSVUtils,7,756,0,116
ExtendedBufferedReader,10,781,0,304
CSVConfigGuesser,6,771,0,187
CSVConfig,6,771,0,285
CSVField,5,771,0,111
CSVWriter,8,771,0,130
Assertions,4,86,18,1
CharBuffer,7,654,0,237
Constants,16,414,37,6
CSVFormat,167,644,813,128
CSVLexer,55,574,0,344
CSVParser,118,654,359,513
CSVPrinter,71,654,306,188
CSVRecord,45,570,225,87
CSVStrategy,5,654,0,191
CSVUtils,7,654,0,121
ExtendedBufferedReader,32,654,102,169
Lexer,53,108,30,29
package-info,9,463,24,22
Quote,6,372,4,3
Token,17,549,32,19
UnicodeUnescapeReader,6,616,0,83
CSVConfigGuesser,2,654,0,196
CSVConfig,4,654,0,347
CSVField,2,654,0,114
CSVWriter,2,654,0,144
AllTests,4,739,0,30
FormatTests,1,782,0,40
AssertionsTest,2,86,17,0
CharBufferTest,5,654,0,195
CSVFileParserTest,24,517,85,22
CSVFormatBuilderTest,16,313,0,152
CSVFormatTest,49,644,364,31
CSVLexer130663,2,485,0,226
CSVLexer1306663,14,481,0,226
CSVLexer1306667,14,471,0,226
CSVLexer1,17,542,0,238
CSVLexer3,10,495,0,248
CSVLexerTest,61,614,0,167
CSVParserTest,101,654,777,453
CSVPrinterTest,50,654,408,152
CSVRecordBooleanTest,4,127,0,63
CSVRecordIntTest,2,123,0,64
CSVRecordLongTest,2,124,0,64
CSVRecordTest,13,215,86,7
CSVStrategyTest,4,654,0,91
CSVUtilsTest,3,654,0,150
ExtendedBufferedReaderTest,22,654,151,96
FercGovTest,6,139,49,41
LexerTest,2,63,1,1
PerformanceTest,20,566,190,43
PerformanceTest,16,460,85,34
TokenMatchers,4,227,13,18
TokenMatchersTest,1,227,0,0
Utils,7,479,7,19
CSVConfigGuesserTest,2,654,0,91
CSVConfigTest,2,654,0,103
CSVFieldTest,2,654,0,52
CSVWriterTest,2,654,0,165
AllTests,4,739,0,35
CharBufferTest,5,740,0,193
CSVParserTest,18,781,0,518
CSVPrinterTest,11,781,0,78
CSVStrategyTest,10,761,0,117
CSVUtilsTest,5,756,0,154
ExtendedBufferedReaderTest,8,781,0,233
AllTests,3,739,0,19
CSVConfigGuesserTest,5,770,0,88
CSVConfigTest,5,770,0,100
CSVFieldTest,5,770,0,50
CSVWriterTest,6,770,0,55
