ClassName,Changes,TotalCommits,Insertions,Deletions
CodeGen,1,322,0,0
GeneratedTypeAdapter,1,322,0,0
GeneratedTypeAdapterProcessor,1,322,0,0
JavaWriter,1,322,0,0
CodeGenFunctionalTest,2,322,1,1
Order,2,322,1,1
GsonProguardExampleActivity,2,637,25,1
Cart,1,636,0,0
LineItem,2,636,1,1
RawCollectionsExample,3,668,4,6
GraphAdapterBuilder,5,403,10,5
GraphTypeAdapterFactory,5,418,0,124
Intercept,1,307,0,0
InterceptorFactory,1,307,0,0
JsonPostDeserializer,1,307,0,0
ArrayTypeAdapter,2,647,0,92
CollectionTypeAdapter,4,649,0,102
MapTypeAdapter,2,648,0,113
MiniGson,7,649,0,117
ReflectiveTypeAdapter,5,649,0,143
StringToValueMapTypeAdapter,2,647,0,106
TypeAdapter,4,649,0,56
TypeAdapters,2,649,0,129
RuntimeTypeAdapterFactory,12,552,24,22
RuntimeTypeAdapter,5,677,0,102
UtcDateTypeAdapter,4,212,236,17
GraphAdapterBuilderTest,3,403,100,2
GraphTypeAdapterFactoryTest,3,418,0,49
InterceptorTest,1,307,0,0
MiniGsonTest,6,649,0,75
RuntimeTypeAdapterFactoryTest,3,552,31,11
RuntimeTypeAdapterTest,5,677,0,57
UtcDateTypeAdapterTest,4,212,31,2
CodeGen,2,348,0,53
GeneratedTypeAdapter,2,348,0,21
GeneratedTypeAdapterProcessor,2,348,0,58
JavaWriter,2,348,0,443
CodeGenFunctionalTest,2,347,0,26
Order,2,347,0,37
Adapt,2,251,0,93
Expose,3,1233,22,4
JsonAdapter,11,250,16,12
SerializedName,4,1233,30,12
Since,2,1233,2,1
Until,3,1155,6,3
AnonymousAndLocalClassExclusionStrategy,6,1127,0,39
BaseMapTypeAdapter,6,732,0,45
Cache,6,743,0,51
CamelCaseSeparatorNamingPolicy,6,1233,0,71
CircularReferenceException,3,1026,0,46
CompositionFieldNamingPolicy,2,1233,0,45
DefaultConstructorAllocator,6,750,0,89
DefaultDateTypeAdapter,3,481,9,9
DefaultTypeAdapters,87,1233,0,415
DelegatingJsonElementVisitor,7,1233,0,111
DisjunctionExclusionStrategy,10,1233,0,67
Escaper,12,1233,0,146
ExclusionStrategy2Adapter,2,797,0,39
ExclusionStrategy2,2,797,0,125
ExclusionStrategy,11,1233,76,13
ExposeAnnotationBasedExclusionStrategy,2,1233,0,37
ExposeAnnotationDeserializationExclusionStrategy,6,789,0,38
ExposeAnnotationExclusionStrategy,2,797,0,45
ExposeAnnotationSerializationExclusionStrategy,6,789,0,38
FieldAttributes,33,1006,44,11
FieldNamingPolicy,10,1233,114,9
FieldNamingStrategy2Adapter,12,974,0,37
FieldNamingStrategy2,7,974,0,39
FieldNamingStrategy,6,1233,4,1
GenericArrayTypeImpl,2,1233,0,71
GsonBuilder,95,1233,359,127
GsonExclusionStrategy,2,479,0,132
Gson,179,1233,704,126
GsonToMiniGsonTypeAdapterFactory,7,578,0,99
GsonToMiniGsonTypeAdapter,6,627,0,104
InnerClassExclusionStrategy,7,1233,0,39
InstanceCreator,1,1233,1,0
$Cache,2,747,0,51
$Gson$Preconditions,3,724,4,6
$Gson$Types,11,724,29,30
$LruCache,2,747,0,57
$Pair,2,747,0,61
$Preconditions,2,747,0,51
$Primitives,2,747,0,117
$Types,2,747,0,589
$UnsafeAllocator,2,747,0,104
Intercept,2,312,0,64
JsonPostDeserializer,2,312,0,33
package-info,2,312,0,9
AdaptAnnotationTypeAdapterFactory,2,251,0,59
ArrayTypeAdapter,18,633,33,28
BigDecimalTypeAdapter,7,611,0,41
BigIntegerTypeAdapter,7,611,0,41
CollectionTypeAdapterFactory,13,578,24,20
CollectionTypeAdapter,9,633,0,113
DateTypeAdapter,9,557,24,17
ExcludedTypeAdapterFactory,4,578,0,79
FieldTypeAdapterFactory,2,261,0,60
GsonCompatibleMapTypeAdapter,4,603,0,104
JsonAdapterAnnotationTypeAdapterFactory,11,250,28,15
JsonElementReader,9,547,0,192
JsonElementWriter,7,543,0,166
JsonTreeReader,1,460,0,0
JsonTreeWriter,1,417,0,0
MapTypeAdapterFactory,22,578,195,32
MiniGson,10,633,0,184
ObjectTypeAdapter,16,603,34,29
Reflection,7,620,0,56
ReflectiveTypeAdapterFactory,30,578,96,67
ReflectiveTypeAdapter,16,633,0,158
SqlDateTypeAdapter,7,554,14,6
StringToValueMapTypeAdapterFactory,5,578,0,106
StringToValueMapTypeAdapter,4,633,0,106
TimeTypeAdapter,7,557,14,6
TypeAdapter,7,633,0,56
TypeAdapterRuntimeTypeWrapper,8,614,45,14
TypeAdapters,57,633,850,51
ISO8601Utils,3,96,5,39
Cache,2,761,0,51
ConstructorConstructor,17,578,88,25
Excluder,8,478,11,10
GsonInternalAccess,2,416,0,39
JsonReaderInternalAccess,1,466,0,0
LazilyParsedNumber,8,626,32,5
LinkedHashTreeMap,9,268,5,2
LinkedTreeMap,13,276,5,2
LruCache,2,761,0,57
ObjectConstructor,1,578,0,0
package-info,1,720,0,0
Pair,4,578,0,61
ParameterizedTypeHandlerMap,5,578,0,276
Preconditions,2,761,0,51
Primitives,5,578,3,2
Streams,10,626,13,89
StringMap,9,392,0,491
TypeMap,2,490,0,180
Types,3,761,0,597
UnsafeAllocator,5,628,18,18
JavaFieldNamingPolicy,4,1233,0,50
JsonArrayDeserializationVisitor,18,1233,0,134
JsonArray,26,1233,114,32
