ClassName,Changes,TotalCommits,Insertions,Deletions
Connection,8,138,309,12
DataUtil,8,292,0,40
Entities,2,160,0,2197
ListLinks,3,260,5,6
package-info,1,260,0,0
DataUtil,8,137,36,13
HttpConnection,20,138,346,31
StringUtil,4,146,38,3
Validate,3,146,29,2
Jsoup,19,376,188,5
Attribute,17,388,100,6
Attributes,20,391,244,3
Comment,14,391,30,5
DataNode,10,358,34,9
Document,28,391,339,7
DocumentType,1,7,0,0
Element,72,391,1030,31
Entities,14,159,99,57
Evaluator,15,307,0,131
Node,47,391,532,18
package-info,1,276,0,0
TextNode,26,391,157,4
XmlDeclaration,9,375,28,2
package-info,1,276,0,0
AttributeParser,3,391,0,15
CharacterReader,1,7,0,0
package-info,1,276,0,0
ParseError,1,7,0,0
Parser,51,391,56,55
ParserRuntimeException,3,394,0,8
Position,3,394,0,8
StartTag,4,391,0,25
Tag,41,392,184,183
Tokeniser,1,7,0,0
TokeniserState,1,7,0,0
Token,6,7,0,0
TokenQueue,30,374,302,57
TokenStream,4,394,0,8
TreeBuilder,1,7,0,0
TreeBuilderState,1,7,0,0
Cleaner,11,334,125,1
package-info,1,276,0,0
Whitelist,9,334,323,20
Collector,10,373,37,13
CombiningEvaluator,2,32,9,1
ElementList,4,369,0,68
Elements,23,366,420,1
Evaluator,7,38,1,1
AndSelector,10,77,0,27
AttrSelector,3,76,0,96
BasicSelector,4,77,0,30
ClassSelector,2,77,0,25
ElementContainerSelector,3,63,0,38
ElementSelector,7,77,0,39
HasSelector,4,58,0,32
IdSelector,2,77,0,25
ImmediateParentSelector,5,72,0,25
ImmediatePreviousSiblingSelector,2,45,0,39
ListSelector,3,77,0,30
NextSiblingSelector,2,72,0,23
NotSelector,7,77,0,23
OrSelector,8,71,0,30
ParentSelector,6,72,0,28
Parser,6,61,0,289
PreviousSequentSiblingSelector,5,66,0,31
PrevioustSiblingSelector,2,45,0,46
PrevSiblingSelector,5,66,0,23
RootSelector,3,50,0,13
SelectMatch,5,77,0,58
Selector,2,77,0,7
SequentSiblingSelector,2,72,0,31
TagSelector,2,77,0,23
NodeTraversor,1,188,0,0
NodeVisitor,1,188,0,0
package-info,1,276,0,0
QueryParser,2,38,10,11
Selector,36,369,94,67
AndSelector,3,38,0,57
BasicSelector,2,38,0,20
HasSelector,2,38,0,31
ImmediateParentSelector,2,38,0,25
ImmediatePreviousSiblingSelector,2,38,0,30
NotSelector,2,38,0,28
OrSelector,2,38,0,41
ParentSelector,2,38,0,37
PreviousSiblingSelector,2,38,0,40
RootSelector,2,38,0,18
StructuralEvaluator,1,32,0,0
DataUtilTest,2,179,0,15
EntitiesTest,2,160,0,18
DataUtilTest,2,137,6,0
HttpConnectionTest,3,120,87,2
StringUtilTest,2,146,18,0
Benchmark,1,309,0,0
ParseTest,17,351,149,31
UrlConnectTest,10,281,126,3
AttributesTest,2,133,3,9
AttributeTest,1,123,0,0
DocumentTest,10,354,63,1
ElementTest,44,381,456,5
EntitiesTest,7,159,32,8
NodeTest,11,352,109,6
TextNodeTest,6,245,44,0
CleanerTest,10,332,0,26
AttributeParserTest,2,388,0,52
AttributeParseTest,5,375,17,7
ParserTest,52,391,527,5
TagTest,3,392,9,28
TokenQueueTest,4,197,34,0
TokenStreamTest,4,394,0,8
TokenTest,2,391,0,78
CleanerTest,3,211,3,3
ElementListTest,3,367,0,21
ElementsTest,24,365,197,1
ParserSelectorNG,3,57,0,604
SelectorNGTest,5,68,0,606
SelectorTest,36,369,545,12
TextUtil,2,283,1,1
