ClassName,Changes,TotalCommits,Insertions,Deletions
AbstractDifferenceDerivative,7,4407,0,83
BackwardDifferenceDerivative,7,4407,0,88
CenterDifferenceDerivative,7,4407,0,89
ForwardDifferenceDerivative,7,4407,0,88
DerivativeOperatorFactory,5,4409,0,24
DerivativeOperatorFactoryTest,6,4409,0,36
FunctionOperator,3,4409,0,23
UnivariateRealFunctionProxy,7,4407,0,88
UnivariateRealFunctionUtils,7,4407,0,85
UnivariateRealFunctionUtilsTest,8,4407,0,102
Compilable,7,4409,0,67
DefaultContext,8,4409,0,257
EvaluationContext,7,4409,0,88
EvaluationException,8,4409,0,97
Evaluation,7,4409,0,67
Add,7,4409,0,94
Divide,7,4409,0,93
Equals,7,4409,0,91
Multiply,7,4409,0,91
Power,7,4409,0,95
Sqrt,7,4409,0,90
Subtract,7,4409,0,91
Variable,7,4409,0,76
CholeskySolver,7,4406,0,257
CholeskySolverTest,7,4406,0,329
Decomposer,7,4409,0,19
DecompositionFactory,6,4409,0,34
Decomposition,6,4409,0,27
RealVector,5,4409,0,13
RecursiveLayoutRealMatrix,4,3097,0,2078
RecursiveLayoutRealMatrixTest,2,3097,0,1242
BeanListUnivariateImpl,5,4193,0,148
BeanListUnivariateImplTest,5,4193,0,227
BeanTransformer,6,3940,0,92
BeanTransformerTest,6,3940,0,93
AbstractStoreUnivariate,4,4620,0,252
BisectionSolver,26,4437,0,138
BrentSolver,33,4437,0,198
ConvergenceException,7,4437,0,97
CubicSplineFunction,14,4437,0,162
DifferentiableMultivariateRealFunction,2,3061,0,51
DifferentiableMultivariateVectorialFunction,3,3061,0,74
DifferentiableUnivariateMatrixFunction,2,3061,0,35
DifferentiableUnivariateRealFunction,5,4307,0,33
DifferentiableUnivariateVectorialFunction,2,3061,0,35
DividedDifferenceInterpolator,9,3845,0,119
LegendreGaussIntegrator,4,3131,0,238
RombergIntegrator,7,3143,0,111
SimpsonIntegrator,7,3143,0,110
TrapezoidIntegrator,7,3143,0,141
UnivariateRealIntegratorImpl,6,3143,0,259
UnivariateRealIntegrator,5,3143,0,156
DividedDifferenceInterpolator,3,3143,0,129
LoessInterpolator,3,2824,0,384
NevilleInterpolator,3,3143,0,57
SplineInterpolator,4,3143,0,122
UnivariateRealInterpolator,2,3143,0,39
LaguerreSolver,9,3845,0,319
BrentMinimizer,3,3140,0,204
UnivariateRealMinimizerImpl,4,3140,0,134
UnivariateRealMinimizer,3,3140,0,118
MullerSolver,9,3845,0,277
MultivariateMatrixFunction,3,3061,0,41
MultivariateRealFunction,3,3061,0,41
MultivariateVectorialFunction,3,3061,0,41
NevilleInterpolator,6,3845,0,53
NewtonSolver,14,4289,0,92
PolynomialFunction,17,4430,0,193
PolynomialFunctionLagrangeForm,8,3845,0,290
PolynomialFunctionNewtonForm,7,3845,0,214
PolynomialSplineFunction,18,4309,0,178
PolynomialFunction,8,3143,0,168
PolynomialFunctionLagrangeForm,5,3143,0,306
PolynomialFunctionNewtonForm,4,3143,0,220
PolynomialSplineFunction,4,3143,0,228
PolynomialsUtils,3,3110,0,280
QuinticFunction,4,4437,0,88
RiddersSolver,7,3845,0,158
RombergIntegrator,8,3848,0,108
RootFinding,7,4437,0,128
SecantSolver,25,4437,0,163
SimpsonIntegrator,8,3848,0,107
SinFunction,4,4437,0,93
BisectionSolver,5,3143,0,112
BrentSolver,4,3143,0,313
LaguerreSolver,8,3143,0,371
MullerSolver,6,3143,0,349
NewtonSolver,6,3143,0,140
RiddersSolver,5,3143,0,190
SecantSolver,5,3143,0,188
UnivariateRealSolverFactoryImpl,4,3143,0,59
UnivariateRealSolverFactory,3,3143,0,90
UnivariateRealSolverImpl,9,3143,0,403
UnivariateRealSolver,7,3143,0,262
UnivariateRealSolverUtils,7,3143,0,239
SplineInterpolator,24,4437,0,164
TrapezoidIntegrator,8,3848,0,138
UnivariateFunction,5,4437,0,66
UnivariateMatrixFunction,3,3061,0,38
UnivariateRealFunction,19,4437,0,100
UnivariateRealIntegratorImpl,6,3848,0,254
UnivariateRealIntegrator,6,3848,0,154
UnivariateRealInterpolator,14,4437,0,75
UnivariateRealSolverFactoryImpl,18,4437,0,118
UnivariateRealSolverFactory,24,4437,0,127
UnivariateRealSolverImpl,22,4437,0,281
UnivariateRealSolver,20,4437,0,226
UnivariateRealSolverUtil,5,4437,0,110
UnivariateRealSolverUtils,17,4437,0,176
UnivariateVectorialFunction,3,3061,0,38
ArgumentOutsideDomainException,8,3758,0,21
BeanListUnivariateImpl,2,4587,0,139
BivariateRegression,2,4592,0,439
BrentSolver,2,4534,0,173
ComplexField,4,2985,0,66
ComplexFormat,24,4375,0,115
Complex,33,4437,0,255
ComplexMath,10,4437,0,264
ComplexUtils,11,4066,0,275
ContinuedFraction,4,4551,0,200
ContractableDoubleArray,7,4619,0,241
ConvergenceException,25,4437,0,95
ConvergingAlgorithmImpl,4,3141,0,123
ConvergingAlgorithm,4,3141,0,121
DimensionMismatchException,6,3744,0,64
AbstractContinuousDistribution,37,4437,0,169
AbstractDiscreteDistribution,19,4437,0,160
AbstractDistribution,8,3960,0,65
AbstractIntegerDistribution,9,3960,0,192
BetaDistributionImpl,5,3299,0,232
BetaDistribution,3,3299,0,58
BinomialDistributionImpl,28,4437,0,193
BinomialDistribution,16,4437,0,94
CauchyDistributionImpl,13,3925,0,194
CauchyDistribution,9,3925,0,59
ChiSquaredDistributionImpl,28,4437,0,182
ChiSquaredDistribution,19,4437,0,82
ContinuousDistribution,20,4437,0,83
DiscreteDistribution,20,4437,0,90
DistributionFactoryImpl,28,4437,0,155
DistributionFactory,34,4437,0,167
Distribution,5,3960,0,54
ExponentialDistributionImpl,28,4437,0,148
ExponentialDistribution,17,4437,0,81
FDistributionImpl,28,4437,0,201
FDistribution,17,4437,0,94
GammaDistributionImpl,31,4437,0,222
GammaDistribution,20,4437,0,94
HasDensity,3,3303,0,37
HypergeometricDistributionImpl,25,4437,0,279
HypergeometricDistribution,15,4437,0,107
IntegerDistribution,6,3960,0,83
NormalDistributionImpl,25,4236,0,168
NormalDistribution,15,4236,0,55
PascalDistributionImpl,9,3809,0,191
PascalDistribution,6,3810,0,62
PoissonDistributionImpl,12,3960,0,156
PoissonDistribution,5,3960,0,60
TDistributionImpl,27,4437,0,171
TDistribution,16,4437,0,82
WeibullDistributionImpl,11,3919,0,171
WeibullDistribution,7,3919,0,63
ZipfDistributionImpl,5,3221,0,178
ZipfDistribution,3,3221,0,66
DoubleArray,5,4616,0,123
DuplicateSampleAbscissaException,6,3759,0,47
EmpiricalDistributionImpl,5,4602,0,279
EmpiricalDistribution,5,4602,0,180
AbstractEstimator,20,3070,0,314
EstimatedParameter,9,3070,0,126
EstimationException,10,3070,0,48
EstimationProblem,8,3070,0,67
Estimator,9,3070,0,93
GaussNewtonEstimator,24,3070,0,228
