ClassName,Changes,TotalCommits,Insertions,Deletions
AnnotationVisitor,1,760,0,0
AnnotationWriter,1,760,0,0
Attribute,1,760,0,0
ByteVector,1,760,0,0
ClassAdapter,1,760,0,0
ClassReader,1,760,0,0
ClassVisitor,1,760,0,0
ClassWriter,1,760,0,0
Edge,1,760,0,0
FieldVisitor,1,760,0,0
FieldWriter,1,760,0,0
Frame,1,760,0,0
Handler,1,760,0,0
Item,1,760,0,0
Label,1,760,0,0
MethodAdapter,1,760,0,0
MethodVisitor,1,760,0,0
MethodWriter,1,760,0,0
Opcodes,1,760,0,0
SignatureReader,1,760,0,0
SignatureVisitor,1,760,0,0
SignatureWriter,1,760,0,0
AbstractInsnNode,1,760,0,0
AnalyzerException,1,760,0,0
Analyzer,1,760,0,0
BasicInterpreter,1,760,0,0
BasicValue,1,760,0,0
BasicVerifier,1,760,0,0
Frame,1,760,0,0
Interpreter,1,760,0,0
SimpleVerifier,1,760,0,0
SmallSet,1,760,0,0
SourceInterpreter,1,760,0,0
SourceValue,1,760,0,0
Subroutine,1,760,0,0
Value,1,760,0,0
AnnotationNode,1,760,0,0
ClassNode,1,760,0,0
FieldInsnNode,1,760,0,0
FieldNode,1,760,0,0
FrameNode,1,760,0,0
IincInsnNode,1,760,0,0
InnerClassNode,1,760,0,0
InsnList,1,760,0,0
InsnNode,1,760,0,0
IntInsnNode,1,760,0,0
JumpInsnNode,1,760,0,0
LabelNode,1,760,0,0
LdcInsnNode,1,760,0,0
LineNumberNode,1,760,0,0
LocalVariableNode,1,760,0,0
LookupSwitchInsnNode,1,760,0,0
MemberNode,1,760,0,0
MethodInsnNode,1,760,0,0
MethodNode,1,760,0,0
MultiANewArrayInsnNode,1,760,0,0
TableSwitchInsnNode,1,760,0,0
TryCatchBlockNode,1,760,0,0
TypeInsnNode,1,760,0,0
VarInsnNode,1,760,0,0
Type,1,760,0,0
AbstractVisitor,1,760,0,0
ASMifiable,1,760,0,0
ASMifierAbstractVisitor,1,760,0,0
ASMifierAnnotationVisitor,1,760,0,0
ASMifierClassVisitor,1,760,0,0
ASMifierFieldVisitor,1,760,0,0
ASMifierMethodVisitor,1,760,0,0
CheckAnnotationAdapter,1,760,0,0
CheckClassAdapter,1,760,0,0
CheckFieldAdapter,1,760,0,0
CheckMethodAdapter,1,760,0,0
CheckSignatureAdapter,1,760,0,0
Traceable,1,760,0,0
TraceAbstractVisitor,1,760,0,0
TraceAnnotationVisitor,1,760,0,0
TraceClassVisitor,1,760,0,0
TraceFieldVisitor,1,760,0,0
TraceMethodVisitor,1,760,0,0
TraceSignatureVisitor,1,760,0,0
BeanCopier,1,760,0,0
BeanGenerator,1,760,0,0
BeanMapEmitter,1,760,0,0
BeanMap,1,760,0,0
BulkBeanEmitter,1,760,0,0
BulkBeanException,1,760,0,0
BulkBean,1,760,0,0
FixedKeySet,1,760,0,0
ImmutableBean,1,760,0,0
AbstractClassGenerator,1,760,0,0
Block,1,760,0,0
ClassEmitter,1,760,0,0
ClassesKey,1,760,0,0
ClassGenerator,1,760,0,0
ClassInfo,1,760,0,0
ClassNameReader,1,760,0,0
CodeEmitter,1,760,0,0
CodeGenerationException,1,760,0,0
CollectionUtils,1,760,0,0
Constants,1,760,0,0
Converter,1,760,0,0
Customizer,1,760,0,0
DebuggingClassWriter,1,760,0,0
DefaultGeneratorStrategy,1,760,0,0
DefaultNamingPolicy,1,760,0,0
DuplicatesPredicate,1,760,0,0
EmitUtils,1,760,0,0
GeneratorStrategy,1,760,0,0
KeyFactory,1,760,0,0
Local,1,760,0,0
LocalVariablesSorter,1,760,0,0
MethodInfo,1,760,0,0
MethodInfoTransformer,1,760,0,0
MethodWrapper,1,760,0,0
NamingPolicy,1,760,0,0
ObjectSwitchCallback,1,760,0,0
Predicate,1,760,0,0
ProcessArrayCallback,1,760,0,0
ProcessSwitchCallback,1,760,0,0
ReflectUtils,1,760,0,0
RejectModifierPredicate,1,760,0,0
Signature,1,760,0,0
TinyBitSet,1,760,0,0
Transformer,1,760,0,0
TypeUtils,1,760,0,0
VisibilityPredicate,1,760,0,0
CallbackFilter,2,760,5,2
CallbackGenerator,1,760,0,0
CallbackHelper,2,760,1,1
CallbackInfo,1,760,0,0
Callback,1,760,0,0
DispatcherGenerator,1,760,0,0
Dispatcher,1,760,0,0
Enhancer,2,760,2,4
Factory,1,760,0,0
FixedValueGenerator,1,760,0,0
FixedValue,1,760,0,0
InterfaceMaker,1,760,0,0
InvocationHandlerGenerator,1,760,0,0
InvocationHandler,1,760,0,0
LazyLoaderGenerator,1,760,0,0
LazyLoader,1,760,0,0
MethodInterceptorGenerator,1,760,0,0
MethodInterceptor,1,760,0,0
MethodProxy,1,760,0,0
MixinBeanEmitter,1,760,0,0
MixinEmitter,1,760,0,0
MixinEverythingEmitter,1,760,0,0
Mixin,1,760,0,0
NoOpGenerator,1,760,0,0
NoOp,1,760,0,0
Proxy,2,760,2,2
ProxyRefDispatcher,1,760,0,0
UndeclaredThrowableException,1,760,0,0
ConstructorDelegate,1,760,0,0
FastClassEmitter,1,760,0,0
FastClass,1,760,0,0
FastConstructor,1,760,0,0
FastMember,1,760,0,0
FastMethod,1,760,0,0
MethodDelegate,1,760,0,0
MulticastDelegate,1,760,0,0
AbstractClassFilterTransformer,1,760,0,0
