ClassName,Changes,TotalCommits,Insertions,Deletions
MainTest,2,149,0,444
TestAll,2,149,0,49
TestGJChronology,2,149,0,294
TestGJDateTimeField,2,149,0,43
TestGJDayOfMonthField,2,149,0,67
TestGJDayOfWeekField,2,149,0,61
TestGJDayOfYearField,2,149,0,63
TestGJMonthOfYearField,2,149,0,93
TestGJWeekOfWeekyearField,2,149,0,69
TestGJWeekyearField,2,149,0,79
TestGJYearField,2,149,0,75
TestGregorianChronology,2,149,0,137
TestJulianChronology,2,149,0,165
TestJulianDayOfMonthField,2,149,0,30
TestJulianMonthOfYearField,2,149,0,60
TestJulianWeekyearField,2,149,0,58
TestJulianYearField,2,149,0,58
TestAll,2,149,0,59
TestBuddhistChronology,3,149,0,365
TestCopticChronology,3,149,0,548
TestEthiopicChronology,3,149,0,548
TestGJChronology,3,149,0,492
TestGregorianChronology,3,149,0,280
TestIslamicChronology,3,149,0,708
TestISOChronology,3,149,0,423
TestJulianChronology,3,149,0,269
TestLenientChronology,2,149,0,170
ClassLoadTest,2,149,0,51
MockBadChronology,2,149,0,47
MockUnknownCalendar,2,149,0,66
MockUnknownTimeZone,2,149,0,55
MockZeroNullIntegerConverter,2,149,0,51
TestAll,2,149,0,60
TestCalendarConverter,3,149,0,181
TestConverterManager,3,149,0,992
TestConverterSet,3,149,0,189
TestDateConverter,3,149,0,119
TestLongConverter,3,149,0,121
TestNullConverter,3,149,0,191
TestReadableDurationConverter,3,149,0,121
TestReadableInstantConverter,3,149,0,147
TestReadableIntervalConverter,3,149,0,188
TestReadablePartialConverter,3,149,0,147
TestReadablePeriodConverter,3,149,0,114
TestStringConverter,3,149,0,570
TestAll,2,149,0,59
TestBaseDateTimeField,2,149,0,616
TestFieldUtils,2,149,0,191
TestMillisDurationField,3,149,0,216
TestOffsetDateTimeField,2,149,0,551
TestPreciseDateTimeField,2,149,0,660
TestPreciseDurationDateTimeField,2,149,0,664
TestPreciseDurationField,3,149,0,275
TestScaledDurationField,3,149,0,292
TestUnsupportedDateTimeField,2,149,0,657
TestAll,2,149,0,65
TestDateTimeFormat,3,149,0,1135
TestDateTimeFormatStyle,3,149,0,370
TestDateTimeFormatterBuilder,2,149,0,208
TestDateTimeFormatter,3,149,0,704
TestISODateTimeFormat_Fields,2,149,0,1151
TestISODateTimeFormat,3,149,0,597
TestISODateTimeFormatParsing,3,149,0,826
TestISOPeriodFormat,3,149,0,190
TestISOPeriodFormatParsing,3,149,0,204
TestPeriodFormat,3,149,0,130
TestPeriodFormatParsing,3,149,0,134
TestPeriodFormatterBuilder,3,149,0,846
TestPeriodFormatter,3,149,0,232
TestTextFields,3,149,0,151
MockNullZoneChronology,2,149,0,44
MockPartial,2,149,0,62
MockZone,2,149,0,56
TestAbstractPartial,2,149,0,231
TestAll,2,149,0,133
TestAllPackages,2,149,0,60
TestBasePartial,2,149,0,145
