ClassName,Changes,TotalCommits,Insertions,Deletions
CLI2Converter,3,384,6,196
CLI2ConverterTest,3,384,6,138
Argument,3,531,10,106
ArgumentBuilder,6,531,59,318
CommandBuilder,5,531,81,247
DefaultOptionBuilder,6,531,49,268
GroupBuilder,3,531,2,118
PatternBuilder,3,531,2,202
SwitchBuilder,7,531,54,230
CommandLineImpl,3,531,19,135
DefaultingCommandLine,2,531,0,171
CommandLine,2,531,0,214
Parser,9,531,73,220
PreferencesCommandLine,2,531,0,169
PropertiesCommandLine,2,531,0,154
WriteableCommandLineImpl,5,531,92,307
DisplaySetting,3,531,1,157
Group,2,531,0,64
HelpLine,2,531,0,52
ArgumentImpl,10,531,143,513
Command,6,531,41,221
DefaultOption,7,531,67,298
OptionException,4,531,27,137
GroupImpl,11,531,199,669
HelpLineImpl,2,531,0,109
Option,6,531,18,205
OptionImpl,7,531,121,223
ParentImpl,6,531,81,336
PropertyOption,5,531,45,211
SourceDestArgument,5,531,49,192
Switch,9,531,73,307
Parent,2,531,0,40
ResourceConstants,3,425,10,67
ResourceHelper,8,531,91,269
Comparators,3,531,13,492
HelpFormatter,9,531,201,805
ClassValidator,6,531,127,283
DateValidator,9,531,184,397
EnumValidator,9,531,62,148
FileValidator,5,531,123,289
InvalidArgumentException,3,531,6,36
NumberValidator,7,531,137,269
UrlValidator,6,531,73,135
Validator,3,531,14,49
WriteableCommandLine,3,531,16,75
AlreadySelectedException,13,640,101,180
AmbiguousOptionException,3,64,31,84
AbstractParserControl,2,465,0,40
CLArgsParser,2,465,0,810
CLOptionDescriptor,2,465,0,226
CLOption,2,465,0,173
CLUtil,2,465,0,118
ParserControl,2,465,0,36
Token,2,465,0,72
BasicParser,11,604,126,140
CLI2Converter,2,531,0,190
CommandLine,33,640,544,769
CommandLineParserFactory,5,629,22,117
CommandLineParser,15,637,146,233
DefaultParser,4,43,94,684
GnuParser,23,636,609,779
HelpFormatter,43,640,1675,2012
MissingArgumentException,12,640,85,164
MissingOptionException,12,640,111,190
OptionBuilder,23,616,597,671
OptionGroup,18,640,153,357
Option,40,640,1149,1452
Options,31,640,449,1134
OptionValidator,10,566,84,214
ParseException,11,640,53,132
Parser,39,604,681,837
PatternOptionBuilder,21,640,267,436
PosixParser,30,637,859,1052
TypeHandler,22,640,301,497
UnrecognizedOptionException,12,640,83,163
Util,12,566,100,179
AlreadySelectedException,1,21,0,0
AmbiguousOptionException,1,21,0,0
BasicParser,1,21,0,0
CommandLine,2,21,7,4
CommandLineParser,1,21,0,0
DefaultParser,3,21,14,5
GnuParser,1,21,0,0
HelpFormatter,7,21,62,55
MissingArgumentException,1,21,0,0
MissingOptionException,1,21,0,0
OptionBuilder,4,21,12,6
OptionGroup,2,21,1,0
Option,3,21,5,6
Options,2,21,1,0
OptionValidator,2,21,6,7
ParseException,1,21,0,0
Parser,3,21,34,14
PatternOptionBuilder,1,21,0,0
PosixParser,1,21,0,0
TypeHandler,1,21,0,0
UnrecognizedOptionException,1,21,0,0
Util,1,21,0,0
ApplicationTest,1,23,0,0
ArgumentIsOptionTest,1,23,0,0
BasicParserTest,1,23,0,0
BugCLI133Test,1,23,0,0
BugCLI13Test,1,23,0,0
BugCLI148Test,1,23,0,0
BugCLI162Test,1,23,0,0
BugCLI18Test,1,23,0,0
BugCLI71Test,2,23,1,1
BugsTest,2,23,2,0
CommandLineTest,2,23,13,0
DefaultParserTest,1,23,0,0
GnuParserTest,1,23,0,0
HelpFormatterTest,5,23,129,42
OptionBuilderTest,2,23,8,0
OptionGroupTest,2,23,15,1
OptionsTest,1,23,0,0
OptionTest,1,23,0,0
ParserTestCase,4,23,56,1
PatternOptionBuilderTest,1,23,0,0
PosixParserTest,1,23,0,0
UtilTest,1,23,0,0
ValuesTest,1,23,0,0
ValueTest,1,23,0,0
AntTest,2,531,0,197
CpTest,4,531,22,492
CvsTest,2,531,0,311
LsTest,2,531,0,223
Bug13886Test,2,531,0,88
Bug13935Test,2,531,0,59
Bug15046Test,2,531,0,81
Bug15648Test,2,531,0,59
Bug27575Test,2,531,0,40
Bug28005Test,3,531,0,79
Bug32533Test,3,477,0,49
