ClassName,Changes,TotalCommits,Insertions,Deletions
FunctionInfo,4,367,26,27
FunctionInformationMap,15,367,1845,1839
FunctionInformationMapOrBuilder,3,123,12,31
Instrumentation,14,367,738,736
InstrumentationOrBuilder,3,123,8,41
InstrumentationTemplate,4,367,18,19
AbstractCommandLineRunner,27,307,868,437
AbstractCompiler,12,399,61,17
AbstractCompilerRunner,18,399,361,1211
AbstractMessageFormatter,6,399,4,5
AbstractPeepholeOptimization,9,205,76,27
AliasExternals,9,399,55,44
AliasKeywords,8,399,8,13
AliasStrings,6,399,5,10
AmbiguateProperties,17,399,186,143
AnalyzeNameReferences,6,399,9,10
AnalyzePrototypeProperties,10,399,119,50
AnonymousFunctionNamingCallback,5,399,3,4
AnonymousFunctionNamingPolicy,1,399,0,0
AntErrorManager,5,353,3,4
CompileTask,13,353,49,36
AstChangeProxy,6,399,5,4
AstParallelizer,5,399,3,4
BasicErrorManager,6,399,35,29
CallGraph,4,121,263,147
ChainableReverseAbstractInterpreter,6,399,46,20
ChainCalls,6,399,5,6
CheckAccessControls,4,399,23,26
CheckAccidentalSemicolon,7,399,9,15
CheckGlobalNames,3,399,14,3
CheckGlobalThis,11,399,57,26
CheckLevel,5,399,3,4
CheckLevelLegacy,5,399,3,4
CheckMissingGetCssName,8,399,13,18
CheckMissingReturn,8,399,25,16
CheckPathsBetweenNodes,8,399,93,30
CheckProvides,6,399,5,6
CheckRegExp,4,250,7,4
CheckRequiresForConstructors,7,399,8,10
CheckSideEffects,8,399,23,10
CheckUnreachableCode,9,399,76,22
ClosureCodeRemoval,3,113,80,8
ClosureCodingConvention,12,399,63,36
ClosureReverseAbstractInterpreter,8,399,76,61
CoalesceVariableNames,17,399,236,224
CodeChangeHandler,3,399,10,1
CodeConsumer,10,399,46,42
CodeGenerator,31,399,315,131
CodePrinter,13,399,191,165
CodingConventionAnnotator,4,399,14,111
CodingConvention,17,399,90,39
CollapseAnonymousFunctions,7,399,11,5
CollapseProperties,11,399,53,42
CollapseVariableDeclarations,7,399,5,6
CombinedCompilerPass,7,399,39,24
CommandLineRunner,24,307,725,310
CompilationLevel,17,399,29,23
CompilerInput,10,399,159,56
Compiler,48,399,632,793
CompilerOptions,30,399,214,21
CompilerPass,6,399,4,5
CompilerRunner,10,399,51,208
ComposeWarningsGuard,4,399,25,13
ConcreteType,8,399,8,11
ConstCheck,7,399,12,19
ControlFlowAnalysis,11,399,86,48
ControlFlowGraph,8,399,61,37
ControlStructureCheck,7,399,25,135
ConvertToDottedProperties,6,399,5,6
CreateSyntheticBlocks,7,399,138,79
CrossModuleCodeMotion,13,399,53,41
CrossModuleMethodMotion,5,399,18,9
CssRenamingMap,5,399,3,4
CustomPassExecutionTime,1,399,0,0
DataFlowAnalysis,9,399,10,69
DeadAssignmentsElimination,13,399,179,56
DefaultCodingConvention,15,399,37,31
DefaultPassConfig,44,399,1011,219
DefinitionProvider,5,399,3,4
DefinitionSite,5,399,3,4
DefinitionsRemover,8,399,91,51
Denormalize,7,399,45,6
DependencyInfo,3,269,1,3
DepsFileParser,5,261,59,36
JsFileLineParser,5,261,133,72
JsFileParser,5,261,50,32
SimpleDependencyInfo,3,269,1,3
SortedDependencies,5,239,128,8
DevirtualizePrototypeMethods,9,399,38,10
DiagnosticGroup,2,399,1,1
DiagnosticGroups,13,399,70,17
DiagnosticGroupWarningsGuard,2,399,1,1
DiagnosticType,5,399,3,4
DisambiguateProperties,14,399,67,43
DotFormatter,6,399,27,28
ErrorFormat,3,399,50,40
ErrorManager,5,399,3,4
ErrorPass,6,294,18,19
ExportTestFunctions,9,399,41,14
ExpressionDecomposer,8,399,231,127
ExternExportsPass,10,399,309,191
ExtractPrototypeMemberDeclarations,11,399,36,28
FindExportableNodes,8,399,8,9
FlowScope,3,399,1,2
FlowSensitiveInlineVariables,10,399,121,9
FoldConstants,16,399,207,2208
FunctionArgumentInjector,6,399,12,39
FunctionCheck,2,399,0,254
FunctionInjector,8,399,40,45
FunctionNames,7,399,7,8
FunctionRewriter,8,399,11,26
FunctionToBlockMutator,9,399,29,18
FunctionTypeBuilder,16,399,182,97
GatherRawExports,5,378,4,4
GatherSideEffectSubexpressionsCallback,6,399,6,6
GenerateExports,8,399,22,8
GlobalNamespace,9,399,18,13
GoogleCodeRemoval,4,399,2,164
GoogleCodingConvention,10,399,17,16
AdjacencyGraph,6,399,6,7
Annotatable,5,399,3,4
Annotation,5,399,3,4
DiGraph,7,399,44,10
FixedPointGraphTraversal,2,399,1,1
GraphColoring,6,399,4,6
Graph,7,399,44,39
GraphNode,5,399,3,4
GraphReachability,6,399,35,8
GraphvizGraph,5,399,3,4
LinkedDirectedGraph,8,399,51,96
LinkedUndirectedGraph,6,399,37,54
StandardUnionFind,5,399,12,16
SubGraph,5,399,3,4
UndiGraph,2,399,5,1
UnionFind,6,399,12,13
GroupVariableDeclarations,5,265,3,4
IgnoreCajaProperties,6,376,27,28
InferJSDocInfo,5,399,118,34
InlineCostEstimator,6,399,3,19
InlineFunctions,18,399,210,92
InlineGetters,8,399,8,8
InlineVariables,15,399,322,162
InstrumentFunctions,6,399,12,9
InvocationsCallback,6,399,7,8
JoinOp,1,225,0,0
JsAst,10,399,10,12
JSError,8,399,29,54
JsMessageDefinition,1,214,0,0
JsMessageExtractor,7,208,7,11
JsMessage,6,214,224,7
JsMessageVisitor,3,214,20,6
JSModuleGraph,12,399,140,45
JSModule,14,399,168,164
JSSourceFile,7,399,17,7
LatticeElement,6,235,4,5
LightweightMessageFormatter,8,399,22,9
LineNumberCheck,4,399,12,3
LinkedFlowScope,4,399,2,4
LiveVariablesAnalysis,8,399,6,7
LocaleUtil,3,399,4,6
LoggerErrorManager,7,399,14,6
MakeDeclaredNamesUnique,9,399,281,170
MarkNoSideEffectCalls,5,399,3,4
MaybeReachingVariableUse,8,399,8,9
MemoizedScopeCreator,2,399,1,1
MessageBundle,5,214,6,8
MessageFormatter,5,399,3,4
MethodCheck,3,399,2,120
MethodCompilerPass,8,399,14,39
MinimizeExitPoints,4,399,7,8
MoveFunctionDeclarations,5,399,3,4
MustBeReachingVariableDef,10,399,27,13
NameAnalyzer,15,399,329,254
NameAnonymousFunctions,6,399,6,7
NameAnonymousFunctionsMapped,6,399,7,8
NameGenerator,7,399,10,11
NameReferenceGraphConstruction,11,399,29,20
NameReferenceGraph,9,399,16,23
NameReferenceGraphReport,3,168,1,4
NodeIterators,3,399,35,12
NodeNameExtractor,5,399,3,4
NodeTraversal,10,399,77,41
NodeTypeNormalizer,4,399,20,158
NodeUtil,40,399,542,310
Normalize,20,399,551,343
ObjectPropertyStringPostprocess,5,399,3,4
ObjectPropertyStringPreprocess,6,399,6,7
OptimizeArgumentsArray,8,399,23,8
OptimizeParameters,7,399,67,68
ParallelCompilerPass,6,399,21,22
Annotation,4,324,5,1
Config,6,399,48,18
IRFactory,20,399,333,225
JsDocInfoParser,22,399,237,215
JsDocToken,5,399,3,4
JsDocTokenStream,5,399,3,4
NullErrorReporter,5,399,3,4
ParserRunner,6,399,23,28
TypeSafeDispatcher,5,399,3,4
PassConfig,8,399,88,109
PassFactory,2,399,1,1
PeepholeFoldConstants,15,193,230,161
PeepholeFoldWithTypes,3,179,2,2
PeepholeOptimizationsPass,3,205,29,21
PeepholeRemoveDeadCode,13,197,709,256
PeepholeSubstituteAlternateSyntax,13,205,333,106
PerformanceTracker,6,399,3,19
PhaseOptimizer,6,399,126,18
Position,6,399,5,6
PotentialCheck,2,399,0,59
PotentialCheckManager,2,399,0,47
PrepareAst,8,310,193,126
PrintStreamErrorManager,6,399,13,8
ProcessClosurePrimitives,21,399,684,409
ProcessDefines,5,399,42,15
PropertyRenamingPolicy,1,399,0,0
PureFunctionIdentifier,10,399,90,34
RecordFunctionInformation,8,399,21,18
ReferenceCollectingCallback,11,399,226,58
Region,5,399,3,4
RemoveConstantExpressions,7,399,11,10
RemoveConstantExpressionsParallel,6,399,7,8
