ClassName,Changes,TotalCommits,Insertions,Deletions
Base64,9,416,583,976
Base64,32,416,1104,1002
BinaryCodec,9,197,29,29
Binary,9,246,811,1356
BinaryDecoder,16,416,140,180
BinaryEncoder,16,416,137,174
Hex,20,416,395,327
DecoderException,17,416,141,171
Decoder,15,416,151,183
DigestUtils,16,338,625,275
EncoderException,18,416,148,176
Encoder,15,416,70,107
Caverphone,6,21,14,14
DoubleMetaphone,31,385,349,351
Metaphone,32,416,447,367
RefinedSoundex,29,416,277,246
Soundex,34,416,816,708
SoundexUtils,12,269,33,72
BCodec,16,202,62,59
CharacterEncodingNames,6,135,13,12
QCodec,17,202,66,64
QuotedPrintableCodec,19,215,235,250
RFC1522Codec,9,202,22,20
StringEncodings,3,203,12,61
URLCodec,27,378,243,245
StringDecoder,14,378,57,95
StringEncoderComparator,21,416,93,116
StringEncoder,15,416,134,172
Base64Test,5,416,22,376
Base64Test,24,416,861,590
BinaryCodecTest,6,197,11,9
BinaryTest,10,246,3568,5360
BinaryEncoderAbstractTest,16,416,59,103
HexTest,17,416,299,264
DigestUtilsTest,17,338,290,267
AllTests,10,309,84,75
CaverphoneTest,4,21,3,3
DoubleMetaphoneTest,17,343,1449,386
MetaphoneTest,23,416,590,229
RefinedSoundexTest,21,416,218,215
SoundexTest,30,416,599,322
BCodecTest,7,198,18,44
QCodecTest,8,198,28,44
QuotedPrintableCodecTest,7,215,12,10
RFC1522CodecTest,8,191,15,16
URLCodecTest,20,376,293,155
StringEncoderAbstractTest,18,416,99,109
StringEncoderComparatorTest,19,416,182,192
