ClassName,Changes,TotalCommits,Insertions,Deletions
AbstractBag,6,2823,366,701
AbstractDualBidiMap,12,2086,279,706
AMap,3,1961,2,107
ArrayEnumeration,6,2870,78,128
ArrayIterator,18,2848,501,555
ArrayStack,24,2882,249,420
AbstractBagDecorator,13,1998,64,177
AbstractMapBag,29,1953,349,935
AbstractSortedBagDecorator,13,1998,64,172
HashBag,16,1953,90,184
Bag,25,2823,633,814
PredicatedBag,17,1998,71,210
PredicatedSortedBag,17,1998,71,204
SynchronizedBag,16,1998,79,230
SynchronizedSortedBag,16,1998,69,202
TransformedBag,18,1998,101,241
TransformedSortedBag,17,1998,96,227
TreeBag,20,1953,140,262
TypedBag,12,1998,45,145
TypedSortedBag,12,1998,45,145
UnmodifiableBag,18,1998,151,279
UnmodifiableSortedBag,19,1998,158,279
BagUtils,29,2570,643,1062
BeanMap,37,2848,1251,1674
AbstractBidiMapDecorator,13,1941,59,178
AbstractDualBidiMap,22,1996,524,1150
AbstractOrderedBidiMapDecorator,12,1939,62,189
AbstractSortedBidiMapDecorator,12,1939,62,187
BidiMap,2,1996,0,186
DualHashBidiMap,16,1996,78,222
DualTreeBidiMap,25,1996,272,643
BidiMap,23,1961,70,256
OrderedBidiMap,2,1996,0,107
SortedBidiMap,2,1996,0,110
TreeBidiMap,31,1996,948,3025
UnmodifiableBidiMap,15,1941,85,244
UnmodifiableOrderedBidiMap,15,1939,86,257
UnmodifiableSortedBidiMap,15,1939,96,290
BinaryHeap,30,2870,776,1054
BoundedCollection,18,2467,89,178
BoundedFifoBuffer,22,2594,287,574
BoundedMap,11,1913,41,131
AbstractBufferDecorator,12,1998,59,162
BinaryBuffer,4,1850,71,610
BinaryHeap,4,1965,9,571
BlockingBuffer,26,1998,412,564
BoundedBuffer,12,1430,178,339
BoundedFifoBuffer,21,1965,221,577
CircularFifoBuffer,13,1965,53,185
Buffer,17,2596,150,205
BufferOverflowException,18,2596,159,207
PredicatedBuffer,16,1998,64,192
PriorityBuffer,17,1843,92,670
SynchronizedBuffer,15,1998,64,194
SynchronizedPriorityQueue,2,1998,0,155
TimeoutBuffer,3,1457,61,164
TransformedBuffer,16,1998,91,217
TypedBuffer,11,1998,42,142
UnboundedFifoBuffer,23,1965,194,515
BufferUnderflowException,20,2596,176,229
UnmodifiableBuffer,17,1998,139,255
UnmodifiablePriorityQueue,4,1998,17,171
BufferUtils,33,2594,491,831
CircularFifoBuffer,6,2309,17,151
ClassMap,2,2486,0,174
Closure,17,2848,233,254
ClosureUtils,18,2261,197,907
CollatingIterator,5,2589,114,356
AbstractCollectionDecorator,12,1998,83,262
AbstractSerializableCollectionDecorator,6,1591,20,88
AbstractUntypedCollectionDecorator,3,1201,3,128
BoundedCollection,2,1991,0,91
CompositeCollection,17,1998,230,707
PredicatedCollection,17,1998,74,240
SynchronizedCollection,16,1998,95,329
TransformedCollection,19,1998,107,264
TypedCollection,11,1998,42,142
UnmodifiableBoundedCollection,21,1998,150,292
UnmodifiableCollection,18,1998,86,244
CollectionUtils,89,2868,2756,3052
CommonsLinkedList,11,2425,135,674
BooleanComparator,24,2414,204,420
ComparableComparator,26,2718,225,350
ComparatorChain,27,2705,382,583
FixedOrderComparator,18,2335,132,432
NullComparator,22,2624,126,336
NumericStringComparator,2,2718,0,224
PackageNameComparator,2,2718,0,121
ReverseComparator,30,2718,224,315
TransformingComparator,14,2626,99,205
UrlComparator,2,2718,0,108
ComparatorUtils,20,2620,289,480
CursorableLinkedList,31,2883,342,1757
AbstractBagDecorator,4,2291,8,120
AbstractBufferDecorator,4,2292,8,110
AbstractCollectionDecorator,6,2306,24,194
AbstractIteratorDecorator,4,2289,8,121
AbstractListDecorator,6,2306,22,155
AbstractListIteratorDecorator,7,2306,26,158
AbstractMapDecorator,5,2289,12,188
AbstractMapEntryDecorator,5,2289,12,142
AbstractSetDecorator,4,2296,8,101
AbstractSortedBagDecorator,4,2291,8,116
AbstractSortedMapDecorator,4,2289,8,130
AbstractSortedSetDecorator,4,2296,8,128
BlockingBuffer,6,2293,30,170
CompositeCollection,4,2011,7,480
FixedSizeList,8,2306,84,243
FixedSizeMap,5,2286,14,161
FixedSizeSortedMap,4,2286,8,150
LazyList,5,2306,11,184
LazyMap,5,2286,16,186
LazySortedMap,5,2286,13,203
ObservedCollection,7,2222,104,469
ObservedList,6,2222,90,431
ObservedSet,6,2222,91,311
OrderedMap,10,2114,191,708
OrderedSet,7,2189,120,325
PredicatedBag,5,2291,11,148
PredicatedBuffer,5,2293,11,137
PredicatedCollection,7,2306,33,197
PredicatedList,7,2306,71,243
PredicatedMap,8,2286,29,279
PredicatedSet,5,2296,11,129
PredicatedSortedBag,5,2291,11,143
PredicatedSortedMap,7,2286,24,168
PredicatedSortedSet,5,2296,11,158
SequencedSet,3,2279,5,210
SetList,6,2120,192,421
SynchronizedBag,4,2291,8,146
SynchronizedBuffer,4,2293,8,136
SynchronizedCollection,7,2306,98,282
SynchronizedList,7,2306,73,236
SynchronizedPriorityQueue,4,2251,8,163
SynchronizedSet,5,2296,12,126
SynchronizedSortedBag,4,2291,8,140
SynchronizedSortedSet,5,2296,12,173
TransformedBag,4,2269,8,146
TransformedBuffer,4,2269,8,133
TransformedCollection,5,2269,12,169
TransformedList,4,2269,8,193
TransformedMap,4,2245,8,288
TransformedSet,4,2269,8,117
TransformedSortedBag,4,2269,8,139
TransformedSortedMap,6,2245,19,167
TransformedSortedSet,4,2269,8,155
TypedBag,6,2291,17,125
TypedBuffer,5,2287,11,110
TypedCollection,8,2306,24,174
TypedList,7,2306,22,130
TypedMap,5,2286,11,115
TypedSet,6,2296,17,125
TypedSortedBag,6,2291,17,125
TypedSortedMap,5,2286,11,115
TypedSortedSet,6,2296,17,125
UnmodifiableBag,4,2291,8,130
UnmodifiableBoundedCollection,8,2285,24,166
UnmodifiableBuffer,4,2293,8,119
UnmodifiableCollection,7,2306,18,175
UnmodifiableList,7,2306,25,169
UnmodifiableMap,6,2286,17,223
UnmodifiablePriorityQueue,4,2251,8,162
UnmodifiableSet,4,2296,8,110
UnmodifiableSortedBag,4,2291,8,125
UnmodifiableSortedMap,5,2286,13,145
UnmodifiableSortedSet,4,2296,8,139
DefaultMapBag,24,2658,613,952
DefaultMapEntry,27,2848,467,564
DoubleOrderedMap,20,2812,255,2301
DualHashBidiMap,4,2086,39,155
DualTreeBidiMap,4,2034,17,207
EnumerationIterator,8,2848,207,260
EnumerationUtils,12,2043,64,157
ModificationEvent,3,2222,5,159
ModificationEventType,3,2222,5,188
ModificationHandlerFactory,2,2212,0,200
ModificationHandler,6,2222,83,553
ModificationListener,5,2213,0,77
ModificationVetoedException,4,2222,9,107
StandardModificationAdaptor,3,2222,5,98
StandardModificationEvent,3,2222,5,316
StandardModificationHandler,6,2222,288,667
StandardModificationListener,5,2222,16,118
StandardPostModificationListener,2,2213,0,82
StandardPreModificationListener,2,2213,0,84
ExtendedProperties,51,2880,1351,3174
Factory,16,2565,90,172
FactoryUtils,22,2261,90,536
FastArrayList,24,2876,776,1525
FastHashMap,24,2876,733,1155
FastTreeMap,23,2876,731,1263
FilterIterator,9,2848,218,290
FilterListIterator,8,2740,121,365
Flat3Map,4,2016,8,1109
FunctorException,14,2261,160,345
AllPredicate,20,1971,143,276
AndPredicate,15,1971,86,203
AnyPredicate,18,1971,109,242
CatchAndRethrowClosure,2,917,0,76
ChainedClosure,15,1974,76,240
ChainedTransformer,16,1970,83,248
CloneTransformer,16,1970,69,168
ClosureTransformer,14,1970,62,177
ComparatorPredicate,6,1006,111,299
ConstantFactory,14,1973,64,182
ConstantTransformer,14,1970,103,221
DefaultEquator,3,934,1,67
EqualPredicate,15,1972,77,190
Equator,4,1158,50,98
ExceptionClosure,17,1974,71,166
ExceptionFactory,17,1974,71,166
ExceptionPredicate,17,1974,75,169
ExceptionTransformer,17,1974,75,170
FactoryTransformer,15,1970,65,178
FalsePredicate,18,1972,84,178
ForClosure,14,1974,75,199
FunctorException,2,1975,0,185
FunctorUtils,16,1974,215,348
IdentityPredicate,14,1972,69,183
IfClosure,16,1974,131,263
InstanceofPredicate,15,1972,68,181
InstantiateFactory,15,1973,62,240
InstantiateTransformer,17,1970,80,235
InvokerTransformer,17,1970,87,246
MapTransformer,16,1970,81,194
NonePredicate,18,1971,96,229
NOPClosure,18,1974,90,184
NOPTransformer,16,1970,70,164
NotNullPredicate,16,1972,71,165
NotPredicate,15,1972,69,181
NullIsExceptionPredicate,16,1972,75,190
NullIsFalsePredicate,15,1972,77,192
NullIsTruePredicate,15,1972,71,186
NullPredicate,16,1972,82,176
OnePredicate,18,1971,92,229
OrPredicate,15,1971,85,202
PredicateDecorator,8,1601,25,67
PredicateTransformer,16,1970,65,179
PrototypeFactory,19,1973,90,341
StringValueTransformer,17,1970,76,170
SwitchClosure,14,1974,118,302
SwitchTransformer,16,1970,116,299
TransformedPredicate,13,1742,69,162
TransformerClosure,14,1974,63,178
TransformerPredicate,16,1971,81,197
TruePredicate,16,1972,86,180
UniquePredicate,13,1971,54,162
WhileClosure,14,1974,83,216
Get,2,1152,0,77
HashBag,19,2823,191,280
HashBidiMap,5,2154,374,608
IndexedCollection,3,1151,16,136
IterableGet,2,1150,0,49
IterableMap,11,1950,49,152
IterableSortedMap,2,1148,0,33
IteratorChain,5,2648,17,311
IteratorEnumeration,8,2848,214,263
AbstractEmptyIterator,9,1610,28,117
AbstractEmptyMapIterator,2,1198,0,50
AbstractIteratorDecorator,11,2028,46,161
AbstractListIteratorDecorator,11,2028,49,187
AbstractMapIteratorDecorator,13,2028,54,184
AbstractOrderedMapIteratorDecorator,11,1981,49,181
AbstractUntypedIteratorDecorator,3,1198,15,69
ArrayIterator,18,2558,220,472
ArrayListIterator,21,2448,106,357
CollatingIterator,23,2558,457,798
DefaultMapIterator,2,2017,0,227
EmptyIterator,9,1610,47,101
EmptyListIterator,10,1610,54,114
EmptyMapIterator,9,1610,36,80
EmptyOrderedIterator,9,1606,34,78
EmptyOrderedMapIterator,9,1610,36,80
EntrySetMapIterator,15,2005,62,271
EnumerationIterator,16,2558,117,299
FilterIterator,18,2558,194,390
FilterListIterator,16,2558,202,515
IteratorChain,24,2558,380,669
IteratorEnumeration,16,2558,107,245
IteratorIterable,3,920,66,138
ListIteratorWrapper,17,2558,249,469
LoopingIterator,15,2469,74,240
LoopingListIterator,8,1550,34,288
MapIterator,3,2030,2,168
ObjectArrayIterator,20,2448,95,346
ObjectArrayListIterator,23,2448,98,342
ObjectGraphIterator,12,1734,92,332
OrderedIterator,2,2001,0,89
OrderedMapIterator,3,2005,3,90
ProxyIterator,16,2558,84,225
ProxyListIterator,15,2558,83,290
ResetableIterator,4,2390,8,87
ResetableListIterator,4,2390,8,87
ResetableMapIterator,2,2030,0,77
ResetableOrderedIterator,2,2001,0,77
ResetableOrderedMapIterator,3,2005,4,81
ResettableIterator,2,2000,0,79
ResettableListIterator,2,2000,0,79
ReverseListIterator,7,1398,30,204
SingletonIterator,22,2558,175,296
SingletonListIterator,20,2549,126,324
TransformIterator,16,2558,176,325
TreeIterator,2,1737,0,240
UniqueFilterIterator,17,2558,81,181
UnmodifiableIterator,15,2025,54,174
UnmodifiableListIterator,14,2025,55,197
UnmodifiableMapIterator,17,2023,62,197
UnmodifiableOrderedMapIterator,15,1983,62,198
IteratorUtils,43,2549,1276,1777
AbstractKeyValue,13,1929,49,172
AbstractMapEntryDecorator,13,1929,55,181
AbstractMapEntry,14,1929,56,190
DefaultKeyValue,14,1929,59,258
DefaultMapEntry,11,1929,45,153
KeyValue,11,1929,44,132
MultiKey,17,1929,213,441
TiedMapEntry,15,1929,64,236
UnmodifiableMapEntry,12,1929,49,166
LazyCollections,4,2630,98,692
AbstractLinkedList,20,1919,680,1446
AbstractListDecorator,12,1998,73,211
AbstractSerializableListDecorator,7,1591,25,94
CursorableLinkedList,16,1894,225,1032
FixedSizeList,17,1998,116,307
GrowthList,9,1499,46,231
ListIteratorWrapper,4,2645,65,228
LazyList,16,1998,77,250
NodeCachingLinkedList,16,1919,110,387
PredicatedList,15,1998,88,279
SetUniqueList,23,1998,224,599
SynchronizedList,13,1998,61,261
TransformedList,16,1998,105,292
TreeList,15,1635,652,1365
TypedList,10,1998,39,140
UnmodifiableList,17,1998,131,284
ListUtils,47,2870,1301,1366
LRUMap,29,2848,506,806
AbstractHashedMap,36,1922,593,1876
AbstractInputCheckedMapDecorator,11,1646,65,335
AbstractIterableMap,2,1136,0,38
AbstractLinkedMap,24,1922,324,899
AbstractMapDecorator,13,1998,80,254
AbstractOrderedMapDecorator,15,1980,74,200
AbstractReferenceMap,13,1695,431,1323
AbstractSimpleMapDecorator,2,1614,0,721
AbstractSortedMapDecorator,14,1998,139,265
CaseInsensitiveMap,15,1827,67,255
CompositeMap,19,1898,274,826
DefaultedMap,12,1509,68,257
EntrySetToMapIteratorAdapter,3,1130,1,115
FixedSizeMap,19,1998,134,284
FixedSizeSortedMap,19,1998,262,404
Flat3Map,32,1990,750,1846
HashedMap,24,1961,368,1452
IdentityMap,15,1954,123,321
MapIterator,13,1958,58,208
LazyMap,18,1998,143,308
LazySortedMap,16,1998,129,307
LinkedMap,20,1932,376,916
ListOrderedMap,33,1998,685,1049
LRUMap,30,1923,357,684
MultiKeyMap,14,1681,356,1172
MultiValueMap,18,1495,736,1097
OrderedMap,3,1996,12,139
PredicatedMap,25,1998,188,442
PredicatedSortedMap,16,1998,115,260
ReferenceIdentityMap,12,1662,71,283
ReferenceMap,23,1935,693,1668
SingletonMap,12,1702,90,682
StaticBucketMap,21,1936,218,950
TransformedMap,26,1998,213,496
TransformedSortedMap,17,1998,148,296
TypedMap,13,1998,52,158
TypedSortedMap,13,1998,52,158
UnmodifiableEntrySet,16,1942,92,295
UnmodifiableMap,20,1998,152,367
UnmodifiableOrderedMap,19,1978,123,272
UnmodifiableSortedMap,17,1998,174,306
MapUtils,72,2848,3423,3770
MultiHashMap,30,2819,861,1014
MultiKey,6,2351,13,240
MultiMap,19,2819,343,370
NodeCachingLinkedList,11,2472,462,1338
ModificationEvent,5,2209,40,194
ModificationEventType,5,2209,44,241
ModificationHandlerFactory,4,2209,6,107
ModificationHandler,10,2209,569,1167
ModificationListener,3,2209,3,80
ModificationVetoedException,3,2209,3,101
ObservableBag,5,2162,12,219
ObservableBuffer,5,2162,12,191
ObservableCollection,5,2162,10,347
ObservableList,6,2162,15,318
ObservableSet,5,2162,13,168
ObservableSortedBag,5,2140,12,191
ObservableSortedSet,6,2159,16,210
ObservedBag,3,2209,6,209
ObservedBuffer,2,2195,0,175
ObservedCollection,5,2209,26,345
ObservedList,5,2209,50,326
ObservedSet,2,2209,0,154
StandardModificationEvent,9,2209,131,445
StandardModificationHandler,9,2209,116,688
StandardModificationListener,3,2209,3,75
StandardPostModificationEvent,7,2203,30,170
StandardPostModificationListener,4,2209,6,90
StandardPreModificationEvent,7,2203,28,135
StandardPreModificationListener,4,2209,6,92
OrderedBidiMap,11,1961,45,150
OrderedIterator,11,1958,53,142
OrderedMapIterator,10,1958,47,134
OrderedMap,13,1961,58,183
AbstractKeyValue,3,2145,3,125
AbstractMapEntryDecorator,2,1998,0,126
AbstractMapEntry,4,2148,6,140
AbstractPair,2,2148,0,122
DefaultKeyValue,2,2145,0,197
DefaultMapEntry,3,2148,6,112
KeyValue,2,2145,0,84
KeyValuePair,2,2148,0,195
Pair,2,2148,0,84
TiedMapEntry,2,2021,0,170
UnmodifiableMapEntry,2,2026,0,116
Predicate,18,2848,232,252
PredicateUtils,32,2261,422,1404
AbstractByteCollection,4,2328,9,184
AbstractCharCollection,4,2324,9,184
AbstractDoubleCollection,4,2330,9,184
AbstractFloatCollection,4,2334,9,184
AbstractIntArrayList,12,2529,47,150
AbstractIntCollection,8,2441,51,219
AbstractIntList,9,2533,124,484
AbstractLongArrayList,11,2529,38,143
AbstractLongCollection,4,2343,9,184
AbstractLongList,9,2533,123,484
AbstractRandomAccessFloatList,2,2334,0,429
AbstractRandomAccessIntList,15,2435,138,535
AbstractRandomAccessLongList,2,2343,0,430
AbstractRandomAccessShortList,2,2338,0,429
AbstractShortArrayList,12,2529,37,142
AbstractShortCollection,4,2338,9,184
AbstractShortList,9,2533,122,483
AbstractByteCollectionCollection,4,2328,10,164
AbstractByteListList,4,2328,10,174
AbstractCharCollectionCollection,4,2324,10,164
AbstractCharListList,4,2324,10,174
AbstractCollectionByteCollection,4,2328,10,161
AbstractCollectionCharCollection,4,2324,10,161
AbstractCollectionDoubleCollection,4,2330,10,161
AbstractCollectionFloatCollection,4,2334,10,161
AbstractCollectionIntCollection,4,2359,10,161
AbstractCollectionLongCollection,4,2343,10,161
AbstractCollectionShortCollection,4,2338,10,161
AbstractDoubleCollectionCollection,4,2330,10,164
AbstractDoubleListList,4,2330,10,174
AbstractFloatCollectionCollection,4,2334,10,164
AbstractFloatListList,4,2334,10,174
AbstractIntCollectionCollection,4,2358,10,164
AbstractIntListList,4,2358,10,174
AbstractListByteList,4,2328,9,170
AbstractListCharList,4,2324,9,170
AbstractListDoubleList,4,2330,9,170
AbstractListFloatList,4,2334,9,170
AbstractListIntList,4,2359,9,170
