ClassName,Changes,TotalCommits,Insertions,Deletions
Bzip2Compress,4,224,27,97
BZip2Example,0,0,0,0
Bzip2Uncompress,4,224,27,103
TarExample,0,0,0,0
ZipExample,0,0,0,0
AbstractArchive,0,0,0,0
AbstractCompressor,0,0,0,0
ArchiveEntry,0,0,0,0
ArchiveException,0,0,0,0
Archive,0,0,0,0
ArchiverFactory,0,0,0,0
TarArchive,0,0,0,0
TarBuffer,0,0,0,0
TarEntry,0,0,0,0
TarInputStream,0,0,0,0
TarOutputStream,0,0,0,0
TarUtils,0,0,0,0
AsiExtraField,0,0,0,0
ExtraFieldUtils,0,0,0,0
UnixStat,0,0,0,0
UnrecognizedExtraField,0,0,0,0
ZipArchive,0,0,0,0
ZipEntry,0,0,0,0
ZipExtraField,0,0,0,0
ZipLong,0,0,0,0
ZipOutputStream,0,0,0,0
ZipShort,0,0,0,0
BZip2Constants,4,260,29,173
CBZip2InputStream,6,260,45,1057
CBZip2OutputStream,4,260,29,2109
CRC,4,260,29,201
CompressException,0,0,0,0
CompressorFactory,0,0,0,0
Compressor,0,0,0,0
BZip2Compressor,0,0,0,0
BZip2Constants,0,0,0,0
BZip2InputStream,0,0,0,0
BZip2OutputStream,0,0,0,0
CRC,0,0,0,0
CompressUtils,0,0,0,0
PackableObjectException,0,0,0,0
PackableObject,0,0,0,0
TarBuffer,6,264,41,583
TarConstants,5,264,31,218
TarEntry,5,264,31,764
TarInputStream,6,264,39,549
TarOutputStream,5,264,31,500
TarUtils,5,264,31,309
UnpackException,0,0,0,0
AsiExtraField,5,264,31,482
ExtraFieldUtils,5,264,31,280
UnixStat,5,264,31,152
UnrecognizedExtraField,5,264,31,256
ZipEntry,5,264,31,527
ZipExtraField,5,264,31,164
ZipLong,5,264,31,196
ZipOutputStream,5,264,31,804
ZipShort,5,264,31,192
ArArchiveEntry,4,262,12,5
ArArchiveInputStream,7,262,146,128
ArArchiveOutputStream,8,262,143,153
ArchiveEntry,3,262,3,4
ArchiveException,1,262,0,0
ArchiveInputStream,3,262,4,3
ArchiveOutputStream,4,262,9,9
ArchiveStreamFactory,13,262,199,214
CpioArchiveEntry,5,133,138,68
CpioArchiveInputStream,8,133,117,135
CpioArchiveOutputStream,12,133,192,212
CpioConstants,1,133,0,0
CpioUtil,2,23,18,0
JarArchiveEntry,4,262,15,10
JarArchiveInputStream,11,262,70,92
JarArchiveOutputStream,11,262,33,23
TarArchiveEntry,7,262,414,460
TarArchiveInputStream,10,107,467,453
TarArchiveOutputStream,9,107,390,397
TarBuffer,3,262,286,339
TarConstants,3,262,34,26
TarInputStream,8,262,335,810
TarOutputStream,11,262,263,690
TarUtils,3,262,100,135
AbstractUnicodeExtraField,5,94,49,25
AsiExtraField,6,262,180,264
ExtraFieldUtils,8,262,153,174
FallbackZipEncoding,2,65,1,1
JarMarker,3,131,10,3
NioZipEncoding,2,65,1,1
Simple8BitZipEncoding,4,64,4,5
Simple8BitZipEnoding,2,65,0,261
UnicodeCommentExtraField,5,94,27,13
UnicodePathExtraField,5,94,23,10
UnixStat,3,262,0,17
UnrecognizedExtraField,7,262,97,100
ZipArchiveEntry,11,118,78,53
ZipArchiveInputStream,9,262,57,70
ZipArchiveOutputStream,28,116,341,353
ZipEncodingHelper,7,94,196,122
ZipEncoding,2,65,4,5
ZipEntry,7,262,260,718
ZipExtraField,6,262,16,15
ZipFile,19,131,248,162
ZipLong,7,262,109,81
ZipOutputStream,7,262,685,1416
ZipShort,7,262,92,73
ZipUtil,1,23,0,0
Change,5,262,85,15
ChangeSet,5,262,155,63
ChangeWorker,2,262,0,79
DeleteChange,3,262,17,54
BZip2CompressorInputStream,7,262,875,742
BZip2CompressorOutputStream,14,262,96,88
BZip2Constants,3,262,7,8
CRC,4,262,104,79
CompressorException,2,262,18,6
CompressorInputStream,4,262,7,7
CompressorOutputStream,5,262,7,8
CompressorStreamFactory,5,262,101,109
GzipCompressorInputStream,4,262,16,16
GzipCompressorOutputStream,4,262,26,26
CompressUtils,2,262,0,39
IOUtils,2,262,16,7
ReflectionUtils,2,262,0,34
AbstractTestCase,12,260,424,241
ArTestCase,2,260,4,4
CompressTestCase,0,0,0,0
CpioArchiveInputStreamTest,1,4,0,0
CpioTestCase,2,133,68,49
JarArchiveOutputStreamTest,1,93,0,0
JarTestCase,5,260,39,16
MemoryArchiveEntry,2,262,5,0
MemoryArchiveInputStream,1,262,0,0
MemoryArchiveTestCase,2,262,18,0
TarArchiveEntryTest,4,31,7,2
TarTestCase,6,260,62,19
AsiExtraFieldTest,1,96,0,0
ExtraFieldUtilsTest,1,96,0,0
ZipTestCase,6,260,113,80
TestZipEncodings,1,65,0,0
UTF8ZipFilesTest,13,91,173,73
ZipArchiveEntryTest,3,96,84,4
ZipArchiveOutputStreamTest,3,96,1,78
ZipLongTest,1,96,0,0
ZipShortTest,1,96,0,0
ZipUtilTest,1,23,0,0
ChangeSetTestCase,10,262,1221,645
ChangeWorkerTest,3,262,18,82
BZip2TestCase,2,260,8,11
GZipTestCase,2,260,7,6
DetectArchiverTestCase,8,260,50,42
DetectCompressorTestCase,1,260,0,0
TarTestCase,0,0,0,0
TarTestSuite,3,224,16,48
AsiExtraFieldTestCase,0,0,0,0
ExtraFieldUtilsTestCase,0,0,0,0
ZipEntryTestCase,0,0,0,0
ZipLongTestCase,0,0,0,0
ZipShortTestCase,0,0,0,0
Bzip2Compress,5,259,31,144
Bzip2Uncompress,5,259,31,150
BzipTestCase,6,259,55,339
BzipTestCase,0,0,0,0
CompressUtilsTest,0,0,0,0
TarTestCase,7,264,92,398
TarTestSuite,5,264,87,110
AsiExtraFieldTestCase,6,264,91,256
ExtraFieldUtilsTestCase,6,264,89,202
ZipEntryTestCase,6,264,90,184
ZipLongTestCase,5,264,87,166
ZipShortTestCase,5,264,87,162
