ClassName,Changes,TotalCommits,Insertions,Deletions
CharBuffer,8,794,296,484
CSVParser,29,835,938,1701
CSVPrinter,11,835,509,867
CSVStrategy,14,815,201,288
CSVUtils,7,810,71,187
ExtendedBufferedReader,10,835,244,548
CSVConfigGuesser,6,825,237,424
CSVConfig,6,825,393,678
CSVField,5,825,136,247
CSVWriter,8,825,179,309
Assertions,4,140,19,2
CharBuffer,7,708,45,282
Constants,16,468,48,17
CSVFormat,187,698,3349,2573
CSVLexer,55,628,458,802
CSVParser,132,708,1293,1422
CSVPrinter,75,708,644,516
CSVRecord,46,624,381,238
CSVStrategy,5,708,120,311
CSVUtils,7,708,9,130
ExtendedBufferedReader,32,708,227,294
Lexer,54,162,34,32
package-info,9,517,29,27
Quote,6,426,5,4
Token,17,603,39,26
UnicodeUnescapeReader,6,670,20,103
CSVConfigGuesser,2,708,0,196
CSVConfig,4,708,28,375
CSVField,2,708,0,114
CSVWriter,2,708,0,144
AllTests,4,793,49,79
FormatTests,1,836,0,40
AssertionsTest,2,140,17,0
CharBufferTest,5,708,17,212
CSVFileParserTest,25,571,162,99
CSVFormatBuilderTest,16,367,167,319
CSVFormatTest,57,698,1085,699
CSVLexer130663,2,539,0,226
CSVLexer1306663,14,535,40,266
CSVLexer1306667,14,525,40,266
CSVLexer1,17,596,48,286
CSVLexer3,10,549,30,278
CSVLexerTest,61,668,653,820
CSVParserTest,111,708,1855,1492
CSVPrinterTest,52,708,746,470
CSVRecordBooleanTest,4,181,19,82
CSVRecordIntTest,2,177,0,64
CSVRecordLongTest,2,178,0,64
CSVRecordTest,16,269,114,25
CSVStrategyTest,4,708,23,114
CSVUtilsTest,3,708,1,151
ExtendedBufferedReaderTest,22,708,366,311
FercGovTest,6,193,58,50
LexerTest,2,117,1,1
PerformanceTest,20,620,226,79
PerformanceTest,17,514,104,53
TokenMatchers,4,281,13,18
TokenMatchersTest,1,281,0,0
Utils,7,533,11,23
CSVConfigGuesserTest,2,708,0,91
CSVConfigTest,2,708,0,103
CSVFieldTest,2,708,0,52
CSVWriterTest,2,708,0,165
AllTests,4,793,54,89
CharBufferTest,5,794,249,442
CSVParserTest,18,835,970,1488
CSVPrinterTest,11,835,394,472
CSVStrategyTest,10,815,70,187
CSVUtilsTest,5,810,95,249
ExtendedBufferedReaderTest,8,835,158,391
AllTests,3,793,19,38
CSVConfigGuesserTest,5,824,112,200
CSVConfigTest,5,824,128,228
CSVFieldTest,5,824,70,120
CSVWriterTest,6,824,195,250
