ClassName,Changes,TotalCommits,Insertions,Deletions
ByteArrayFeeder,1,230,0,0
ByteBufferFeeder,1,230,0,0
NonBlockingInputFeeder,1,230,0,0
package-info,1,230,0,0
Base64Variant,9,1457,244,39
Base64Variants,6,1457,35,16
GeneratorBase,49,1457,478,483
package-info,1,1457,0,0
ParserBase,67,1457,547,437
ParserMinimalBase,54,1457,702,507
InputCoercionException,3,6,3,3
JsonReadException,2,6,0,102
package-info,1,6,0,0
StreamReadException,1,5,0,0
FilteringGeneratorDelegate,22,755,1219,755
FilteringParserDelegate,28,723,842,219
JsonPointerBasedFilter,1,700,0,0
TokenFilterContext,19,755,315,135
TokenFilter,8,755,404,103
DataFormatDetector,5,1457,44,18
DataFormatMatcher,4,1457,21,7
FormatFeature,2,669,1,1
InputAccessor,6,1457,44,23
MatchStrength,2,1457,0,2
package-info,2,1457,0,2
FormatSchema,4,1457,6,3
BaseReader,4,1457,2,118
CharacterEscapes,5,1457,7,8
CharTypes,9,1457,90,67
DataOutputAsStream,1,462,0,0
InputDecorator,5,1457,31,7
IOContext,15,1457,184,129
JsonEOFException,1,422,0,0
JsonStringEncoder,18,1457,195,183
MergedStream,2,1457,37,61
NumberInput,8,1457,169,165
NumberOutput,14,1457,608,513
OutputDecorator,5,1457,6,8
SegmentedStringWriter,6,1457,16,33
SerializedString,12,1457,236,78
UTF32Reader,8,1457,168,108
UTF8Writer,3,1457,26,26
NonBlockingJsonParserBase,26,222,733,331
NonBlockingJsonParser,36,222,3597,953
NonBlockingParserBase,2,225,0,472
package-info,1,172,0,0
ByteSourceJsonBootstrapper,17,1457,89,75
CoreVersion,2,1446,0,14
DupDetector,3,1130,27,13
JsonEncoding,4,1457,19,9
JsonFactoryBuilder,7,70,159,41
JsonFactory,77,1457,1908,1009
JsonGenerationException,6,1457,58,12
JsonGenerator,88,1457,1682,811
JsonGeneratorImpl,9,1324,97,19
JsonReadContext,19,1457,181,161
JsonReadFeature,9,64,14,22
JsonWriteContext,24,1457,167,138
JsonWriteFeature,5,50,4,31
JsonLocation,7,1457,146,64
ModuleVersion,2,1447,0,12
JsonNode,6,1457,100,768
package-info,1,1457,0,0
PackageVersion,1,2,0,0
JsonParseException,19,1457,232,145
JsonParser,95,1457,1260,752
JsonpCharacterEscapes,1,420,0,0
JsonPointer,26,1169,395,164
JsonProcessingException,9,1457,101,47
ReaderBasedJsonParser,110,1457,2313,1232
JsonStreamContext,10,1457,188,23
JsonTokenId,2,1134,58,1
JsonToken,11,1457,134,91
UTF8DataInputJsonParser,32,452,405,360
UTF8JsonGenerator,71,1457,1117,778
UTF8StreamJsonParser,150,1457,2619,1791
WriterBasedJsonGenerator,48,1457,767,609
ObjectCodec,15,1457,107,83
package-info,5,1457,5,7
PrettyPrinter,6,1457,56,40
Separators,0,0,0,0
SerializableString,6,1457,136,34
StreamReadFeature,5,30,10,10
StreamWriteFeature,4,30,17,16
ByteQuadsCanonicalizer,32,810,917,570
BytesToNameCanonicalizer,32,1457,883,1851
CharsToNameCanonicalizer,28,1457,751,515
Name1,5,1457,13,28
Name2,3,1457,9,17
Name3,3,1457,13,16
Name,2,1457,7,2
NameN,4,1457,75,43
package-info,1,1457,0,0
TokenStreamFactory,3,71,73,226
TreeCodec,3,1161,2,7
TreeNode,13,1426,246,17
TSFBuilder,4,70,112,38
JavaType,3,1457,2,434
package-info,2,1457,4,0
ResolvedType,6,1454,49,2
TypeReference,7,1457,18,20
WritableTypeId,5,151,131,25
BufferRecycler,12,1457,140,92
BufferRecyclers,5,123,91,3
ByteArrayBuilder,9,1457,65,81
DefaultIndenter,4,879,55,16
DefaultPrettyPrinter,25,1457,425,301
FilteringGeneratorDelegate,2,756,0,314
FilterJsonGenerator,0,0,0,0
Instantiatable,2,1345,1,1
InternCache,7,1457,49,33
JsonGeneratorDelegate,32,1457,950,765
JsonParserDelegate,27,1457,312,315
JsonParserSequence,7,1457,141,50
MinimalPrettyPrinter,10,1457,77,77
package-info,1,1457,0,0
RequestPayload,1,473,0,0
RequestPayloadWrapper,6,515,119,149
Separators,1,215,0,0
TextBuffer,21,1457,317,159
ThreadLocalBufferManager,1,89,0,0
TokenBuffer,2,1457,0,1219
TokenFilter,2,756,0,46
VersionUtil,23,1457,360,274
Versioned,4,1457,6,3
Version,14,1457,93,39
CollGenerator,2,1358,0,265
AsyncFieldNamesTest,3,189,1,58
AsyncNumberCoercionTest,2,188,0,275
AsyncParserNamesTest,2,192,0,131
AsyncReaderWrapperForByteArray,2,226,0,58
AsyncReaderWrapper,2,226,0,58
AsyncRootValuesTest,9,205,158,259
AsyncScalarArrayTest,5,205,7,355
AsyncSimpleNestedTest,7,197,130,253
AsyncSimpleObjectTest,4,191,11,184
AsyncTestBase,2,217,3,1
ConfigTest,2,188,0,34
RootValuesTest,2,208,0,102
SimpleScalarArrayTest,4,217,9,370
Base64BinaryParsingTest,6,356,202,12
Base64CodecTest,3,334,10,0
Base64GenerationTest,1,356,0,0
TestBase64Codec,3,1210,1,60
TestBase64Generation,5,1210,4,128
TestBase64Parsing,6,1210,3,153
TestJsonParserBinary,4,1209,3,156
BaseTest,21,919,266,97
TestJsonParserSymbols,2,928,0,43
BasicFilteringTest,9,735,161,235
BasicGeneratorFilteringTest,9,725,227,75
BasicParserFilteringTest,8,683,297,53
JsonPointerBasedFilter,3,725,5,95
JsonPointerGeneratorFilteringTest,6,725,40,5
JsonPointerParserFilteringTest,8,708,41,11
TokenVerifyingParserFiltering330Test,2,212,0,137
DataFormatMatcherTest,2,138,16,24
TestJsonFormatDetection,2,1453,1,1
SegmentedStringWriterTest,1,674,0,0
TestCharTypes,3,1203,1,3
TestIOContext,3,1453,6,6
TestJDKSerializable,4,1264,2,32
TestJsonStringEncoder,12,1453,102,36
TestMergedStream,2,1453,1,1
TestUTF8Writer,3,1453,1,61
UTF8WriterTest,2,674,82,1
ArrayGenerationTest,2,451,128,0
AsyncBinaryParseTest,1,184,0,0
AsyncCharEscapingTest,2,183,0,1
AsyncCommentParsingTest,2,161,13,9
AsyncConcurrencyTest,2,70,4,2
AsyncFieldNamesTest,4,187,76,7
AsyncInvalidCharsTest,1,163,0,0
AsyncMissingValuesInArrayTest,2,167,24,24
AsyncMissingValuesInObjectTest,2,167,16,19
AsyncNonStdNumbersTest,2,166,18,10
AsyncNonStdParsingTest,5,176,49,38
AsyncNumberCoercionTest,3,187,31,9
AsyncNumberLeadingZeroesTest,2,174,14,6
AsyncParserNamesTest,1,192,0,0
AsyncRootNumbersTest,1,171,0,0
AsyncRootValuesTest,4,187,48,128
AsyncScalarArrayTest,5,187,36,19
AsyncScopeMatchingTest,1,173,0,0
AsyncSimpleNestedTest,1,187,0,0
AsyncSimpleObjectTest,1,187,0,0
AsyncStringArrayTest,1,183,0,0
AsyncStringObjectTest,1,187,0,0
AsyncTokenFilterTest,6,79,45,37
AsyncUnicodeHandlingTest,2,183,1,4
ConfigTest,1,187,0,0
GeneratorBasicTest,5,674,109,46
GeneratorFailFromReaderTest,1,298,0,0
GeneratorFailTest,3,826,27,2
GeneratorFeaturesTest,5,426,23,6
JsonFactoryTest,7,693,125,23
JsonParserClosedCaseTest,3,103,21,13
JsonReadContextTest,3,137,4,9
LocationInArrayTest,1,592,0,0
LocationInObjectTest,1,589,0,0
LocationOffsetsTest,1,280,0,0
ParserSequenceTest,5,670,78,10
JsonpCharacterEscapesTest,1,144,0,0
RawValueWithSurrogatesTest,1,483,0,0
RequestPayloadOnExceptionTest,1,473,0,0
StringGenerationFromReaderTest,1,298,0,0
StringGenerationFromWriterTest,0,0,0,0
StringGenerationTest,6,676,55,55
TestBase64Codec,3,1453,2,60
TestBase64Generation,4,1372,31,127
TestBase64Parsing,6,1453,79,160
TestByteBasedSymbols,2,1453,0,138
TestCharEscaping,6,1210,67,8
TestComments,7,1210,175,290
TestCustomEscaping,13,1453,79,44
TestDecorators,5,1453,31,28
TestGeneratorDupHandling,5,1128,53,23
TestGeneratorWithSerializedString,4,1210,146,57
TestJsonFactory,3,1211,1,87
TestJsonGeneratorFeatures,9,1211,140,271
TestJsonGenerator,12,1211,175,403
TestJsonParserBinary,3,1453,3,156
TestJsonParser,21,1453,267,812
TestLocation,5,1125,35,88
TestMaxErrorSize,2,351,0,0
TestNextXxx,15,1453,625,728
TestNumericValues,19,1208,274,649
TestParserDupHandling,5,1130,53,108
TestParserErrorHandling,4,1195,36,113
TestParserNonStandard,8,1453,66,515
TestParserOverrides,5,1419,12,13
TestParserSymbols,9,924,24,65
TestRequestBodyOnParseException,0,0,0,0
TestRequestPayloadOnParseException,5,515,257,319
TestRootValueParsing,2,1141,0,52
TestRootValues,5,1124,29,6
TestUnicode,3,1210,2,1
TestUtf8Generator,10,1453,112,23
TestUtf8Parser,6,1453,33,204
TestValueConversions,6,1210,5,194
TestWithTonsaSymbols,4,1210,11,15
TestArrayParsing,6,1453,133,21
TestCharEscaping,4,1453,3,148
TestComments,4,1453,31,123
TestExceptions,2,1323,0,17
TestGeneratorArray,5,1453,8,7
TestGeneratorClosing,8,1453,52,108
TestGeneratorCopy,4,1453,10,11
TestGeneratorMisc,10,1453,140,175
TestGeneratorObject,6,1453,10,9
TestGeneratorWithSerializedString,3,1453,4,99
TestJsonFactory,4,1453,7,70
TestJsonGeneratorFeatures,3,1453,4,135
TestJsonGenerator,3,1453,9,237
TestJsonParserSymbols,3,1453,5,108
TestNumberParsing,4,1453,42,4
TestNumericValues,6,1453,47,379
TestParserClosing,6,1453,27,22
TestParserFeatures,10,1453,73,47
TestParserLinefeeds,3,1453,2,3
TestParserWithObjects,5,1453,5,6
TestPrettyPrinter,10,1453,231,43
TestRawStringWriting,5,1453,49,8
TestScopeMatching,5,1453,9,144
TestStringGeneration,5,1453,14,239
TestUnicode,3,1453,1,39
TestValueConversions,2,1453,0,189
TestWithTonsaSymbols,4,1453,5,117
TestExceptions,2,1208,0,17
TestJDKSerializability,3,1208,1,105
TestVersions,2,1208,0,41
PointerFromContextTest,1,259,0,0
Base64BinaryParsingTest,2,434,0,158
CommentParsingTest,4,436,34,26
DataInputTest,1,331,0,0
JsonParserTest,16,446,295,198
NextXxxAccessTest,2,432,1,8
NonStandardParserFeaturesTest,6,435,95,37
NumberCoercionTest,2,328,25,8
NumberOverflowTest,3,64,7,7
NumberParsingTest,11,434,314,305
ParserDupHandlingTest,2,434,81,30
ParserErrorHandlingTest,2,432,25,12
ParserScopeMatchingTest,2,431,3,15
ParserSymbolHandlingTest,1,431,0,0
TestJsonParserBinary,2,431,0,139
TrailingCommasTest,6,346,105,45
UTF32ParseTest,2,318,12,0
UTF8NamesParseTest,3,437,12,6
ValueConversionsTest,1,431,0,0
SymbolsViaParserTest,3,643,44,13
SymbolTableMergingTest,1,643,0,0
TestByteBasedSymbols,11,1348,61,43
TestHashCollisionChars,4,952,17,11
TestJsonParserSymbols,10,1349,17,121
TestSymbolsWithMediaItem,4,749,5,11
TestSymbolTables,37,1361,640,348
TestExceptions,5,1162,109,3
TestJDKSerializability,7,1162,60,9
TestJsonFactory,3,1220,0,28
TestJsonPointer,15,1162,115,7
TestLocation,4,334,95,8
PackageVersion,3,1283,11,20
TestSerializability,2,1315,0,80
AsyncReaderWrapperForByteArray,1,192,0,0
AsyncReaderWrapper,3,192,15,1
ByteOutputStreamForTesting,1,54,0,0
MockDataInput,2,446,1,1
StringWriterForTesting,1,54,0,0
ThrottledInputStream,1,436,0,0
TestPackageVersion,2,1283,0,14
TestVersions,17,1162,15,4
TypeReferenceTest,3,670,125,2
ByteArrayBuilderTest,1,670,0,0
DefaultIndenterTest,1,138,0,0
RequestPayloadTest,3,138,4,4
SeparatorsTest,1,138,0,0
TestCharTypes,2,1453,1,1
TestDefaultPrettyPrinter,6,879,139,40
TestDelegates,10,1453,299,46
TestFilterJsonGenerator,0,0,0,0
TestNumberPrinting,4,1453,15,10
TestSerializedString,2,1437,1,1
TestTextBuffer,8,1453,213,44
TestVersionUtil,10,1453,23,5
VersionUtilTest,1,138,0,0
VersionTest,2,136,7,8
AsyncBinaryParseTest,2,191,0,178
AsyncCharEscapingTest,3,189,6,111
AsyncCommentParsingTest,3,173,7,243
AsyncNonStdNumbersTest,3,177,0,180
AsyncNonStdParsingTest,2,177,0,291
AsyncStringArrayTest,3,191,1,166
AsyncStringObjectTest,2,191,0,121
AsyncTokenErrorTest,3,188,56,25
AsyncTrailingCommasTest,2,173,0,316
AsyncUnicodeHandlingTest,2,191,0,97
GeneratorFail282Test,3,449,1,49
LocationInArrayTest,3,596,9,66
LocationInObjectTest,2,596,0,99
ParserErrorHandlingTest,2,182,4,1
Surrogate223Test,1,592,0,0
TokenVerifyingParserFiltering330Test,4,200,0,137
BaseTest,6,1453,35,446
TestHashCollision,5,960,61,202
CollisionGenerator,2,960,0,66
ConcurrencyReadTest,3,1349,2,1
EnumByBytesLookup,1,827,0,0
ManualCharAccessTest,3,1065,2,2
ManualIntRead,1,206,0,0
ManualReadPerfWithMedia,4,1043,8,10
ManualSmallTokenRead,1,219,0,0
MediaItem,1,1043,0,0
ParserTestBase,3,1043,6,1
