ClassName,Changes,TotalCommits,Insertions,Deletions
ContainerBuilder,1,721,0,0
MappingIteratorDeserializer,2,639,0,6
MappingIteratorReadTest,1,639,0,0
TypeBindings,1,380,0,0
TypeSerializerWrapper,2,2176,0,142
AbstractTypeResolver,6,2974,22,18
JacksonInject,2,2974,0,30
JacksonStdImpl,2,2974,0,25
JsonCachable,3,2974,0,32
JsonDeserialize,2,2974,0,108
JsonFilter,2,2974,0,29
JsonRootName,2,2974,0,27
JsonSerialize,2,2974,0,215
JsonTypeIdResolver,3,2974,2,38
JsonTypeResolver,3,2974,1,26
JsonValueInstantiator,2,2974,0,25
JsonView,2,2974,0,37
NoClass,2,2974,0,19
package-info,3,2974,4,9
AnnotationIntrospector,87,2974,1508,1570
JacksonStdImpl,2,2966,0,2
JsonAppend,4,1156,110,3
JsonCachable,2,2966,0,30
JsonDeserialize,7,2966,50,20
JsonNaming,3,2508,10,1
JsonPOJOBuilder,1,2735,0,0
JsonSerialize,13,2966,93,38
JsonTypeIdResolver,3,2966,5,5
JsonTypeResolver,3,2966,5,2
JsonValueInstantiator,2,2966,1,3
NoClass,4,2966,9,10
package-info,1,2966,0,0
BeanDescription,22,2974,195,101
BeanPropertyDefinition,9,2974,71,137
BeanProperty,26,2974,317,109
BaseSettings,13,2897,226,61
ConfigFeature,4,2895,8,8
ContextAttributes,3,1871,14,8
DatabindVersion,2,2772,0,14
DeserializationConfig,2,2772,0,497
DeserializerFactoryConfig,5,2777,24,10
HandlerInstantiator,7,2772,56,7
MapperConfigBase,26,2897,586,184
MapperConfig,23,2897,521,641
package-info,1,2772,0,0
PackageVersion,1,2,0,0
SerializationConfig,2,2772,0,475
SerializerFactoryConfig,3,2777,6,14
ClassIntrospector,3,2974,0,117
ContextualDeserializer,2,2974,0,38
ContextualKeyDeserializer,2,2974,0,33
ContextualSerializer,2,2974,0,38
DatabindContext,9,2146,149,17
DatabindVersion,2,2946,0,14
AbstractDeserializer,23,2974,274,159
BasicDeserializerFactory,137,2974,2959,1912
BeanDeserializerBase,101,2735,1203,566
BeanDeserializerBuilder,38,2974,302,159
BeanDeserializerFactory,96,2974,1046,1632
BeanDeserializer,104,2974,1346,1969
BeanDeserializerModifier,14,2974,166,42
BuilderBasedDeserializer,26,2735,250,535
ContextualDeserializer,4,2967,14,14
ContextualKeyDeserializer,3,2967,4,8
CreatorProperty,19,2949,163,84
DataFormatReaders,2,2438,1,1
DefaultDeserializationContext,31,2753,415,148
DeserializationProblemHandler,7,2969,21,14
DeserializerCache,44,2769,221,144
DeserializerFactory,19,2967,114,268
DeserializerProvider,3,2857,1,144
Deserializers,19,2967,220,233
DeserializationConfig,55,2757,703,227
DeserializationContext,81,2974,1651,749
DeserializationFeature,25,2772,268,51
DeserializationProblemHandler,2,2974,0,56
DeserializerFactory,3,2974,0,353
DeserializerProvider,8,2974,4,190
Deserializers,3,2974,0,336
BeanAsArrayBuilderDeserializer,10,2528,78,60
BeanAsArrayDeserializer,11,2550,309,67
BeanPropertyMap,35,2974,1894,1604
CreatorCollector,28,2974,428,180
CreatorProperty,6,2974,5,158
DeserializerCache,3,2773,1,515
DeserializerFactoryConfig,2,2829,0,193
ExternalTypeHandler,20,2974,264,103
FailingDeserializer,2,1863,1,3
FieldProperty,13,2735,77,43
InnerClassProperty,8,2743,82,28
ManagedReferenceProperty,10,2743,65,60
MethodProperty,9,2735,62,35
NoClassDefFoundDeserializer,2,1159,3,3
NullProvider,5,2735,10,7
ObjectIdProperty,4,2743,33,114
ObjectIdReader,12,2746,128,48
ObjectIdReferenceProperty,9,1725,43,50
ObjectIdValueProperty,19,2685,62,55
package-info,1,2974,0,0
PropertyBasedCreator,14,2974,137,99
PropertyBasedObjectIdGenerator,3,2735,5,0
PropertyValueBuffer,16,2974,256,105
PropertyValue,2,2974,2,1
ReadableObjectId,14,2743,185,115
SetterlessProperty,7,2735,38,37
TypeWrappedDeserializer,5,2797,49,13
UnwrappedPropertyHandler,7,2974,42,17
ValueInjector,6,2974,17,9
KeyDeserializers,6,2967,5,15
package-info,1,2974,0,0
ResolvableDeserializer,7,2967,32,14
SettableAnyProperty,16,2974,159,116
SettableBeanProperty,56,2974,550,826
ArrayBlockingQueueDeserializer,7,2196,37,32
AtomicBooleanDeserializer,6,2009,3,10
AtomicReferenceDeserializer,16,2009,133,86
ByteBufferDeserializer,2,2005,2,7
CalendarDeserializer,4,2974,2,50
CharsetDeserializer,4,2009,2,26
ClassDeserializer,8,2974,13,63
CollectionDeserializer,51,2974,396,239
ContainerDeserializerBase,14,2974,75,26
DateDeserializer,3,2974,1,32
DateDeserializers,23,2954,337,180
DelegatingDeserializer,12,2416,45,14
StdDeserializationContext,9,2974,136,461
StdDeserializer,2,2974,0,92
StdDeserializerProvider,12,2974,8,514
StdDeserializers,4,2974,15,134
EnumDeserializer,33,2974,332,186
EnumMapDeserializer,29,2974,261,158
EnumSetDeserializer,23,2974,189,79
FailingDeserializer,2,1864,0,30
FromStringDeserializer,22,2974,301,247
InetAddressDeserializer,3,2009,2,28
InetSocketAddressDeserializer,3,2009,1,53
JacksonDeserializers,15,2954,119,203
JavaTypeDeserializer,8,1974,5,45
JdkDeserializers,29,2954,427,648
JsonLocationInstantiator,4,1974,6,6
JsonNodeDeserializer,31,2974,342,243
StdKeyDeserializer,2,2974,0,12
StdKeyDeserializers,2,2974,0,11
MapDeserializer,62,2974,733,461
MapEntryDeserializer,5,1351,6,5
NullifyingDeserializer,2,2194,21,12
NumberDeserializers,27,2954,542,356
ObjectArrayDeserializer,27,2974,208,110
package-info,2,2974,0,2
PrimitiveArrayDeserializers,15,2974,406,392
StdScalarDeserializer,2,2974,0,13
StackTraceElementDeserializer,3,2009,13,5
StdDelegatingDeserializer,19,2372,147,51
StdDeserializer,56,2974,800,815
StdKeyDeserializer,20,2974,389,274
StdKeyDeserializers,17,2974,116,122
StdNodeBasedDeserializer,2,1196,1,1
StdScalarDeserializer,8,2974,10,16
StdValueInstantiator,29,2974,380,268
StringArrayDeserializer,15,2139,155,127
StringCollectionDeserializer,38,2974,236,185
StringDeserializer,17,2974,67,50
ThrowableDeserializer,12,2974,39,46
TimestampDeserializer,3,2974,1,32
TokenBufferDeserializer,9,1974,13,18
UntypedObjectDeserializer,34,2974,688,272
UUIDDeserializer,8,1903,97,76
UnresolvedForwardReference,8,1726,141,67
UnresolvedId,3,1694,6,6
ValueInstantiator,20,2974,180,140
ValueInstantiators,7,2974,4,9
IgnoredPropertyException,3,1822,19,4
InvalidFormatException,3,2549,25,7
PropertyBindingException,3,1822,25,7
UnrecognizedPropertyException,8,2974,112,120
CoreXMLDeserializers,9,2974,81,80
CoreXMLSerializers,19,2974,105,72
DOMDeserializer,5,2974,34,11
DOMSerializer,16,2974,37,32
JodaDeserializers,4,2974,1,255
JodaSerializers,8,2974,12,216
OptionalHandlerFactory,18,2974,125,164
package-info,1,2974,0,0
PathDeserializer,1,420,0,0
HandlerInstantiator,6,2974,7,122
InjectableValues,4,2974,10,14
AnnotatedClass,50,2974,847,603
AnnotatedConstructor,15,2974,127,46
AnnotatedField,16,2974,131,49
Annotated,12,2974,59,28
AnnotatedMember,17,2974,170,55
AnnotatedMethod,25,2974,240,125
AnnotatedMethodMap,3,2974,2,2
AnnotatedParameter,17,2974,50,62
AnnotatedWithParams,15,2974,32,73
AnnotationIntrospectorPair,35,2427,422,430
AnnotationMap,10,2974,59,22
BasicBeanDescription,43,2974,555,458
BasicClassIntrospector,21,2974,202,292
BeanPropertyDefinition,26,2757,197,82
ClassIntrospector,8,2967,33,16
ConcreteBeanPropertyBase,5,410,79,23
JacksonAnnotationIntrospector,109,2974,1384,862
MemberKey,2,2974,6,0
MethodFilter,2,2974,0,12
NopAnnotationIntrospector,12,2974,36,210
ObjectIdInfo,9,2752,81,26
package-info,1,2974,0,0
POJOPropertiesCollector,68,2974,831,474
POJOPropertyBuilder,61,2974,1151,551
SimpleMixInResolver,3,848,15,6
TypeResolutionContext,1,339,0,0
VirtualAnnotatedMember,6,1146,16,18
VisibilityChecker,10,2974,309,340
WithMember,1,2825,0,0
JavaType,27,2969,274,160
JsonDeserializer,26,2974,297,96
JsonAnyFormatVisitor,3,2516,8,2
JsonArrayFormatVisitor,9,2516,60,17
JsonBooleanFormatVisitor,2,2516,9,2
JsonFormatTypes,4,2487,21,13
JsonFormatVisitable,6,2487,8,7
JsonFormatVisitorAware,0,0,0,0
JsonFormatVisitorWithSerializerProvider,2,2516,2,4
JsonFormatVisitorWrapper,7,2516,177,48
JsonIntegerFormatVisitor,4,2516,24,4
JsonMapFormatVisitor,3,2278,10,3
JsonNullFormatVisitor,2,2516,6,1
JsonNumberFormatVisitor,5,2516,24,5
JsonObjectFormatVisitor,11,2516,86,42
JsonStringFormatVisitor,2,2516,9,1
JsonValueFormat,4,2488,146,171
JsonValueFormatVisitor,4,2516,20,4
package-info,1,1985,0,0
SchemaType,0,0,0,0
JsonMappingException,13,2974,285,95
JsonNode,33,2817,516,285
AnySchemaFactory,0,0,0,0
ArraySchemaFactory,0,0,0,0
BooleanSchemaFactory,0,0,0,0
IntegerSchemaFactory,0,0,0,0
NullSchemaFactory,0,0,0,0
NumberSchemaFactory,0,0,0,0
ObjectSchemaFactory,0,0,0,0
SchemaFactoryDelegate,0,0,0,0
SchemaFactory,0,0,0,0
SchemaFactoryProvider,0,0,0,0
StringSchemaFactory,0,0,0,0
ValueTypeSchemaFactory,0,0,0,0
JsonFormatVisitorAware,0,0,0,0
JsonSchema,7,2970,19,7
JsonSerializableSchema,4,2970,31,7
package-info,1,2970,0,0
SchemaAware,3,2970,14,6
SchemaFactory,0,0,0,0
SchemaFactoryProvider,0,0,0,0
AnySchema,0,0,0,0
ArraySchema,0,0,0,0
BooleanSchema,0,0,0,0
ContainerTypeSchema,0,0,0,0
HyperSchema,0,0,0,0
IntegerSchema,0,0,0,0
JsonSchema,0,0,0,0
JsonValueFormat,0,0,0,0
NullSchema,0,0,0,0
NumberSchema,0,0,0,0
ObjectSchema,0,0,0,0
Schema,0,0,0,0
SchemaType,0,0,0,0
SimpleTypeSchema,0,0,0,0
StringSchema,0,0,0,0
UnionTypeSchema,0,0,0,0
ValueTypeSchema,0,0,0,0
JsonAnyFormatVisitor,0,0,0,0
JsonArrayFormatVisitor,0,0,0,0
JsonBooleanFormatVisitor,0,0,0,0
JsonFormatVisitor,0,0,0,0
JsonFormatVisitorWithSerializerProvider,0,0,0,0
JsonFormatVisitorWrapper,0,0,0,0
JsonIntegerFormatVisitor,0,0,0,0
JsonNullFormatVisitor,0,0,0,0
JsonNumberFormatVisitor,0,0,0,0
JsonObjectFormatVisitor,0,0,0,0
JsonStringFormatVisitor,0,0,0,0
JsonValueFormatVisitor,0,0,0,0
JsonSerializable,6,2974,53,20
JsonSerializableWithType,2,2974,0,21
JsonSerializer,27,2974,210,52
AsArrayTypeDeserializer,18,2974,114,79
AsArrayTypeSerializer,11,2974,240,135
AsExistingPropertyTypeDeserializer,0,0,0,0
AsExistingPropertyTypeSerializer,3,1293,8,42
AsExternalTypeDeserializer,9,2974,31,21
AsExternalTypeSerializer,13,2974,235,192
AsPropertyTypeDeserializer,25,2974,192,160
AsPropertyTypeSerializer,13,2974,84,43
AsWrapperTypeDeserializer,17,2974,87,68
AsWrapperTypeSerializer,12,2974,323,200
ClassNameIdResolver,13,2974,66,46
FailingDeserializer,2,2106,0,31
MinimalClassNameIdResolver,6,2974,9,9
package-info,2,2974,0,2
StdSubtypeResolver,11,2974,210,61
StdTypeResolverBuilder,20,2974,112,97
TypeDeserializerBase,32,2974,251,123
TypeIdResolverBase,11,2974,79,20
TypeNameIdResolver,16,2974,81,60
TypeSerializerBase,7,2974,42,15
NamedType,4,2974,7,12
package-info,2,2974,0,2
SubtypeResolver,7,2974,118,22
TypeDeserializer,8,2967,107,47
TypeIdResolver,7,2974,37,10
TypeResolverBuilder,10,2974,30,27
TypeSerializer,7,2967,91,53
TypeSerializerWrapper,2,2255,0,142
KeyDeserializer,3,2974,1,3
KeyDeserializers,3,2974,0,21
MapperConfig,8,2974,29,1183
MapperFeature,21,2772,228,60
MappingIterator,20,2974,344,115
