ClassName,Changes,TotalCommits,Insertions,Deletions
JacksonXmlElementWrapper,2,487,0,24
JacksonXmlProperty,2,487,0,21
JacksonXmlRootElement,2,487,0,19
package-info,2,487,0,6
JacksonXmlCData,1,138,0,0
JacksonXmlElementWrapper,2,484,20,6
JacksonXmlProperty,2,484,1,1
JacksonXmlRootElement,1,484,0,0
JacksonXmlText,2,450,5,5
package-info,1,484,0,0
ElementWrapper,3,393,53,2
FromXmlParser,36,487,508,265
WrapperHandlingDeserializer,12,396,129,53
XmlBeanDeserializerModifier,13,460,143,64
XmlReadContext,4,403,46,29
XmlTextDeserializer,2,260,9,17
XmlTokenStream,18,394,301,50
JacksonXmlAnnotationIntrospector,20,487,304,230
JacksonXmlModule,10,487,110,14
XmlJaxbAnnotationIntrospector,13,487,108,152
ModuleVersion,2,487,0,12
package-info,1,487,0,0
PackageVersion,1,2,0,0
ToXmlGenerator,25,487,467,147
UnwrappingXmlBeanSerializer,3,215,5,2
XmlBeanPropertyWriter,10,487,67,41
XmlBeanSerializerBase,7,216,99,50
XmlBeanSerializer,22,487,260,353
XmlBeanSerializerModifier,13,487,55,117
XmlSerializerProvider,15,487,318,126
AnnotationUtil,5,460,45,16
DefaultXmlPrettyPrinter,14,487,622,177
StaxUtil,2,487,46,0
TypeUtil,3,393,8,2
XmlInfo,3,487,8,2
XmlRootNameLookup,8,487,70,62
XmlTokenStream,3,487,0,265
XmlAnnotationIntrospector,9,487,149,73
XmlFactory,28,487,514,239
XmlMapper,20,487,227,61
XmlPrettyPrinter,4,476,30,2
XmlTypeResolverBuilder,5,487,20,34
JacksonXmlElementWrapper,3,548,0,27
JacksonXmlProperty,4,548,0,26
JacksonXmlRootElement,3,516,0,22
package-info,3,548,0,8
FromXmlParser,4,545,16,740
FromXmlParser,2,548,0,724
JacksonXmlAnnotationIntrospector,6,548,29,226
JacksonXmlModule,6,538,11,182
XmlJaxbAnnotationIntrospector,6,546,75,186
ModuleVersion,2,491,0,12
package-info,3,548,0,8
ToXmlGenerator,4,545,6,838
XmlBeanPropertyWriter,6,545,40,164
XmlBeanSerializerFactory,3,545,5,267
XmlBeanSerializer,10,545,157,269
XmlBeanSerializerModifier,4,530,14,162
XmlSerializerProvider,6,545,21,99
ToXmlGenerator,2,548,0,832
