ClassName,Changes,TotalCommits,Insertions,Deletions
DataUtil,7,155,125,38
Entities,2,23,0,2197
ListLinks,2,123,3,3
package-info,1,123,0,0
StringUtil,2,9,27,0
Validate,1,9,0,0
Jsoup,15,239,224,78
Attribute,14,251,100,15
Attributes,17,254,262,63
Comment,13,254,43,19
DataNode,9,221,29,14
Document,23,254,296,65
Element,58,254,1140,230
Entities,8,22,40,59
Evaluator,9,170,113,14
Node,36,254,473,101
package-info,1,139,0,0
TextNode,23,254,186,53
XmlDeclaration,9,238,39,13
package-info,1,139,0,0
AttributeParser,3,254,77,92
package-info,1,139,0,0
Parser,45,254,586,341
ParserRuntimeException,3,257,12,20
Position,3,257,77,85
StartTag,4,254,19,44
Tag,31,255,382,165
Token,5,257,140,148
TokenQueue,24,237,392,140
TokenStream,4,257,158,166
Cleaner,11,197,140,16
package-info,1,139,0,0
Whitelist,8,197,334,31
Collector,7,236,33,13
ElementList,4,232,8,76
Elements,17,229,353,20
Evaluator,5,236,60,133
NodeTraversor,1,51,0,0
NodeVisitor,1,51,0,0
package-info,1,139,0,0
Selector,29,232,448,154
DataUtilTest,1,42,0,0
EntitiesTest,2,23,0,18
StringUtilTest,2,9,18,0
Benchmark,1,172,0,0
ParseTest,13,214,131,45
UrlConnectTest,4,144,24,4
DocumentTest,4,217,30,1
ElementTest,32,244,404,39
EntitiesTest,3,22,14,7
NodeTest,6,215,41,6
TextNodeTest,3,108,24,3
CleanerTest,10,195,92,118
AttributeParserTest,2,251,0,52
AttributeParseTest,3,238,5,5
ParserTest,41,254,393,54
TagTest,1,255,0,0
TokenQueueTest,3,60,27,0
TokenStreamTest,4,257,15,23
TokenTest,2,254,0,78
CleanerTest,2,74,1,1
ElementListTest,3,230,1,22
ElementsTest,15,228,804,665
SelectorTest,30,232,480,26
TextUtil,2,146,1,1
