ClassName,Changes,TotalCommits,Insertions,Deletions
AbstractFactory,11,320,97,135
BasicNamespaceManager,2,153,0,89
BasicNodeSet,6,178,32,72
BasicVariables,9,332,80,101
ClassFunctions,13,332,112,124
CompiledExpression,8,297,64,90
Container,8,330,40,87
DynamicPropertyHandler,7,332,36,81
ExpressionContext,9,332,61,96
ExtendedKeyManager,4,17,4,3
Function,9,332,51,93
FunctionLibrary,8,332,73,103
ConstructorFunction,14,332,102,133
Functions,9,332,48,91
MethodFunction,14,332,140,152
PackageFunctions,2,332,0,146
Types,3,332,62,516
IdentityManager,6,271,31,76
JXPathAbstractFactoryException,2,95,8,7
JXPathBasicBeanInfo,13,332,125,146
JXPathBeanInfo,9,332,59,98
JXPathContextFactoryConfigurationError,8,332,36,86
JXPathContextFactory,10,332,187,225
JXPathContext,35,332,849,465
JXPathException,9,301,61,108
JXPathFunctionNotFoundException,2,95,8,7
JXPathIntrospector,12,332,149,141
JXPathInvalidAccessException,2,95,8,7
JXPathInvalidSyntaxException,2,95,8,7
JXPath,5,332,22,138
JXPathNotFoundException,2,95,8,7
JXPathTypeConversionException,2,95,8,7
KeyManager,8,271,40,82
MapDynamicPropertyHandler,10,326,53,97
NamespaceManager,2,153,0,88
NodeSet,5,186,23,60
PackageFunctions,16,332,207,169
Pointer,11,332,104,122
AncestorContext,18,332,146,221
AttributeContext,13,330,102,184
ChildContext,19,332,204,283
DescendantContext,18,332,212,244
InitialContext,19,332,110,145
NamespaceContext,12,325,93,130
NodeSetContext,5,178,26,71
ParentContext,17,332,134,209
PrecedingOrFollowingContext,18,332,211,263
PredicateContext,26,332,370,329
PropertyIterator,2,332,0,324
RootContext,21,332,173,190
SelfContext,14,332,134,199
SimplePathInterpreter,22,302,1066,543
UnionContext,16,332,123,186
Constant,11,332,77,124
CoreFunction,23,332,980,451
CoreOperationAdd,5,195,23,60
CoreOperationAnd,5,195,23,60
CoreOperationCompare,10,195,96,125
CoreOperationDivide,5,195,23,60
CoreOperationEqual,7,195,26,74
CoreOperationGreaterThan,6,195,26,76
CoreOperationGreaterThanOrEqual,6,195,27,76
CoreOperation,17,332,745,787
CoreOperationLessThan,6,195,26,76
CoreOperationLessThanOrEqual,6,195,27,76
CoreOperationMod,5,195,23,60
CoreOperationMultiply,5,195,23,60
CoreOperationNegate,5,195,23,60
CoreOperationNotEqual,7,195,28,76
CoreOperationOr,5,195,23,60
CoreOperationRelationalExpression,3,9,12,9
CoreOperationSubtract,5,195,23,60
CoreOperationUnion,5,195,23,60
Expression,14,332,212,300
ExpressionPath,18,332,229,226
ExtensionFunction,17,332,160,151
Compiler,13,332,98,129
LocationPath,14,332,116,188
NameAttributeTest,7,290,34,17
NodeNameTest,13,332,76,123
NodeTest,7,325,35,83
NodeTypeTest,10,332,63,121
Operation,10,332,55,125
Path,21,332,496,314
ProcessingInstructionTest,10,332,60,119
QName,3,332,5,130
Step,11,332,146,150
TreeCompiler,13,332,237,247
VariableReference,11,332,72,115
EvalContext,35,332,1363,2248
InfoSetUtil,14,290,172,210
JXPathCompiledExpression,11,297,110,119
JXPathContextFactoryReferenceImpl,8,332,46,88
JXPathContextReferenceImpl,55,332,1145,727
BeanAttributeIterator,11,311,99,139
BeanPointerFactory,9,311,59,96
BeanPointer,16,311,302,325
BeanPropertyPointer,22,311,284,306
CollectionAttributeNodeIterator,5,178,28,72
CollectionChildNodeIterator,5,178,28,72
CollectionNodeIterator,5,178,28,72
CollectionPointerFactory,9,311,57,102
CollectionPointer,23,311,315,287
DynamicPointerFactory,4,311,14,132
DynamicPointer,8,311,63,227
DynamicPropertyPointer,12,311,329,674
LangAttributePointer,16,311,117,156
NullElementPointer,19,311,223,289
NullPointer,14,311,147,207
NullPropertyPointer,23,311,298,266
PropertyIterator,17,311,201,215
PropertyOwnerPointer,23,311,244,261
PropertyPointer,19,311,236,203
ContainerPointerFactory,9,311,58,101
ContainerPointer,16,311,159,171
DOMAttributeIterator,14,311,133,173
DOMAttributePointer,18,311,158,196
DOMNamespaceIterator,11,311,77,120
DOMNodeIterator,16,311,112,250
DOMNodePointer,37,311,852,665
DOMPointerFactory,9,311,58,101
NamespacePointer,15,311,126,157
DynaBeanPointerFactory,9,215,46,98
DynaBeanPointer,9,215,70,129
DynaBeanPropertyPointer,16,215,396,558
DynamicAttributeIterator,6,207,26,63
DynamicPointerFactory,7,207,55,88
DynamicPointer,10,207,64,108
DynamicPropertyIterator,7,207,28,72
DynamicPropertyPointer,12,207,142,208
JDOMAttributeIterator,10,232,89,211
JDOMAttributePointer,13,232,119,177
JDOMNamespaceIterator,11,232,79,132
JDOMNamespacePointer,12,232,113,159
JDOMNodeIterator,10,232,98,136
JDOMNodePointer,27,232,864,754
JDOMPointerFactory,8,232,42,87
NodeIterator,6,311,31,76
NodePointerFactory,9,311,57,97
NodePointer,33,311,860,615
VariablePointer,22,311,317,270
NamespaceResolver,13,134,99,42
ASCII_UCodeESC_CharStream,2,332,0,520
Parser,12,332,129,137
JavaCharStream,2,192,0,547
ParseException,3,332,4,3
SimpleCharStream,1,177,0,0
Token,3,332,3,3
TokenMgrError,4,332,38,18
XPathParserConstants,5,332,117,108
XPathParser,7,332,2388,2270
XPathParserTokenManager,6,332,1213,1221
BeanAttributeIterator,3,323,4,107
BeanPointerFactory,3,320,12,103
BeanPointer,5,332,56,216
BeanPropertyPointer,5,332,82,329
ContainerPointerFactory,2,320,0,95
ContainerPointer,6,330,32,196
DOMAttributeIterator,3,330,93,204
DOMAttributePointer,4,330,28,191
DOMNamespaceIterator,2,325,0,138
DOMNodeIterator,3,330,9,205
DOMNodePointer,7,330,325,542
DOMPointerFactory,2,320,0,95
DynamicPointerFactory,3,320,12,111
DynamicPointer,5,332,28,182
DynamicPropertyPointer,5,332,72,344
LangAttributePointer,3,323,4,151
NamespacePointer,3,325,4,170
NodeIterator,3,330,4,85
NodePointerFactory,2,320,0,96
NodePointer,7,332,323,495
NullElementPointer,2,320,0,141
NullPointer,6,332,54,186
NullPropertyPointer,5,332,110,241
PropertyAccessHelper,4,332,149,392
PropertyIterator,3,330,5,314
PropertyOwnerPointer,5,330,86,234
PropertyPointer,6,332,54,221
VariablePointer,6,332,183,331
QName,13,311,103,151
Constants,7,328,29,71
HttpSessionAndServletContext,3,128,7,6
HttpSessionHandler,8,328,73,83
JXPathServletContexts,8,328,149,140
KeywordVariables,9,328,42,80
PageContextHandler,8,328,63,84
PageScopeContextHandler,8,328,43,75
PageScopeContext,7,328,32,71
ServletContextHandler,8,328,49,75
ServletRequestAndContext,4,128,10,12
ServletRequestHandler,8,328,72,83
Util,5,328,22,99
AbstractBeanElement,2,332,0,209
AbstractBeanNode,2,332,0,335
ArrayNodeSequence,2,332,0,103
BeanDocument,2,332,0,386
BeanElement,2,332,0,155
BeanElementList,2,332,0,108
BeanNamedNodeMap,2,332,0,139
BeanNodeFactory,2,332,0,191
BeanNodeList,2,332,0,105
CollectionNodeSequence,2,332,0,124
DOMWrapper,2,332,0,172
DynamicPropertyElementList,2,332,0,128
ElementList,2,332,0,268
JXPathException,2,332,0,90
MapDynamicPropertyHandler,2,332,0,103
NodeSequence,2,332,0,210
NodeSequencer,2,332,0,100
ProcessedBeanInfo,2,332,0,210
