ClassName,Changes,TotalCommits,Insertions,Deletions
ArrayUtils,2,1784,0,4417
BitField,2,1784,0,290
BooleanUtils,2,1784,0,930
CompareToBuilder,2,1784,0,1047
EqualsBuilder,2,1784,0,844
HashCodeBuilder,2,1784,0,704
ReflectionToStringBuilder,2,1784,0,883
StandardToStringStyle,2,1784,0,545
ToStringBuilder,2,1784,0,1043
ToStringStyle,2,1784,0,2151
CharEncoding,2,1784,0,153
CharRange,2,1784,0,233
CharSet,2,1784,0,284
CharSetUtils,2,1784,0,391
CharUtils,2,1784,0,560
ClassUtils,2,1784,0,679
Entities,2,1784,0,939
Enum,2,1784,0,631
EnumUtils,2,1784,0,128
Enum,2,1784,0,630
EnumUtils,2,1784,0,124
ValuedEnum,2,1784,0,232
ValuedEnum,2,1784,0,196
ExceptionUtils,2,1784,0,995
NestableDelegate,2,1784,0,404
NestableError,2,1784,0,198
NestableException,2,1784,0,259
Nestable,2,1784,0,178
NestableRuntimeException,2,1784,0,203
IllegalClassException,2,1784,0,103
IncompleteArgumentException,2,1784,0,89
IntHashMap,2,1784,0,364
LocaleUtils,2,1784,0,291
DoubleRange,2,1784,0,416
FloatRange,2,1784,0,410
Fraction,2,1784,0,941
IntRange,2,1784,0,384
JVMRandom,2,1784,0,170
LongRange,2,1784,0,397
NumberRange,2,1784,0,242
NumberUtils,2,1784,0,1410
RandomUtils,2,1784,0,180
Range,2,1784,0,431
MutableBoolean,2,1784,0,170
MutableByte,2,1784,0,281
MutableDouble,2,1784,0,312
MutableFloat,2,1784,0,313
MutableInt,2,1784,0,272
Mutable,2,1784,0,54
MutableLong,2,1784,0,272
MutableObject,2,1784,0,114
MutableShort,2,1784,0,281
NotImplementedException,2,1784,0,295
NullArgumentException,2,1784,0,64
NumberRange,2,1784,0,220
NumberUtils,2,1784,0,714
ObjectUtils,2,1784,0,280
RandomStringUtils,2,1784,0,327
SerializationException,2,1784,0,80
SerializationUtils,2,1784,0,195
StringEscapeUtils,2,1784,0,689
StringUtils,2,1784,0,4864
SystemUtils,2,1784,0,1350
CompositeFormat,2,1784,0,105
StrBuilder,2,1784,0,2363
StrLookup,2,1784,0,161
StrMatcher,2,1784,0,406
StrSubstitutor,2,1784,0,830
StrTokenizer,2,1784,0,1124
DateFormatUtils,2,1784,0,262
DateUtils,2,1784,0,990
DurationFormatUtils,2,1784,0,643
FastDateFormat,2,1784,0,1734
StopWatch,2,1784,0,264
UnhandledException,2,1784,0,73
Validate,2,1784,0,554
WordUtils,2,1784,0,585
CalendarUtils,2,1784,0,469
CalendarUtilsTest,2,1784,0,342
DateFormatter,2,1784,0,160
DateFormatterTest,2,1784,0,255
AllLangTestSuite,2,1784,0,71
ArrayUtilsAddTest,2,1784,0,574
ArrayUtilsRemoveTest,2,1784,0,458
ArrayUtilsTest,2,1784,0,2553
BitFieldTest,2,1784,0,267
BooleanUtilsTest,2,1784,0,580
BuilderTestSuite,2,1784,0,65
CompareToBuilderTest,2,1784,0,1131
DefaultToStringStyleTest,2,1784,0,127
EqualsBuilderTest,2,1784,0,996
HashCodeBuilderAndEqualsBuilderTest,2,1784,0,164
HashCodeBuilderTest,2,1784,0,525
MultiLineToStringStyleTest,2,1784,0,128
NoFieldNamesToStringStyleTest,2,1784,0,127
ReflectionToStringBuilderExcludeTest,2,1784,0,125
ShortPrefixToStringStyleTest,2,1784,0,110
SimpleToStringStyleTest,2,1784,0,126
StandardToStringStyleTest,2,1784,0,142
ToStringBuilderTest,2,1784,0,972
ToStringStyleTest,2,1784,0,126
CharEncodingTest,2,1784,0,108
CharRangeTest,2,1784,0,373
CharSetTest,2,1784,0,469
CharSetUtilsTest,2,1784,0,277
CharUtilsPerfTest,2,1784,0,165
CharUtilsTest,2,1784,0,370
ClassUtilsTest,2,1784,0,559
EntitiesPerformanceTest,2,1784,0,218
EntitiesTest,2,1784,0,201
Broken1Enum,2,1784,0,53
Broken1OperationEnum,2,1784,0,86
Broken2Enum,2,1784,0,53
Broken2OperationEnum,2,1784,0,86
Broken3Enum,2,1784,0,53
Broken3OperationEnum,2,1784,0,86
Broken4OperationEnum,2,1784,0,86
Broken5OperationEnum,2,1784,0,86
ColorEnum,2,1784,0,54
DummyEnum,2,1784,0,31
EnumTest,2,1784,0,551
EnumTestSuite,2,1784,0,57
EnumUtilsTest,2,1784,0,168
Extended1Enum,2,1784,0,55
Extended2Enum,2,1784,0,54
Extended3Enum,2,1784,0,54
NestBroken,2,1784,0,67
Nest,2,1784,0,63
NestLinked,2,1784,0,74
NestReferenced,2,1784,0,70
OperationEnum,2,1784,0,86
Broken1Enum,2,1784,0,53
Broken1OperationEnum,2,1784,0,86
Broken2Enum,2,1784,0,53
Broken2OperationEnum,2,1784,0,86
Broken3Enum,2,1784,0,53
Broken3OperationEnum,2,1784,0,86
Broken4OperationEnum,2,1784,0,86
Broken5OperationEnum,2,1784,0,86
ColorEnum,2,1784,0,54
DummyEnum,2,1784,0,31
EnumEqualsTest,2,1784,0,150
EnumTest,2,1784,0,549
EnumTestSuite,2,1784,0,58
EnumUtilsTest,2,1784,0,168
Extended1Enum,2,1784,0,55
Extended2Enum,2,1784,0,54
Extended3Enum,2,1784,0,54
NestBroken,2,1784,0,67
Nest,2,1784,0,63
NestLinked,2,1784,0,74
NestReferenced,2,1784,0,70
OperationEnum,2,1784,0,86
ValuedColorEnum,2,1784,0,58
ValuedEnumTest,2,1784,0,242
ValuedLanguageEnum,2,1784,0,57
ValuedColorEnum,2,1784,0,58
ValuedEnumTest,2,1784,0,136
AbstractNestableTestCase,2,1784,0,681
ExceptionTestSuite,2,1784,0,57
ExceptionUtilsTestCase,2,1784,0,600
NestableDelegateTestCase,2,1784,0,1185
NestableErrorTestCase,2,1784,0,268
NestableExceptionTestCase,2,1784,0,367
NestableRuntimeExceptionTestCase,2,1784,0,310
IllegalClassExceptionTest,2,1784,0,118
IncompleteArgumentExceptionTest,2,1784,0,94
IntHashMapTest,2,1784,0,142
LangTestSuite,2,1784,0,89
LocaleUtilsTest,2,1784,0,489
AbstractRangeTest,2,1784,0,359
DoubleRangeTest,2,1784,0,173
FloatRangeTest,2,1784,0,173
FractionTest,2,1784,0,1343
IntRangeTest,2,1784,0,165
LongRangeTest,2,1784,0,153
MathTestSuite,2,1784,0,62
NumberRangeTest,2,1784,0,166
NumberUtilsTest,2,1784,0,1124
RandomUtilsTest,2,1784,0,341
RangeTest,2,1784,0,125
MutableBooleanTest,2,1784,0,149
MutableByteTest,2,1784,0,198
MutableDoubleTest,2,1784,0,209
MutableFloatTest,2,1784,0,209
MutableIntTest,2,1784,0,208
MutableLongTest,2,1784,0,202
MutableObjectTest,2,1784,0,106
MutableShortTest,2,1784,0,198
MutableTestSuite,2,1784,0,53
NotImplementedExceptionTest,2,1784,0,200
NullArgumentExceptionTest,2,1784,0,66
NumberRangeTest,2,1784,0,245
NumberUtilsTest,2,1784,0,524
ObjectUtilsTest,2,1784,0,179
RandomStringUtilsTest,2,1784,0,351
SerializationUtilsTest,2,1784,0,394
StringEscapeUtilsTest,2,1784,0,330
StringUtilsEqualsIndexOfTest,2,1784,0,512
StringUtilsIsTest,2,1784,0,187
StringUtilsSubstringTest,2,1784,0,292
StringUtilsTest,2,1784,0,1538
StringUtilsTrimEmptyTest,2,1784,0,292
SystemUtilsTest,2,1784,0,547
CompositeFormatTest,2,1784,0,110
StrBuilderAppendInsertTest,2,1784,0,1037
StrBuilderTest,2,1784,0,1731
StrLookupTest,2,1784,0,100
StrMatcherTest,2,1784,0,230
StrSubstitutorTest,2,1784,0,517
StrTokenizerTest,2,1784,0,845
TextTestSuite,2,1784,0,62
DateFormatUtilsTest,2,1784,0,214
DateUtilsTest,2,1784,0,1127
DurationFormatUtilsTest,2,1784,0,421
FastDateFormatTest,2,1784,0,281
StopWatchTest,2,1784,0,197
TimeTestSuite,2,1784,0,59
UnhandledExceptionTest,2,1784,0,73
ValidateTest,2,1784,0,413
WordUtilsTest,2,1784,0,366
ArrayUtils,9,1035,91,4499
BitField,3,1035,1,291
BooleanUtils,3,1035,2,947
CompareToBuilder,4,1035,7,1053
EqualsBuilder,4,1035,8,851
HashCodeBuilder,3,1035,1,986
IDKey,3,1035,1,76
ReflectionToStringBuilder,3,1035,3,710
StandardToStringStyle,3,1035,1,564
ToStringBuilder,3,1035,2,1070
ToStringStyle,3,1035,4,2268
CharEncoding,3,1035,1,154
CharRange,3,1035,1,242
CharSet,3,1035,1,300
CharSetUtils,3,1035,1,304
CharUtils,3,1035,1,561
ClassUtils,3,1035,1,1038
BackgroundInitializer,3,1035,1,332
CallableBackgroundInitializer,3,1035,1,126
ConcurrentException,3,1035,1,71
ConcurrentUtils,3,1035,1,173
LazyInitializer,3,1035,1,117
MultiBackgroundInitializer,3,1035,1,341
EnumUtils,3,1035,1,103
ContextedException,4,1035,3,194
ContextedRuntimeException,4,1035,3,195
DefaultExceptionContext,3,1035,2,125
ExceptionContext,3,1035,1,69
ExceptionUtils,12,1035,40,1042
LocaleUtils,3,1035,1,319
Fraction,3,1035,1,953
IEEE754rUtils,3,1035,1,267
NumberUtils,4,1035,11,1419
MutableBoolean,3,1035,1,190
MutableByte,3,1035,1,282
MutableDouble,3,1035,1,311
MutableFloat,3,1035,1,312
MutableInt,3,1035,1,272
Mutable,3,1035,1,56
MutableLong,3,1035,1,272
MutableObject,3,1035,1,117
MutableShort,3,1035,1,282
ObjectUtils,3,1035,1,355
RandomStringUtils,3,1035,1,326
Range,7,1035,24,386
ConstructorUtils,3,1035,3,344
FieldUtils,3,1035,2,601
MemberUtils,3,1035,4,225
MethodUtils,3,1035,3,680
TypeUtils,3,1035,2,127
SerializationException,3,1035,1,79
SerializationUtils,3,1035,1,196
StringEscapeUtils,3,1035,2,451
StringUtils,8,1035,285,6058
SystemUtils,3,1035,1,1365
CompositeFormat,3,1035,1,119
ExtendedMessageFormat,3,1035,2,484
FormatFactory,3,1035,1,45
StrBuilder,5,1035,19,2858
StrLookup,4,1035,12,174
StrMatcher,3,1035,1,436
StrSubstitutor,3,1035,1,831
StrTokenizer,3,1035,2,1109
AggregateTranslator,3,1035,2,62
CharSequenceTranslator,3,1035,1,133
CodePointTranslator,3,1035,1,57
EntityArrays,3,1035,1,380
LookupTranslator,3,1035,1,80
NumericEntityEscaper,3,1035,1,82
NumericEntityUnescaper,3,1035,1,70
UnicodeEscaper,3,1035,1,94
UnicodeUnescaper,3,1035,1,92
DateFormatUtils,4,1035,2,322
DateUtils,5,1035,48,1773
DurationFormatUtils,4,1035,3,671
FastDateFormat,5,1035,4,1760
StopWatch,3,1035,1,382
Validate,5,1035,27,801
WordUtils,4,1035,1,648
ArrayUtils,82,3119,9189,9734
BitField,13,2603,71,397
BooleanUtils,35,3045,672,1224
CompareToBuilder,44,3191,1243,1876
EqualsBuilder,44,3196,642,1263
HashCodeBuilder,49,3197,1254,1824
IDKey,5,1365,11,83
ReflectionToStringBuilder,46,2878,1247,1704
StandardToStringStyle,27,3181,389,849
ToStringBuilder,55,3181,1626,2555
ToStringStyle,56,3181,1991,3384
CalendarUtils,2,3039,0,505
CharacterEncoding,3,2347,2,152
CharEncoding,8,2281,57,207
CharRange,31,3279,300,505
CharSet,38,3279,447,599
CharSetUtils,46,3279,526,755
CharUtils,21,2469,206,762
ClassUtils,75,3116,1996,2485
BackgroundInitializer,4,1093,5,336
CallableBackgroundInitializer,3,1049,123,250
ConcurrentException,3,1172,1,70
ConcurrentUtils,4,1172,53,172
LazyInitializer,5,1180,24,137
MultiBackgroundInitializer,2,1092,0,340
DateUtils,2,3040,0,259
Entities,43,2939,1449,1866
Enum,49,3255,694,1032
EnumUtils,20,3255,101,243
Enum,24,2425,140,740
EnumUtils,9,2425,13,135
ValuedEnum,12,2425,67,254
EnumUtils,9,1374,80,128
ValuedEnum,25,3255,137,349
ContextedException,6,1194,89,273
ContextedRuntimeException,6,1194,117,255
DefaultExceptionContext,8,1194,52,181
ExceptionContext,7,1194,29,98
ExceptionUtils,69,3252,1749,1918
NestableDelegate,37,3279,501,847
NestableError,20,3222,128,328
NestableException,24,3279,193,534
Nestable,18,3279,135,325
NestableRuntimeException,22,3279,176,464
ClosureException,2,3107,0,107
Closure,2,3107,0,75
ClosureUtils,2,3107,0,689
ExecutorException,3,3102,2,109
Executor,3,3102,2,77
ExecutorUtils,4,3102,191,880
FactoryException,3,3107,2,109
Factory,3,3107,2,75
FactoryUtils,4,3107,19,431
PredicateException,3,3107,2,109
Predicate,3,3107,2,78
PredicateUtils,4,3107,48,1017
TransformerException,3,3107,2,109
Transformer,3,3107,2,79
TransformerUtils,5,3107,71,1021
HashCodeBuilder,2,3243,0,409
HashCodeUtils,3,3259,5,372
IDKey,3,1399,1,73
IllegalClassException,15,2915,100,194
IncompleteArgumentException,14,2915,74,168
Interpolation,4,2371,98,280
IntHashMap,14,2841,127,546
LocaleUtils,19,2030,222,415
DoubleRange,17,3033,93,528
FloatRange,17,3033,93,522
Fraction,30,3031,607,1342
IEEE754rUtils,4,1532,2,267
IntRange,20,3033,109,513
JVMRandom,20,2923,156,296
LongRange,21,3033,117,527
NumberRange,21,3033,77,343
NumberUtils,40,2852,1138,2037
RandomUtils,12,2950,163,297
Range,16,3033,71,541
MutableBoolean,18,1965,112,277
MutableByte,24,2387,425,495
MutableDouble,24,2387,445,509
MutableFloat,25,2387,431,496
MutableInteger,5,2387,33,98
MutableInt,20,2366,242,370
Mutable,11,2387,48,89
MutableLong,23,2387,353,417
MutableNumber,4,2387,41,126
MutableObject,16,2362,63,169
MutableShort,23,2387,365,429
NotifierException,4,3096,16,123
Notifier,6,3096,49,235
NotImplementedException,21,2915,342,424
NullArgumentException,15,2915,86,158
NumberRange,16,3279,95,336
NumberUtils,29,3279,442,978
ObjectUtils,48,3279,561,665
RandomStringUtils,38,3279,349,602
Range,11,1084,98,443
ConstructorUtils,11,1424,28,368
FieldUtils,13,1424,39,644
MemberUtils,6,1424,13,233
MethodUtils,25,1424,33,880
ReflectionException,4,3116,18,125
ReflectionUtils,12,3116,158,494
TypeUtils,2,1074,0,125
SerializationException,16,3279,64,173
SerializationUtils,22,3279,123,317
StringEscapeUtils,73,2953,1362,1862
StringPrintWriter,9,2953,45,133
StringUtils,207,3279,9763,11372
SystemUtils,54,3230,2581,2784
ChoiceMetaFormat,4,1596,5,77
CompositeFormat,13,1918,81,163
DateMetaFormat,4,1596,3,60
DateMetaFormatSupport,4,1596,25,256
DefaultMetaFormatFactory,4,1596,29,143
ExtendedMessageFormat,24,1596,565,909
FormatFactory,5,1492,22,46
Interpolation,8,2317,18,188
MappedMessageFormat,10,2319,45,178
MetaFormatSupport,4,1596,17,148
MultiFormat,3,1597,20,179
NameKeyedMetaFormat,5,1596,10,173
NumberMetaFormat,5,1596,49,182
StrBuilder,64,2258,1856,3302
StrLookup,6,1837,20,180
StrMatcher,12,2037,47,452
StrSubstitutor,11,1852,233,962
StrTokenizer,49,2279,776,1981
TimeMetaFormat,4,1596,11,81
AggregateTranslator,7,1250,11,64
CharSequenceTranslator,6,1250,19,136
CodePointTranslator,5,1250,4,56
EntityArrays,6,1250,34,391
EscapeLowAsciiAsUnicode,2,1250,0,69
EscapeNonAsciiAsNumericEntity,2,1250,0,44
EscapeNonAsciiAsUnicode,2,1250,0,44
EscapeUtils,12,1250,80,188
LookupTranslator,7,1250,43,95
NumericEntityEscaper,6,1239,19,94
NumericEntityUnescaper,4,1250,4,70
UnescapeUtils,8,1250,54,155
UnicodeEscaper,9,1250,61,108
UnicodeUnescaper,12,1250,49,112
VariableFormat,2,2110,0,518
VariableFormatter,20,2103,1188,1706
CalendarUtils,4,3035,7,512
DateFormatUtils,19,2870,184,481
DateUtils,63,3035,2192,2451
DurationFormatUtils,50,2870,1229,1396
FastDateFormat,46,3009,2478,3657
StopWatch,28,3024,412,651
Tokenizer,11,2527,403,1281
UnhandledException,14,2915,79,154
BitField,9,3037,104,444
IdentifierFactory,5,2912,19,92
IdentifierUtils,10,3017,158,749
LongIdentifierFactory,5,2912,19,92
StringIdentifierFactory,5,2912,19,92
Validate,5,3014,126,603
Validate,35,2603,1278,1800
WordUtils,33,2615,594,847
WordWrapUtils,11,2934,94,364
AnnotationUtils,20,711,405,191
ArrayUtils,28,980,2245,927
BitField,3,980,11,18
BooleanUtils,21,980,515,378
Builder,4,858,2,2
CompareToBuilder,10,980,30,59
EqualsBuilder,16,980,212,118
HashCodeBuilder,18,980,195,219
IDKey,3,980,2,3
ReflectionToStringBuilder,9,980,102,118
StandardToStringStyle,3,980,40,43
ToStringBuilder,4,980,55,44
ToStringStyle,9,980,132,125
CharEncoding,4,980,48,96
CharRange,12,980,142,27
CharSequenceUtils,18,450,47,46
CharSet,10,980,29,50
CharSetUtils,9,980,49,135
CharUtils,9,980,28,49
ClassUtils,20,980,265,167
ComparableComparator,4,185,2,131
ComparatorChain,7,184,24,371
ComparatorUtils,8,130,2,203
FixedOrderComparator,5,183,3,250
NullComparator,4,182,1,183
ReverseComparator,4,181,1,127
UnmodifiableIterator,2,102,0,61
AtomicInitializer,3,846,1,1
AtomicSafeInitializer,4,690,3,1
BackgroundInitializer,3,980,3,1
BasicThreadFactory,4,904,6,4
CallableBackgroundInitializer,2,980,1,0
ConcurrentException,3,980,1,1
ConcurrentInitializer,4,846,2,2
ConcurrentRuntimeException,3,857,1,1
ConcurrentUtils,8,980,218,4
ConstantInitializer,5,686,3,3
LazyInitializer,4,980,7,4
MultiBackgroundInitializer,4,980,13,1
TimedSemaphore,3,974,3,2
EnumUtils,11,980,174,68
AbstractEventSupport,2,806,0,157
EventListenerSupport,16,792,442,271
EventSupport,2,806,0,53
EventUtils,12,792,182,154
ReflectiveEventSupport,2,806,0,148
CloneFailedException,2,911,0,1
ContextedException,8,980,159,104
ContextedRuntimeException,9,980,162,107
DefaultExceptionContext,10,980,138,103
ExceptionContext,6,980,100,65
ExceptionUtils,10,980,15,33
ImmutablePair,9,549,58,147
JavaVersion,10,637,128,42
LocaleUtils,5,980,66,87
Fraction,6,980,29,22
IEEE754rUtils,2,980,0,1
NumberUtils,16,980,60,62
MutableBoolean,4,980,5,1
MutableByte,4,980,3,1
MutableDouble,7,980,8,6
MutableFloat,7,980,7,5
MutableInt,6,980,5,3
Mutable,3,980,1,2
MutableLong,6,980,5,3
MutableObject,6,980,32,22
MutableShort,6,980,5,3
MutablePair,8,549,65,177
ObjectUtils,27,980,444,190
Pair,18,903,182,276
RandomStringUtils,9,980,32,35
Range,20,980,411,285
