ClassName,Changes,TotalCommits,Insertions,Deletions
AbstractDifferenceDerivative,6,1048,35,72
BackwardDifferenceDerivative,6,1048,35,72
CenterDifferenceDerivative,6,1048,35,72
ForwardDifferenceDerivative,6,1048,35,72
DerivativeOperatorFactory,4,1050,30,20
DerivativeOperatorFactoryTest,5,1050,30,20
FunctionOperator,2,1050,13,3
UnivariateRealFunctionProxy,6,1048,35,72
UnivariateRealFunctionUtils,6,1048,35,72
UnivariateRealFunctionUtilsTest,6,1048,35,72
Compilable,6,1050,33,70
DefaultContext,7,1050,36,73
EvaluationContext,6,1050,33,70
EvaluationException,7,1050,35,70
Evaluation,6,1050,33,70
Add,6,1050,34,73
Divide,6,1050,34,73
Equals,6,1050,34,73
Multiply,6,1050,34,73
Power,6,1050,34,73
Sqrt,6,1050,34,73
Subtract,6,1050,34,73
Variable,6,1050,34,73
CholeskySolver,5,1047,31,68
CholeskySolverTest,5,1047,31,68
Decomposer,6,1050,31,21
DecompositionFactory,5,1050,30,20
Decomposition,5,1050,30,20
RealVector,4,1050,29,19
BeanListUnivariateImpl,4,834,8,7
BeanListUnivariateImplTest,4,834,16,15
BeanTransformer,5,581,7,6
BeanTransformerTest,5,581,7,6
AbstractStoreUnivariate,4,1261,231,483
BisectionSolver,24,1078,103,135
BrentSolver,31,1078,242,175
ConvergenceException,7,1078,0,97
CubicSplineFunction,14,1078,30,192
DifferentiableUnivariateRealFunction,4,948,11,10
DividedDifferenceInterpolator,8,486,141,134
LaguerreSolver,7,486,369,360
MullerSolver,6,486,297,292
NevilleInterpolator,5,486,62,60
NewtonSolver,11,930,81,59
PolynomialFunction,16,1071,191,219
PolynomialFunctionLagrangeForm,6,486,312,304
PolynomialFunctionNewtonForm,6,486,230,226
PolynomialSplineFunction,17,950,140,92
QuinticFunction,4,1078,0,88
RiddersSolver,5,486,167,167
RombergIntegrator,7,489,123,121
RootFinding,7,1078,0,128
SecantSolver,23,1078,115,121
SimpsonIntegrator,7,489,122,120
SinFunction,4,1078,0,93
SplineInterpolator,23,1078,154,200
TrapezoidIntegrator,7,489,154,152
UnivariateFunction,5,1078,0,66
UnivariateRealFunction,16,1078,35,100
UnivariateRealIntegratorImpl,4,489,261,259
UnivariateRealIntegrator,5,489,170,168
UnivariateRealInterpolator,13,1078,30,67
UnivariateRealSolverFactoryImpl,16,1078,56,85
UnivariateRealSolverFactory,22,1078,72,100
UnivariateRealSolverImpl,19,1078,164,104
UnivariateRealSolver,18,1078,110,130
UnivariateRealSolverUtil,5,1078,0,110
UnivariateRealSolverUtils,15,1078,207,145
ArgumentOutsideDomainException,6,399,40,17
BeanListUnivariateImpl,2,1228,0,139
BivariateRegression,2,1233,0,439
BrentSolver,2,1175,0,173
ComplexFormat,17,1016,596,168
Complex,20,1078,850,228
ComplexMath,10,1078,100,364
ComplexUtils,9,707,371,578
ContinuedFraction,4,1192,29,229
ContractableDoubleArray,7,1260,294,535
ConvergenceException,22,1078,118,145
DimensionMismatchException,4,385,4,2
AbstractContinuousDistribution,30,1078,140,166
AbstractDiscreteDistribution,19,1078,77,237
AbstractDistribution,6,601,12,11
AbstractIntegerDistribution,6,601,37,8
BinomialDistributionImpl,25,1078,119,123
BinomialDistribution,15,1078,38,76
CauchyDistributionImpl,10,566,297,295
CauchyDistribution,8,566,90,90
ChiSquaredDistributionImpl,25,1078,102,93
ChiSquaredDistribution,17,1078,36,74
ContinuousDistribution,19,1078,58,105
DiscreteDistribution,19,1078,90,145
DistributionFactoryImpl,28,1078,140,295
DistributionFactory,34,1078,173,340
Distribution,4,601,9,8
ExponentialDistributionImpl,24,1078,125,104
ExponentialDistribution,15,1078,37,74
FDistributionImpl,24,1078,87,97
FDistribution,16,1078,36,74
GammaDistributionImpl,27,1078,86,98
GammaDistribution,18,1078,37,75
HypergeometricDistributionImpl,22,1078,184,157
HypergeometricDistribution,14,1078,38,76
IntegerDistribution,5,601,10,9
NormalDistributionImpl,20,877,160,117
NormalDistribution,13,877,34,35
PascalDistributionImpl,6,450,57,64
PascalDistribution,5,451,18,11
PoissonDistributionImpl,9,601,45,17
PoissonDistribution,4,601,9,8
TDistributionImpl,24,1078,91,105
TDistribution,15,1078,36,74
WeibullDistributionImpl,8,560,192,190
WeibullDistribution,6,560,73,74
DoubleArray,5,1257,96,219
DuplicateSampleAbscissaException,4,400,4,2
EmpiricalDistributionImpl,5,1243,16,295
EmpiricalDistribution,5,1243,8,188
AbstractEstimator,8,172,45,18
EstimatedParameter,6,386,23,22
EstimationException,6,386,28,34
EstimationProblem,5,386,31,27
Estimator,6,386,57,32
GaussNewtonEstimator,9,386,180,232
LevenbergMarquardtEstimator,10,386,98,198
SimpleEstimationProblem,8,287,48,12
WeightedMeasurement,7,386,58,34
ExpandableDoubleArray,12,1264,541,821
FixedDoubleArray,5,1255,313,512
FractionConversionException,7,401,58,23
FractionFormat,9,568,406,403
Fraction,17,568,830,624
ProperFractionFormat,8,568,262,240
Freq,3,1268,1,180
FunctionEvaluationException,12,706,74,56
Chromosome,2,57,1,0
ChromosomePair,3,57,59,58
CrossoverPolicy,3,57,33,32
Fitness,2,57,20,20
GeneticAlgorithm,3,57,182,181
MutationPolicy,3,57,31,30
Population,3,57,53,52
SelectionPolicy,3,57,30,29
StoppingCondition,2,57,1,0
CardanEulerSingularityException,5,383,21,21
NotARotationMatrixException,6,383,25,23
Rotation,11,383,298,258
RotationOrder,5,383,32,33
Vector3D,11,383,95,62
BigMatrixImpl,28,812,1946,1535
BigMatrix,14,812,549,522
InvalidMatrixException,11,1021,85,108
MatrixIndexException,13,1021,88,118
MatrixUtils,9,620,280,53
QRDecompositionImpl,5,438,16,9
QRDecomposition,4,438,14,7
RealMatrixImpl,53,1078,2439,2036
RealMatrix,30,1078,262,253
ListUnivariateImpl,7,1261,202,322
MathConfigurationException,24,1078,95,122
MathException,31,1078,315,161
MathUtils,3,1208,174,435
MaxIterationsExceededException,7,402,42,18
MessagesResources_fr,12,403,83,46
AbstractStepInterpolator,10,384,59,490
AdaptiveStepsizeIntegrator,16,384,272,188
ClassicalRungeKuttaIntegrator,8,384,28,110
ClassicalRungeKuttaStepInterpolator,9,384,29,142
ContinuousOutputModel,11,384,90,92
DerivativeException,7,384,23,22
DormandPrince54Integrator,9,384,53,206
DormandPrince54StepInterpolator,10,384,55,252
DormandPrince853Integrator,9,384,101,359
DormandPrince853StepInterpolator,10,384,194,607
DummyStepHandler,8,384,27,119
DummyStepInterpolator,11,384,49,172
EmbeddedRungeKuttaIntegrator,7,233,27,412
EulerIntegrator,8,384,30,110
EulerStepInterpolator,8,384,27,124
CombinedEventsManager,1,4,0,0
EventException,1,4,0,0
EventHandler,1,4,0,0
EventState,1,4,0,0
FirstOrderConverter,7,384,40,27
FirstOrderDifferentialEquations,7,384,22,22
FirstOrderIntegratorFactoryImpl,2,366,0,278
FirstOrderIntegratorFactory,3,366,1,298
FirstOrderIntegrator,13,384,99,53
FixedStepHandler,5,384,19,76
GillIntegrator,8,384,30,112
GillStepInterpolator,9,384,29,148
GraggBulirschStoerIntegrator,13,384,94,1114
GraggBulirschStoerStepInterpolator,9,384,19,421
HighamHall54Integrator,9,384,42,181
HighamHall54StepInterpolator,10,384,27,123
IntegratorException,8,384,31,22
MidpointIntegrator,8,384,29,104
MidpointStepInterpolator,9,384,29,132
ClassicalRungeKuttaIntegrator,1,4,0,0
ClassicalRungeKuttaStepInterpolator,1,4,0,0
DormandPrince54Integrator,1,4,0,0
DormandPrince54StepInterpolator,1,4,0,0
DormandPrince853Integrator,1,4,0,0
DormandPrince853StepInterpolator,1,4,0,0
EmbeddedRungeKuttaIntegrator,1,4,0,0
EulerIntegrator,1,4,0,0
EulerStepInterpolator,1,4,0,0
GillIntegrator,1,4,0,0
GillStepInterpolator,1,4,0,0
GraggBulirschStoerIntegrator,1,4,0,0
GraggBulirschStoerStepInterpolator,1,4,0,0
HighamHall54Integrator,1,4,0,0
HighamHall54StepInterpolator,1,4,0,0
MidpointIntegrator,1,4,0,0
MidpointStepInterpolator,1,4,0,0
RungeKuttaIntegrator,1,4,0,0
RungeKuttaStepInterpolator,1,4,0,0
ThreeEighthesIntegrator,1,4,0,0
ThreeEighthesStepInterpolator,1,4,0,0
RungeKuttaFehlbergIntegrator,8,384,49,450
RungeKuttaIntegrator,18,384,178,457
RungeKuttaStepInterpolator,6,384,22,205
AbstractStepInterpolator,1,4,0,0
DummyStepHandler,1,4,0,0
DummyStepInterpolator,1,4,0,0
FixedStepHandler,1,4,0,0
StepHandler,1,4,0,0
StepInterpolator,1,4,0,0
StepNormalizer,1,4,0,0
SecondOrderDifferentialEquations,6,384,22,25
SecondOrderIntegrator,5,384,22,22
StepHandler,5,384,20,99
StepInterpolator,6,384,34,130
StepNormalizer,5,384,21,179
SwitchException,2,36,0,50
SwitchingFunction,8,384,33,184
SwitchingFunctionsHandler,13,384,111,301
SwitchState,10,384,106,373
ThreeEighthesIntegrator,8,384,28,108
ThreeEighthesStepInterpolator,9,384,30,143
ConvergenceChecker,4,382,20,21
CostException,4,382,21,21
CostFunction,4,382,22,20
DirectSearchOptimizer,15,382,107,103
MultiDirectional,6,382,27,24
NelderMead,6,382,30,27
PointCostPair,6,382,40,24
AbstractRandomGenerator,5,547,35,33
CorrelatedRandomVectorGenerator,6,377,41,30
RandomDataImpl,6,1253,233,678
RandomData,4,1253,180,394
EmpiricalDistributionImpl,39,1078,552,362
EmpiricalDistribution,27,1078,141,191
GaussianRandomGenerator,3,390,20,18
JDKRandomGenerator,5,547,13,9
NormalizedRandomGenerator,3,390,20,18
NotPositiveDefiniteMatrixException,3,390,21,18
RandomAdaptor,6,539,84,26
RandomDataImpl,26,1078,284,272
RandomData,15,1078,133,177
RandomGenerator,5,547,14,10
RandomVectorGenerator,5,390,21,21
UncorrelatedRandomVectorGenerator,5,390,25,20
UniformRandomGenerator,5,390,27,21
ValueServer,25,1078,204,207
RealMatrixImpl,5,1268,530,907
RealMatrix,5,1268,122,348
RootFinding,4,1230,68,205
SecantSolver,2,1175,0,121
Beta,25,1078,95,132
Erf,5,877,15,11
Gamma,27,1078,180,130
AbstractDescriptiveStatistics,6,1075,158,278
AbstractStorelessDescriptiveStatistics,3,1075,5,340
AbstractStoreUnivariate,16,1078,0,121
AbstractUnivariate,9,1078,0,335
Applyable,7,1078,0,75
BeanListUnivariateImpl,12,1078,0,131
