ClassName,Changes,TotalCommits,Insertions,Deletions
Argument,6,241,129,118
ArgumentBuilder,10,241,401,374
CommandBuilder,7,241,275,254
DefaultOptionBuilder,8,241,271,275
GroupBuilder,5,241,127,125
PatternBuilder,6,241,213,211
SwitchBuilder,9,241,255,237
CommandLineImpl,6,241,148,144
DefaultingCommandLine,7,241,202,192
CommandLine,6,241,294,275
Parser,13,241,257,228
PreferencesCommandLine,7,241,305,295
PropertiesCommandLine,7,241,273,263
WriteableCommandLineImpl,10,241,371,319
DisplaySetting,6,241,180,181
Group,5,241,75,74
HelpLine,5,241,61,60
ArgumentImpl,18,241,537,532
Command,8,241,223,228
DefaultOption,9,241,295,305
OptionException,8,241,149,151
GroupImpl,14,241,724,677
HelpLineImpl,5,241,128,127
Option,10,241,251,241
OptionImpl,9,241,287,230
ParentImpl,9,241,352,350
PropertyOption,8,241,220,219
SourceDestArgument,7,241,194,199
Switch,11,241,328,314
Parent,5,241,50,49
ResourceConstants,6,135,165,152
ResourceHelper,12,241,267,285
Comparators,7,241,506,529
HelpFormatter,12,241,847,813
ClassValidator,8,241,335,290
DateValidator,13,241,499,404
EnumValidator,11,241,189,155
FileValidator,8,241,423,324
InvalidArgumentException,5,241,47,43
NumberValidator,9,241,344,276
UrlValidator,8,241,195,142
Validator,6,241,67,59
WriteableCommandLine,8,241,127,90
AlreadySelectedException,9,350,38,117
AbstractParserControl,2,175,0,40
CLArgsParser,2,175,0,810
CLOptionDescriptor,2,175,0,226
CLOption,2,175,0,173
CLUtil,2,175,0,118
ParserControl,2,175,0,36
Token,2,175,0,72
BasicParser,8,314,112,126
CLI2Converter,2,241,0,190
CommandLine,22,350,399,624
CommandLineParserFactory,5,339,22,117
CommandLineParser,10,347,103,190
GnuParser,16,346,543,713
HelpFormatter,19,350,1304,1641
MissingArgumentException,8,350,40,119
MissingOptionException,8,350,40,119
OptionBuilder,20,326,552,626
OptionGroup,13,350,109,313
Option,27,350,935,1238
Options,25,350,349,1034
OptionValidator,6,276,60,190
ParseException,8,350,37,116
Parser,21,314,540,696
PatternOptionBuilder,14,350,195,364
PosixParser,18,347,717,910
TypeHandler,12,350,206,402
UnrecognizedOptionException,8,350,38,118
Util,8,276,73,152
AntTest,4,241,205,204
CpTest,8,241,530,529
CvsTest,4,241,319,318
LsTest,6,241,275,274
Bug13886Test,4,241,96,95
Bug13935Test,4,241,67,66
Bug15046Test,4,241,89,88
Bug15648Test,4,241,67,66
Bug27575Test,5,241,49,48
Bug28005Test,6,241,98,98
Bug32533Test,6,187,60,61
BugCLI122Test,4,39,62,46
BugCLI126Test,2,1,20,3
BugCLI12Test,6,96,68,67
BugCLI145Test,1,7,0,0
BugCLI18Test,4,100,67,66
BugCLI80Test,4,94,74,73
BugLoopingOptionLookAlikeTest,8,176,197,175
ArgumentBuilderTest,5,132,523,520
DefaultOptionBuilderTest,6,241,304,303
CLITestCase,6,241,97,96
DefaultingCommandLineTest,10,241,284,264
CommandLineDefaultsTest,5,217,270,269
ParserTest,5,169,297,281
PreferencesCommandLineTest,7,241,187,131
PropertiesCommandLineTest,8,241,195,145
CommandLineTestCase,9,241,925,898
WriteableCommandLineImplTest,5,241,56,55
DocumentationTest,10,241,625,501
JDependTest,7,241,119,121
ArgumentTestCase,4,241,35,34
ArgumentTest,11,241,927,896
CommandTest,7,241,317,309
DefaultOptionTest,7,241,250,248
GroupTestCase,5,241,44,44
GroupTest,8,241,571,557
NestedGroupTest,5,187,201,208
OptionTestCase,4,241,62,61
ParentTestCase,4,241,33,32
ParentTest,7,241,804,799
PropertyOptionTest,8,241,265,264
SwitchTest,8,241,429,360
PrecedenceTest,8,241,437,440
ResourceHelperTest,5,129,183,180
ComparatorsTest,6,241,278,279
HelpFormatterTest,13,241,1132,930
ClassValidatorTest,7,241,273,272
DateValidatorTest,16,241,414,274
EnumValidatorTest,7,241,110,102
FileValidatorTest,12,241,420,306
NumberValidatorTest,7,241,262,240
ProtectedClass,5,241,32,30
TimeZoneTestSuite,4,162,53,52
UrlValidatorTest,7,241,168,130
WriteableCommandLineTestCase,8,241,122,123
ApplicationTest,11,346,99,160
ArgumentIsOptionTest,3,199,4,103
ClutilTestCase,2,175,0,1022
BugCLI18Test,2,100,0,42
BugsTest,24,318,530,596
BuildTest,5,350,23,189
CLI2ConverterTest,2,241,0,132
GnuParseTest,5,339,17,284
HelpFormatterExamples,4,350,36,142
LongOptionWithShort,2,199,0,113
OptionBuilderTest,5,326,27,178
OptionGroupTest,8,350,97,339
OptionsTest,6,275,30,174
ParseRequiredTest,8,350,32,142
ParseTest,8,350,63,370
PatternOptionBuilderTest,8,350,62,125
TestHelpFormatter,8,350,113,276
ValuesTest,11,350,206,336
ValueTest,9,350,369,501
