ClassName,Changes,TotalCommits,Insertions,Deletions
Expose,3,366,28,10
SerializedName,1,366,1,0
Since,2,366,2,1
Until,3,288,6,3
AnonymousAndLocalClassExclusionStrategy,3,260,4,4
Cache,1,105,0,0
CamelCaseSeparatorNamingPolicy,2,366,5,3
CircularReferenceException,2,159,2,3
CompositionFieldNamingPolicy,1,366,2,1
DefaultTypeAdapters,41,366,836,359
DelegatingJsonElementVisitor,1,366,23,17
DisjunctionExclusionStrategy,2,366,2,17
Escaper,10,366,101,87
ExclusionStrategy,5,366,75,26
ExposeAnnotationBasedExclusionStrategy,2,366,22,59
ExposeAnnotationDeserializationExclusionStrategy,2,156,2,4
ExposeAnnotationSerializationExclusionStrategy,2,156,2,4
FieldAttributes,12,139,163,57
FieldNamingPolicy,6,366,40,5
FieldNamingStrategy2Adapter,3,107,2,1
FieldNamingStrategy2,3,107,2,3
FieldNamingStrategy,4,366,6,3
GenericArrayTypeImpl,1,366,4,5
GsonBuilder,36,366,418,205
Gson,40,366,443,281
InnerClassExclusionStrategy,3,366,14,10
InstanceCreator,1,366,1,0
JavaFieldNamingPolicy,3,366,5,4
JsonArrayDeserializationVisitor,11,366,32,54
JsonArray,7,366,28,7
JsonCompactFormatter,6,366,59,192
JsonDeserializationContextDefault,9,366,24,29
JsonDeserializationContext,1,366,1,0
JsonDeserializationVisitor,19,366,70,94
JsonDeserializerExceptionWrapper,1,366,5,0
JsonElement,7,366,69,23
JsonElementVisitor,1,366,19,14
JsonEscapingVisitor,4,366,16,78
JsonFieldNameValidator,4,366,6,18
JsonFormatter,2,366,3,40
JsonIOException,2,31,2,0
JsonNull,9,366,67,27
JsonObjectDeserializationVisitor,15,366,76,91
JsonObject,16,366,126,74
JsonParseException,2,366,2,1
JsonParserAsync,3,196,27,104
JsonParserConstants,7,366,216,267
JsonParserImplConstants,5,233,50,118
JsonParserImpl,4,233,175,843
JsonParserImplTokenManager,5,233,421,1593
JsonParser,22,366,1873,2299
JsonParserJavaccConstants,4,209,1,102
JsonParserJavacc,5,209,161,865
JsonParserJavaccTokenManager,6,209,8,1234
JsonParserTokenManager,7,366,3530,4319
JsonPrimitiveDeserializationVisitor,5,366,5,100
JsonPrimitive,15,366,210,105
JsonPrintFormatter,12,366,128,363
JsonSerializationContextDefault,6,366,17,8
JsonSerializationContext,1,366,1,0
JsonSerializationVisitor,38,366,297,264
JsonSerializerExceptionWrapper,2,366,5,69
JsonStreamParser,9,155,82,60
JsonSyntaxException,2,16,2,0
JsonTreeNavigator,7,366,44,35
LongSerializationPolicy,1,245,0,0
LowerCamelCaseSeparatorNamingPolicy,2,366,2,2
LowerCaseNamingPolicy,3,366,7,4
LruCache,2,105,1,1
MappedObjectConstructor,7,366,18,15
MemoryRefStack,4,366,15,10
ModifierBasedExclusionStrategy,1,366,3,10
ModifyFirstLetterNamingPolicy,4,366,8,8
NullExclusionStrategy,1,366,1,2
ObjectNavigatorFactory,4,366,7,25
ObjectNavigator,23,366,172,205
ObjectTypePair,7,146,128,39
Pair,4,138,38,11
ParameterizedTypeHandlerMap,10,366,187,80
ParameterizedTypeImpl,1,366,10,11
ParseException,2,366,188,381
Preconditions,1,366,6,0
RecursiveFieldNamingPolicy,1,366,5,5
TypeToken,3,366,10,10
SerializedNameAnnotationInterceptingNamingPolicy,4,366,9,14
SimpleCharStream,2,366,469,909
JsonReader,6,55,6,13
JsonScope,2,55,1,0
JsonSyntaxException,2,20,0,29
JsonToken,2,55,1,0
JsonWriter,6,55,101,43
MalformedJsonException,1,11,0,0
Streams,4,46,11,8
StringUnmarshaller,3,345,3,74
SyntheticFieldExclusionStrategy,1,139,0,0
TestCharacters,2,255,0,12
Token,2,366,131,213
TokenMgrError,2,366,148,282
TypeAdapterNotRequired,1,366,0,53
TypeInfoArray,2,366,5,8
TypeInfoCollection,1,323,0,0
TypeInfoFactory,7,366,79,68
TypeInfo,1,366,0,8
TypeInfoMap,4,366,18,10
TypeUtils,4,366,10,6
UpperCamelCaseSeparatorNamingPolicy,2,83,1,1
UpperCaseNamingPolicy,3,366,4,3
VersionExclusionStrategy,2,366,36,26
CamelCaseSeparatorNamingPolicyTest,1,366,0,10
CommentsTest,1,51,0,0
TestTypes,7,366,110,37
DefaultMapJsonSerializerTest,2,366,5,5
DisjunctionExclusionStrategyTest,3,366,12,30
EscaperTest,5,366,69,21
ExposeAnnotationBasedExclusionStrategyTest,7,366,8,66
ExposeAnnotationDeserializationExclusionStrategyTest,3,156,12,12
ExposeAnnotationSerializationExclusionStrategyTest,3,156,12,12
FieldAttributesTest,5,139,13,8
FieldNamingStrategy2AdapterTest,1,104,0,0
ArrayTest,8,366,135,24
CircularReferenceTest,1,159,0,0
CollectionTest,13,366,166,31
ConcurrencyTest,8,332,57,16
CustomDeserializerTest,7,298,136,6
CustomSerializerTest,3,138,40,24
CustomTypeAdaptersTest,19,366,395,27
DefaultTypeAdaptersTest,21,366,322,120
EnumTest,4,238,100,33
EscapingTest,3,366,36,2
ExclusionStrategyFunctionalTest,1,122,0,0
ExposeFieldsTest,5,366,79,32
FieldExclusionTest,2,260,22,11
InheritanceTest,3,167,62,24
InstanceCreatorTest,2,124,14,9
InterfaceTest,2,162,1,0
InternationalizationTest,2,366,3,5
JsonParserTest,4,229,54,7
JsonTreeTest,7,200,14,5
MapTest,22,329,280,22
NamingPolicyTest,12,366,120,29
NullObjectAndFieldTest,15,366,142,27
ObjectTest,27,366,311,377
ParameterizedTypesTest,10,366,77,20
PrettyPrintingTest,8,251,54,41
PrimitiveTest,19,366,482,210
PrintFormattingTest,2,366,30,2
ReadersWritersTest,5,366,55,22
SecurityTest,2,218,6,6
StringTest,6,348,76,45
TypeVariableTest,1,4,0,0
VersioningTest,3,366,65,2
FunctionalWithInternalDependenciesTest,3,366,14,149
FunctionWithInternalDependenciesTest,6,251,61,8
GsonTypeAdapterTest,1,366,1,1
InnerClassExclusionStrategyTest,3,260,10,10
JavaFieldNamingPolicyTest,2,366,3,5
JsonEscapingVisitorTest,2,366,6,186
JsonFieldNameValidatorTest,3,366,20,5
JsonObjectTest,7,303,105,27
JsonParserAsyncTest,4,196,14,33
JsonParserTest,8,233,78,10
JsonPrimitiveTest,4,300,104,1
JsonSerializerExceptionWrapperTest,1,366,0,86
JsonStreamParserTest,5,155,53,9
LongSerializationPolicyTest,1,245,0,0
LowerCamelCaseSeparatorNamingPolicyTest,1,366,6,0
