ClassName,Changes,TotalCommits,Insertions,Deletions
Base64Variant,5,336,209,22
Base64Variants,3,336,32,11
GeneratorBase,18,336,164,107
package-info,1,336,0,0
ParserBase,21,336,91,69
ParserMinimalBase,19,336,294,259
DataFormatDetector,4,336,37,2
DataFormatMatcher,3,336,14,7
InputAccessor,6,336,44,23
MatchStrength,2,336,0,2
package-info,2,336,0,2
FormatSchema,4,336,6,3
BaseReader,2,336,1,1
CharacterEscapes,4,336,6,6
CharTypes,6,336,70,45
InputDecorator,3,336,3,2
IOContext,4,336,85,67
JsonStringEncoder,9,336,33,44
MergedStream,1,336,0,0
NumberInput,5,336,41,25
NumberOutput,3,336,8,8
OutputDecorator,3,336,3,2
SegmentedStringWriter,4,336,5,7
SerializedString,6,336,198,32
UTF32Reader,2,336,44,40
UTF8Writer,2,336,25,25
ByteSourceJsonBootstrapper,7,336,17,22
CoreVersion,2,325,0,14
DupDetector,2,9,18,11
JsonEncoding,3,336,16,6
JsonFactory,30,336,985,353
JsonGenerationException,2,336,5,0
JsonGenerator,32,336,554,314
JsonGeneratorImpl,2,203,0,1
JsonReadContext,5,336,74,35
JsonWriteContext,5,336,65,35
JsonLocation,4,336,11,11
ModuleVersion,2,326,0,12
JsonNode,6,336,100,768
package-info,1,336,0,0
JsonParseException,6,336,8,3
JsonParser,32,336,486,288
JsonPointer,5,48,26,10
JsonProcessingException,4,336,62,12
ReaderBasedJsonParser,28,336,491,264
JsonStreamContext,2,336,0,10
JsonTokenId,2,13,58,1
JsonToken,9,336,122,71
UTF8JsonGenerator,18,336,419,312
UTF8StreamJsonParser,38,336,837,538
WriterBasedJsonGenerator,13,336,269,171
ObjectCodec,11,336,79,51
package-info,4,336,4,6
PrettyPrinter,4,336,21,10
SerializableString,6,336,136,34
BytesToNameCanonicalizer,12,336,495,266
CharsToNameCanonicalizer,11,336,283,134
Name1,2,336,1,1
Name2,1,336,0,0
Name3,1,336,0,0
Name,1,336,0,0
NameN,1,336,0,0
package-info,1,336,0,0
TreeCodec,1,40,0,0
TreeNode,11,305,232,15
JavaType,3,336,2,434
package-info,1,336,0,0
ResolvedType,1,333,0,0
TypeReference,5,336,13,12
BufferRecycler,4,336,12,4
ByteArrayBuilder,3,336,0,16
DefaultPrettyPrinter,12,336,272,88
Instantiatable,2,224,1,1
InternCache,3,336,41,21
JsonGeneratorDelegate,16,336,359,144
JsonParserDelegate,11,336,176,21
JsonParserSequence,3,336,1,3
MinimalPrettyPrinter,6,336,27,26
package-info,1,336,0,0
TextBuffer,6,336,76,66
TokenBuffer,2,336,0,1219
VersionUtil,15,336,318,181
Versioned,4,336,6,3
Version,7,336,67,16
CollGenerator,2,237,0,265
TestBase64Codec,1,89,0,0
TestBase64Generation,2,89,1,0
TestBase64Parsing,3,89,2,0
TestJsonParserBinary,2,88,2,0
TestJsonFormatDetection,1,332,0,0
TestCharTypes,2,82,0,2
TestIOContext,1,332,0,0
TestJDKSerializable,2,143,1,0
TestJsonStringEncoder,4,332,27,1
TestMergedStream,1,332,0,0
TestUTF8Writer,1,332,0,0
TestBase64Codec,3,332,2,60
TestBase64Generation,4,251,31,127
TestBase64Parsing,6,332,79,160
TestByteBasedSymbols,2,332,0,138
TestCharEscaping,2,89,8,2
TestComments,3,89,44,0
TestCustomEscaping,8,332,13,10
TestDecorators,3,332,6,5
TestGeneratorDupHandling,1,7,0,0
TestGeneratorWithSerializedString,1,89,0,0
TestJsonFactory,1,90,0,0
TestJsonGeneratorFeatures,3,90,22,0
TestJsonGenerator,3,90,73,2
TestJsonParserBinary,3,332,3,156
TestJsonParser,14,332,81,144
TestLocation,1,4,0,0
TestNextXxx,4,332,86,9
TestNumericValues,4,87,62,32
TestParserDupHandling,2,9,7,4
TestParserErrorHandling,2,74,35,1
TestParserNonStandard,6,332,65,9
TestParserOverrides,3,298,5,4
TestRootValueParsing,2,20,0,52
TestRootValues,1,3,0,0
TestUnicode,2,89,1,0
TestUtf8Generator,3,332,14,2
TestUtf8Parser,3,332,24,1
TestValueConversions,3,89,4,6
TestWithTonsaSymbols,1,89,0,0
TestArrayParsing,2,332,7,8
TestCharEscaping,4,332,3,148
TestComments,4,332,31,123
TestExceptions,2,202,0,17
TestGeneratorArray,3,332,5,4
TestGeneratorClosing,3,332,25,25
TestGeneratorCopy,2,332,6,6
TestGeneratorMisc,5,332,21,19
TestGeneratorObject,4,332,9,7
TestGeneratorWithSerializedString,3,332,4,99
TestJsonFactory,4,332,7,70
TestJsonGeneratorFeatures,3,332,4,135
TestJsonGenerator,3,332,9,237
TestJsonParserSymbols,3,332,5,108
TestNumberParsing,1,332,0,0
TestNumericValues,6,332,47,379
TestParserClosing,3,332,12,9
TestParserFeatures,4,332,23,18
TestParserLinefeeds,1,332,0,0
TestParserWithObjects,3,332,4,4
TestPrettyPrinter,6,332,145,16
TestRawStringWriting,3,332,6,4
TestScopeMatching,3,332,9,4
TestStringGeneration,2,332,6,6
TestUnicode,3,332,1,39
TestValueConversions,2,332,0,189
TestWithTonsaSymbols,4,332,5,117
TestExceptions,2,87,0,17
TestJDKSerializability,3,87,1,105
TestVersions,2,87,0,41
TestByteBasedSymbols,4,227,7,5
TestJsonParserSymbols,4,228,4,2
TestSymbolTables,7,240,82,27
TestExceptions,1,41,0,0
TestJDKSerializability,4,41,0,0
TestJsonFactory,3,99,0,28
TestJsonPointer,1,41,0,0
PackageVersion,3,162,11,20
TestSerializability,2,194,0,80
TestPackageVersion,2,162,0,14
TestVersions,14,41,0,1
TestCharTypes,1,332,0,0
TestDelegates,2,332,2,2
TestNumberPrinting,1,332,0,0
TestSerializedString,1,316,0,0
