ClassName,Changes,TotalCommits,Insertions,Deletions
Connection,7,45,289,13
DataUtil,8,199,125,165
Entities,2,67,0,2197
ListLinks,3,167,6,7
package-info,1,167,0,0
DataUtil,6,44,34,14
HttpConnection,15,45,394,125
StringUtil,2,53,27,0
Validate,2,53,2,2
Jsoup,19,283,282,99
Attribute,15,295,101,16
Attributes,18,298,263,64
Comment,14,298,45,20
DataNode,10,265,39,14
Document,24,298,336,65
Element,62,298,1228,247
Entities,11,66,79,69
Evaluator,10,214,136,14
Node,38,298,480,105
package-info,1,183,0,0
TextNode,24,298,189,56
XmlDeclaration,9,282,39,13
package-info,1,183,0,0
AttributeParser,3,298,77,92
package-info,1,183,0,0
Parser,47,298,591,343
ParserRuntimeException,3,301,12,20
Position,3,301,77,85
StartTag,4,298,19,44
Tag,35,299,432,189
Token,5,301,140,148
TokenQueue,24,281,392,140
TokenStream,4,301,158,166
Cleaner,11,241,140,16
package-info,1,183,0,0
Whitelist,8,241,334,31
Collector,8,280,38,15
ElementList,4,276,8,76
Elements,20,273,410,31
Evaluator,5,280,60,133
NodeTraversor,1,95,0,0
NodeVisitor,1,95,0,0
package-info,1,183,0,0
Selector,31,276,495,194
DataUtilTest,2,86,0,15
EntitiesTest,2,67,0,18
DataUtilTest,2,44,6,0
HttpConnectionTest,3,27,87,2
StringUtilTest,2,53,18,0
Benchmark,1,216,0,0
ParseTest,15,258,192,85
UrlConnectTest,6,188,85,9
AttributesTest,2,40,3,9
AttributeTest,1,30,0,0
DocumentTest,6,261,39,3
ElementTest,34,288,423,39
EntitiesTest,5,66,23,7
NodeTest,7,259,43,7
TextNodeTest,4,152,27,5
CleanerTest,10,239,92,118
AttributeParserTest,2,295,0,52
AttributeParseTest,3,282,5,5
ParserTest,45,298,431,55
TagTest,2,299,2,2
TokenQueueTest,4,104,34,0
TokenStreamTest,4,301,15,23
TokenTest,2,298,0,78
CleanerTest,2,118,1,1
ElementListTest,3,274,1,22
ElementsTest,18,272,823,667
SelectorTest,32,276,506,26
TextUtil,2,190,1,1
