ClassName,Changes,TotalCommits,Insertions,Deletions
AbstractDifferenceDerivative,7,4367,35,118
BackwardDifferenceDerivative,7,4367,35,123
CenterDifferenceDerivative,7,4367,35,124
ForwardDifferenceDerivative,7,4367,35,123
DerivativeOperatorFactory,5,4369,30,54
DerivativeOperatorFactoryTest,6,4369,30,66
FunctionOperator,3,4369,13,36
UnivariateRealFunctionProxy,7,4367,35,123
UnivariateRealFunctionUtils,7,4367,35,120
UnivariateRealFunctionUtilsTest,8,4367,37,139
Compilable,7,4369,33,100
DefaultContext,8,4369,36,293
EvaluationContext,7,4369,33,121
EvaluationException,8,4369,35,132
Evaluation,7,4369,33,100
Add,7,4369,34,128
Divide,7,4369,34,127
Equals,7,4369,34,125
Multiply,7,4369,34,125
Power,7,4369,34,129
Sqrt,7,4369,34,124
Subtract,7,4369,34,125
Variable,7,4369,34,110
CholeskySolver,7,4366,34,291
CholeskySolverTest,7,4366,41,370
Decomposer,7,4369,31,50
DecompositionFactory,6,4369,30,64
Decomposition,6,4369,30,57
RealVector,5,4369,29,42
RecursiveLayoutRealMatrix,4,3057,47,2125
RecursiveLayoutRealMatrixTest,2,3057,0,1242
BeanListUnivariateImpl,5,4153,8,156
BeanListUnivariateImplTest,5,4153,16,243
BeanTransformer,6,3900,7,99
BeanTransformerTest,6,3900,7,100
AbstractStoreUnivariate,4,4580,231,483
BisectionSolver,26,4397,134,272
BrentSolver,33,4397,281,479
ConvergenceException,7,4397,0,97
CubicSplineFunction,14,4397,30,192
DifferentiableMultivariateRealFunction,2,3021,0,51
DifferentiableMultivariateVectorialFunction,3,3021,0,74
DifferentiableUnivariateMatrixFunction,2,3021,0,35
DifferentiableUnivariateRealFunction,5,4267,11,44
DifferentiableUnivariateVectorialFunction,2,3021,0,35
DividedDifferenceInterpolator,9,3805,141,260
LegendreGaussIntegrator,4,3091,1,239
RombergIntegrator,7,3103,40,151
SimpsonIntegrator,7,3103,38,148
TrapezoidIntegrator,7,3103,41,182
UnivariateRealIntegratorImpl,6,3103,52,311
UnivariateRealIntegrator,5,3103,24,180
DividedDifferenceInterpolator,3,3103,3,132
LoessInterpolator,3,2784,4,388
NevilleInterpolator,3,3103,4,61
SplineInterpolator,4,3103,9,131
UnivariateRealInterpolator,2,3103,0,39
LaguerreSolver,9,3805,429,748
BrentMinimizer,3,3100,3,207
UnivariateRealMinimizerImpl,4,3100,2,136
UnivariateRealMinimizer,3,3100,0,118
MullerSolver,9,3805,372,649
MultivariateMatrixFunction,3,3021,1,42
MultivariateRealFunction,3,3021,1,42
MultivariateVectorialFunction,3,3021,1,42
NevilleInterpolator,6,3805,62,115
NewtonSolver,14,4249,148,240
PolynomialFunction,17,4390,191,384
PolynomialFunctionLagrangeForm,8,3805,321,611
PolynomialFunctionNewtonForm,7,3805,230,444
PolynomialSplineFunction,18,4269,140,318
PolynomialFunction,8,3103,205,373
PolynomialFunctionLagrangeForm,5,3103,9,315
PolynomialFunctionNewtonForm,4,3103,7,227
PolynomialSplineFunction,4,3103,10,238
PolynomialsUtils,3,3070,46,326
QuinticFunction,4,4397,0,88
RiddersSolver,7,3805,205,363
RombergIntegrator,8,3808,123,231
RootFinding,7,4397,0,128
SecantSolver,25,4397,151,314
SimpsonIntegrator,8,3808,122,229
SinFunction,4,4397,0,93
BisectionSolver,5,3103,5,117
BrentSolver,4,3103,8,321
LaguerreSolver,8,3103,13,384
MullerSolver,6,3103,6,355
NewtonSolver,6,3103,6,146
RiddersSolver,5,3103,5,195
SecantSolver,5,3103,7,195
UnivariateRealSolverFactoryImpl,4,3103,6,65
UnivariateRealSolverFactory,3,3103,1,91
UnivariateRealSolverImpl,9,3103,76,479
UnivariateRealSolver,7,3103,19,281
UnivariateRealSolverUtils,7,3103,31,270
SplineInterpolator,24,4397,154,318
TrapezoidIntegrator,8,3808,154,292
UnivariateFunction,5,4397,0,66
UnivariateMatrixFunction,3,3021,1,39
UnivariateRealFunction,19,4397,39,139
UnivariateRealIntegratorImpl,6,3808,265,519
UnivariateRealIntegrator,6,3808,170,324
UnivariateRealInterpolator,14,4397,30,105
UnivariateRealSolverFactoryImpl,18,4397,71,189
UnivariateRealSolverFactory,24,4397,85,212
UnivariateRealSolverImpl,22,4397,201,482
UnivariateRealSolver,20,4397,156,382
UnivariateRealSolverUtil,5,4397,0,110
UnivariateRealSolverUtils,17,4397,210,386
UnivariateVectorialFunction,3,3021,1,39
ArgumentOutsideDomainException,8,3718,41,62
BeanListUnivariateImpl,2,4547,0,139
BivariateRegression,2,4552,0,439
BrentSolver,2,4494,0,173
ComplexField,4,2945,13,79
ComplexFormat,24,4335,643,758
Complex,33,4397,1065,1320
ComplexMath,10,4397,100,364
ComplexUtils,11,4026,375,650
ContinuedFraction,4,4511,29,229
ContractableDoubleArray,7,4579,294,535
ConvergenceException,25,4397,126,221
ConvergingAlgorithmImpl,4,3101,8,131
ConvergingAlgorithm,4,3101,17,138
DimensionMismatchException,6,3704,5,69
AbstractContinuousDistribution,37,4397,147,316
AbstractDiscreteDistribution,19,4397,77,237
AbstractDistribution,8,3920,16,81
AbstractIntegerDistribution,9,3920,47,239
BetaDistributionImpl,5,3259,20,252
BetaDistribution,3,3259,4,62
BinomialDistributionImpl,28,4397,128,321
BinomialDistribution,16,4397,38,132
CauchyDistributionImpl,13,3885,307,501
CauchyDistribution,9,3885,90,149
ChiSquaredDistributionImpl,28,4397,117,299
ChiSquaredDistribution,19,4397,44,126
ContinuousDistribution,20,4397,58,141
DiscreteDistribution,20,4397,90,180
DistributionFactoryImpl,28,4397,140,295
DistributionFactory,34,4397,173,340
Distribution,5,3920,9,63
ExponentialDistributionImpl,28,4397,149,297
ExponentialDistribution,17,4397,45,126
FDistributionImpl,28,4397,105,306
FDistribution,17,4397,36,130
GammaDistributionImpl,31,4397,109,331
GammaDistribution,20,4397,45,139
HasDensity,3,3263,2,39
HypergeometricDistributionImpl,25,4397,203,482
HypergeometricDistribution,15,4397,38,145
IntegerDistribution,6,3920,10,93
NormalDistributionImpl,25,4196,184,352
NormalDistribution,15,4196,42,97
PascalDistributionImpl,9,3769,67,258
PascalDistribution,6,3770,18,80
PoissonDistributionImpl,12,3920,52,208
PoissonDistribution,5,3920,9,69
TDistributionImpl,27,4397,99,270
TDistribution,16,4397,36,118
WeibullDistributionImpl,11,3879,206,377
WeibullDistribution,7,3879,73,136
ZipfDistributionImpl,5,3181,18,196
ZipfDistribution,3,3181,2,68
DoubleArray,5,4576,96,219
DuplicateSampleAbscissaException,6,3719,5,52
EmpiricalDistributionImpl,5,4562,16,295
EmpiricalDistribution,5,4562,8,188
AbstractEstimator,20,3030,1,315
EstimatedParameter,9,3030,0,126
EstimationException,10,3030,0,48
EstimationProblem,8,3030,0,67
Estimator,9,3030,0,93
GaussNewtonEstimator,24,3030,5,233
LevenbergMarquardtEstimator,16,3030,1,875
SimpleEstimationProblem,12,3030,3,114
WeightedMeasurement,11,3030,0,172
ExpandableDoubleArray,12,4583,541,821
FieldElement,3,2946,1,62
Field,3,2946,1,54
FixedDoubleArray,5,4574,313,512
AbstractFormat,5,3001,9,215
BigFractionField,4,2945,13,79
BigFractionFormat,3,3001,3,290
BigFraction,10,3004,188,1320
FractionConversionException,9,3720,60,82
FractionField,4,2945,13,79
FractionFormat,15,3887,489,875
Fraction,30,3887,1007,1345
ProperBigFractionFormat,3,3001,2,241
ProperFractionFormat,11,3887,269,477
Freq,3,4587,1,180
FunctionEvaluationException,16,4025,151,231
AbstractListChromosome,3,2795,1,105
BinaryChromosome,3,2795,1,93
BinaryMutation,3,2795,1,53
Chromosome,4,3376,86,115
ChromosomePair,5,3376,72,130
CrossoverPolicy,5,3376,35,67
ElitisticListPopulation,3,2795,1,109
Fitness,5,3376,37,57
FixedGenerationCount,3,2795,1,71
GeneticAlgorithm,10,3376,327,508
InvalidRepresentationException,3,2795,1,64
ListPopulation,3,2795,1,151
MutationPolicy,5,3376,33,63
OnePointCrossover,3,2795,1,118
PermutationChromosome,3,2795,1,45
Population,5,3376,57,109
RandomKey,4,2795,2,292
RandomKeyMutation,5,2795,3,59
SelectionPolicy,5,3376,33,62
StoppingCondition,4,3376,4,36
TournamentSelection,3,2795,1,115
CardanEulerSingularityException,8,3702,23,67
NotARotationMatrixException,8,3702,26,70
