ClassName,Changes,TotalCommits,Insertions,Deletions
Sha2CryptTest,2,338,0,13
Base32InputStream,2,564,0,84
Base32,2,564,0,473
Base32OutputStream,2,564,0,84
Base64InputStream,2,564,0,88
Base64,2,564,0,744
Base64OutputStream,2,564,0,88
BaseNCodecInputStream,2,564,0,134
BaseNCodec,2,564,0,444
BaseNCodecOutputStream,2,564,0,145
BinaryCodec,2,564,0,296
BinaryDecoder,2,564,0,42
BinaryEncoder,2,564,0,42
Hex,2,564,0,302
StringUtils,2,564,0,286
CharEncoding,2,564,0,126
DecoderException,2,564,0,89
Decoder,2,564,0,55
DigestUtils,2,564,0,582
EncoderException,2,564,0,90
Encoder,2,564,0,46
AbstractCaverphone,2,564,0,77
BeiderMorseEncoder,2,564,0,114
Lang,2,564,0,237
Languages,2,564,0,266
NameType,2,564,0,51
PhoneticEngine,2,564,0,428
ResourceConstants,2,564,0,33
Rule,2,564,0,613
RuleType,2,564,0,40
Caverphone1,2,564,0,125
Caverphone2,2,564,0,128
ColognePhonetic,2,564,0,419
DoubleMetaphone,2,564,0,1105
Metaphone,2,564,0,407
RefinedSoundex,2,564,0,202
Soundex,2,564,0,250
SoundexUtils,2,564,0,123
BCodec,2,564,0,211
QCodec,2,564,0,314
QuotedPrintableCodec,2,564,0,387
RFC1522Codec,2,564,0,178
URLCodec,2,564,0,349
Utils,2,564,0,49
StringDecoder,2,564,0,40
StringEncoderComparator,2,564,0,74
StringEncoder,2,564,0,40
Base64,9,1441,583,976
Base32InputStream,5,563,0,84
Base32,19,563,0,473
Base32OutputStream,6,563,0,84
Base64InputStream,19,563,0,88
Base64,87,563,0,744
Base64OutputStream,15,563,0,88
BasedCodecInputStream,2,791,0,127
BasedCodec,2,791,0,278
BasedCodecOutputStream,2,791,0,137
BaseNCodecInputStream,9,563,0,134
BaseNCodec,15,563,0,444
BaseNCodecOutputStream,10,563,0,145
BinaryCodec,16,563,0,296
Binary,9,1271,811,1356
BinaryDecoder,20,563,0,42
BinaryEncoder,20,563,0,42
Hex,38,563,0,302
StringBytesUtils,7,949,301,573
StringUtils,12,563,1,287
CharEncoding,6,563,1,127
DecoderException,24,563,0,89
Decoder,20,563,0,55
DigestUtils,25,563,0,582
EncoderException,25,563,0,90
Encoder,21,563,1,47
AbstractCaverphone,5,563,0,77
BeiderMorseEncoder,5,563,0,114
Lang,13,563,2,239
Languages,11,563,0,266
NameType,7,563,0,51
PhoneticEngine,25,563,2,430
ResourceConstants,5,563,0,33
Rule,28,563,2,615
RuleType,5,563,0,40
Caverphone1,5,563,0,125
Caverphone2,5,563,0,128
Caverphone,13,1046,64,247
ColognePhonetic,39,563,20,439
DoubleMetaphone,40,563,0,1105
Metaphone,39,563,0,407
RefinedSoundex,40,563,1,203
