ClassName,Changes,TotalCommits,Insertions,Deletions
Bzip2Compress,4,219,27,97
BZip2Example,0,0,0,0
Bzip2Uncompress,4,219,27,103
TarExample,0,0,0,0
ZipExample,0,0,0,0
AbstractArchive,0,0,0,0
AbstractCompressor,0,0,0,0
ArchiveEntry,0,0,0,0
ArchiveException,0,0,0,0
Archive,0,0,0,0
ArchiverFactory,0,0,0,0
TarArchive,0,0,0,0
TarBuffer,0,0,0,0
TarEntry,0,0,0,0
TarInputStream,0,0,0,0
TarOutputStream,0,0,0,0
TarUtils,0,0,0,0
AsiExtraField,0,0,0,0
ExtraFieldUtils,0,0,0,0
UnixStat,0,0,0,0
UnrecognizedExtraField,0,0,0,0
ZipArchive,0,0,0,0
ZipEntry,0,0,0,0
ZipExtraField,0,0,0,0
ZipLong,0,0,0,0
ZipOutputStream,0,0,0,0
ZipShort,0,0,0,0
BZip2Constants,4,255,29,173
CBZip2InputStream,6,255,45,1057
CBZip2OutputStream,4,255,29,2109
CRC,4,255,29,201
CompressException,0,0,0,0
CompressorFactory,0,0,0,0
Compressor,0,0,0,0
BZip2Compressor,0,0,0,0
BZip2Constants,0,0,0,0
BZip2InputStream,0,0,0,0
BZip2OutputStream,0,0,0,0
CRC,0,0,0,0
CompressUtils,0,0,0,0
PackableObjectException,0,0,0,0
PackableObject,0,0,0,0
TarBuffer,6,259,41,583
TarConstants,5,259,31,218
TarEntry,5,259,31,764
TarInputStream,6,259,39,549
TarOutputStream,5,259,31,500
TarUtils,5,259,31,309
UnpackException,0,0,0,0
AsiExtraField,5,259,31,482
ExtraFieldUtils,5,259,31,280
UnixStat,5,259,31,152
UnrecognizedExtraField,5,259,31,256
ZipEntry,5,259,31,527
ZipExtraField,5,259,31,164
ZipLong,5,259,31,196
ZipOutputStream,5,259,31,804
ZipShort,5,259,31,192
ArArchiveEntry,4,257,12,5
ArArchiveInputStream,7,257,146,128
ArArchiveOutputStream,8,257,143,153
ArchiveEntry,3,257,3,4
ArchiveException,1,257,0,0
ArchiveInputStream,3,257,4,3
ArchiveOutputStream,4,257,9,9
ArchiveStreamFactory,13,257,199,214
CpioArchiveEntry,5,128,138,68
CpioArchiveInputStream,8,128,117,135
CpioArchiveOutputStream,10,128,182,188
CpioConstants,1,128,0,0
CpioUtil,2,18,18,0
JarArchiveEntry,4,257,15,10
JarArchiveInputStream,11,257,70,92
JarArchiveOutputStream,11,257,33,23
TarArchiveEntry,7,257,414,460
TarArchiveInputStream,10,102,467,453
TarArchiveOutputStream,9,102,390,397
TarBuffer,3,257,286,339
TarConstants,3,257,34,26
TarInputStream,8,257,335,810
TarOutputStream,11,257,263,690
TarUtils,3,257,100,135
AbstractUnicodeExtraField,5,89,49,25
AsiExtraField,6,257,180,264
ExtraFieldUtils,8,257,153,174
FallbackZipEncoding,2,60,1,1
JarMarker,3,126,10,3
NioZipEncoding,2,60,1,1
Simple8BitZipEncoding,4,59,4,5
Simple8BitZipEnoding,2,60,0,261
UnicodeCommentExtraField,5,89,27,13
UnicodePathExtraField,5,89,23,10
UnixStat,3,257,0,17
UnrecognizedExtraField,7,257,97,100
ZipArchiveEntry,11,113,78,53
ZipArchiveInputStream,9,257,57,70
ZipArchiveOutputStream,28,111,341,353
ZipEncodingHelper,7,89,196,122
ZipEncoding,2,60,4,5
ZipEntry,7,257,260,718
ZipExtraField,6,257,16,15
ZipFile,19,126,248,162
ZipLong,7,257,109,81
ZipOutputStream,7,257,685,1416
ZipShort,7,257,92,73
ZipUtil,1,18,0,0
Change,5,257,85,15
ChangeSet,5,257,155,63
ChangeWorker,2,257,0,79
DeleteChange,3,257,17,54
BZip2CompressorInputStream,7,257,875,742
BZip2CompressorOutputStream,14,257,96,88
BZip2Constants,3,257,7,8
CRC,4,257,104,79
CompressorException,2,257,18,6
CompressorInputStream,4,257,7,7
CompressorOutputStream,5,257,7,8
CompressorStreamFactory,5,257,101,109
GzipCompressorInputStream,4,257,16,16
GzipCompressorOutputStream,4,257,26,26
CompressUtils,2,257,0,39
IOUtils,2,257,16,7
ReflectionUtils,2,257,0,34
AbstractTestCase,12,255,424,241
ArTestCase,2,255,4,4
CompressTestCase,0,0,0,0
CpioTestCase,1,128,0,0
JarArchiveOutputStreamTest,1,88,0,0
JarTestCase,5,255,39,16
MemoryArchiveEntry,2,257,5,0
MemoryArchiveInputStream,1,257,0,0
MemoryArchiveTestCase,2,257,18,0
TarArchiveEntryTest,4,26,7,2
TarTestCase,6,255,62,19
AsiExtraFieldTest,1,91,0,0
ExtraFieldUtilsTest,1,91,0,0
ZipTestCase,6,255,113,80
TestZipEncodings,1,60,0,0
UTF8ZipFilesTest,13,86,173,73
ZipArchiveEntryTest,3,91,84,4
ZipArchiveOutputStreamTest,3,91,1,78
ZipLongTest,1,91,0,0
ZipShortTest,1,91,0,0
ZipUtilTest,1,18,0,0
ChangeSetTestCase,10,257,1221,645
ChangeWorkerTest,3,257,18,82
BZip2TestCase,2,255,8,11
GZipTestCase,2,255,7,6
DetectArchiverTestCase,8,255,50,42
DetectCompressorTestCase,1,255,0,0
TarTestCase,0,0,0,0
TarTestSuite,3,219,16,48
AsiExtraFieldTestCase,0,0,0,0
ExtraFieldUtilsTestCase,0,0,0,0
ZipEntryTestCase,0,0,0,0
ZipLongTestCase,0,0,0,0
ZipShortTestCase,0,0,0,0
Bzip2Compress,5,254,31,144
Bzip2Uncompress,5,254,31,150
BzipTestCase,6,254,55,339
BzipTestCase,0,0,0,0
CompressUtilsTest,0,0,0,0
TarTestCase,7,259,92,398
TarTestSuite,5,259,87,110
AsiExtraFieldTestCase,6,259,91,256
ExtraFieldUtilsTestCase,6,259,89,202
ZipEntryTestCase,6,259,90,184
ZipLongTestCase,5,259,87,166
ZipShortTestCase,5,259,87,162
