ClassName,Changes,TotalCommits,Insertions,Deletions
CharBuffer,8,737,296,484
CSVParser,29,778,938,1701
CSVPrinter,11,778,509,867
CSVStrategy,14,758,201,288
CSVUtils,7,753,71,187
ExtendedBufferedReader,10,778,244,548
CSVConfigGuesser,6,768,237,424
CSVConfig,6,768,393,678
CSVField,5,768,136,247
CSVWriter,8,768,179,309
Assertions,4,83,19,2
CharBuffer,7,651,45,282
Constants,16,411,48,17
CSVFormat,168,641,3192,2502
CSVLexer,55,571,458,802
CSVParser,119,651,1245,1392
CSVPrinter,72,651,629,507
CSVRecord,44,567,376,236
CSVStrategy,5,651,120,311
CSVUtils,7,651,9,130
ExtendedBufferedReader,32,651,227,294
Lexer,53,105,31,30
package-info,9,460,29,27
Quote,6,369,5,4
Token,17,546,39,26
UnicodeUnescapeReader,6,613,20,103
CSVConfigGuesser,2,651,0,196
CSVConfig,4,651,28,375
CSVField,2,651,0,114
CSVWriter,2,651,0,144
AllTests,4,736,49,79
FormatTests,1,779,0,40
AssertionsTest,2,83,17,0
CharBufferTest,5,651,17,212
CSVFileParserTest,23,514,116,56
CSVFormatBuilderTest,16,310,167,319
CSVFormatTest,49,641,998,665
CSVLexer130663,2,482,0,226
CSVLexer1306663,14,478,40,266
CSVLexer1306667,14,468,40,266
CSVLexer1,17,539,48,286
CSVLexer3,10,492,30,278
CSVLexerTest,61,611,653,820
CSVParserTest,100,651,1784,1463
CSVPrinterTest,50,651,726,470
CSVRecordBooleanTest,4,124,19,82
CSVRecordIntTest,2,120,0,64
CSVRecordLongTest,2,121,0,64
CSVRecordTest,13,212,102,23
CSVStrategyTest,4,651,23,114
CSVUtilsTest,3,651,1,151
ExtendedBufferedReaderTest,22,651,366,311
FercGovTest,5,136,10,8
LexerTest,2,60,1,1
PerformanceTest,20,563,226,79
PerformanceTest,16,457,103,52
TokenMatchers,4,224,13,18
TokenMatchersTest,1,224,0,0
Utils,7,476,11,23
CSVConfigGuesserTest,2,651,0,91
CSVConfigTest,2,651,0,103
CSVFieldTest,2,651,0,52
CSVWriterTest,2,651,0,165
AllTests,4,736,54,89
CharBufferTest,5,737,249,442
CSVParserTest,18,778,970,1488
CSVPrinterTest,11,778,394,472
CSVStrategyTest,10,758,70,187
CSVUtilsTest,5,753,95,249
ExtendedBufferedReaderTest,8,778,158,391
AllTests,3,736,19,38
CSVConfigGuesserTest,5,767,112,200
CSVConfigTest,5,767,128,228
CSVFieldTest,5,767,70,120
CSVWriterTest,6,767,195,250
