ClassName,Changes,TotalCommits,Insertions,Deletions
TypeSerializerWrapper,1,713,0,0
AbstractTypeResolver,5,1511,2,13
JacksonInject,2,1511,0,30
JacksonStdImpl,2,1511,0,25
JsonCachable,3,1511,0,32
JsonDeserialize,2,1511,0,108
JsonFilter,2,1511,0,29
JsonRootName,2,1511,0,27
JsonSerialize,2,1511,0,215
JsonTypeIdResolver,3,1511,2,38
JsonTypeResolver,3,1511,1,26
JsonValueInstantiator,2,1511,0,25
JsonView,2,1511,0,37
NoClass,2,1511,0,19
package-info,3,1511,4,9
AnnotationIntrospector,53,1511,883,1350
JacksonStdImpl,2,1503,0,2
JsonCachable,2,1503,0,30
JsonDeserialize,6,1503,42,16
JsonNaming,1,1045,0,0
JsonPOJOBuilder,1,1272,0,0
JsonSerialize,9,1503,75,29
JsonTypeIdResolver,3,1503,5,5
JsonTypeResolver,3,1503,5,2
JsonValueInstantiator,2,1503,1,3
NoClass,3,1503,4,6
package-info,1,1503,0,0
BeanDescription,16,1511,166,86
BeanPropertyDefinition,9,1511,71,137
BeanProperty,16,1511,159,87
BaseSettings,9,1434,164,40
ConfigFeature,3,1432,1,8
ContextAttributes,1,408,0,0
DatabindVersion,2,1309,0,14
DeserializationConfig,2,1309,0,497
DeserializerFactoryConfig,4,1314,21,7
HandlerInstantiator,6,1309,44,5
MapperConfigBase,22,1434,472,157
MapperConfig,19,1434,451,635
package-info,1,1309,0,0
SerializationConfig,2,1309,0,475
SerializerFactoryConfig,3,1314,6,14
ClassIntrospector,3,1511,0,117
ContextualDeserializer,2,1511,0,38
ContextualKeyDeserializer,2,1511,0,33
ContextualSerializer,2,1511,0,38
DatabindContext,7,683,127,9
DatabindVersion,2,1483,0,14
AbstractDeserializer,18,1511,210,101
BasicDeserializerFactory,93,1511,1997,1259
BeanDeserializerBase,64,1272,923,380
BeanDeserializerBuilder,26,1511,263,100
BeanDeserializerFactory,70,1511,945,1486
BeanDeserializer,66,1511,817,1554
BeanDeserializerModifier,12,1511,147,34
BuilderBasedDeserializer,21,1272,111,403
ContextualDeserializer,4,1504,14,14
ContextualKeyDeserializer,3,1504,4,8
CreatorProperty,15,1486,146,44
DataFormatReaders,1,975,0,0
DefaultDeserializationContext,17,1290,300,108
DeserializationProblemHandler,6,1506,14,12
DeserializerCache,30,1306,136,67
DeserializerFactory,18,1504,94,254
DeserializerProvider,3,1394,1,144
Deserializers,18,1504,120,166
DeserializationConfig,40,1294,165,41
DeserializationContext,59,1511,1281,630
DeserializationFeature,16,1309,163,39
DeserializationProblemHandler,2,1511,0,56
DeserializerFactory,3,1511,0,353
DeserializerProvider,8,1511,4,190
Deserializers,3,1511,0,336
BeanAsArrayBuilderDeserializer,6,1065,19,4
BeanAsArrayDeserializer,6,1087,237,7
BeanPropertyMap,15,1511,236,75
CreatorCollector,16,1511,184,43
CreatorProperty,6,1511,5,158
DeserializerCache,3,1310,1,515
DeserializerFactoryConfig,2,1366,0,193
ExternalTypeHandler,14,1511,194,51
FailingDeserializer,2,400,1,3
FieldProperty,6,1272,44,15
InnerClassProperty,5,1280,28,7
ManagedReferenceProperty,9,1280,57,52
MethodProperty,4,1272,32,12
NullProvider,2,1272,3,0
ObjectIdProperty,4,1280,33,114
ObjectIdReader,10,1283,95,24
ObjectIdReferenceProperty,5,262,23,30
ObjectIdValueProperty,13,1222,41,29
package-info,1,1511,0,0
PropertyBasedCreator,9,1511,98,32
PropertyBasedObjectIdGenerator,2,1272,2,0
PropertyValueBuffer,7,1511,60,9
PropertyValue,2,1511,2,1
ReadableObjectId,9,1280,130,100
SetterlessProperty,3,1272,8,5
TypeWrappedDeserializer,3,1334,16,0
UnwrappedPropertyHandler,7,1511,42,17
ValueInjector,6,1511,17,9
KeyDeserializers,6,1504,5,15
package-info,1,1511,0,0
ResolvableDeserializer,7,1504,32,14
SettableAnyProperty,10,1511,122,73
SettableBeanProperty,41,1511,481,721
ArrayBlockingQueueDeserializer,4,733,7,15
AtomicBooleanDeserializer,6,546,3,10
AtomicReferenceDeserializer,9,546,76,51
ByteBufferDeserializer,2,542,2,7
CalendarDeserializer,4,1511,2,50
CharsetDeserializer,4,546,2,26
ClassDeserializer,8,1511,13,63
CollectionDeserializer,37,1511,294,191
ContainerDeserializerBase,7,1511,30,6
DateDeserializer,3,1511,1,32
DateDeserializers,18,1491,319,161
DelegatingDeserializer,9,953,26,11
StdDeserializationContext,9,1511,136,461
StdDeserializer,2,1511,0,92
StdDeserializerProvider,12,1511,8,514
StdDeserializers,4,1511,15,134
EnumDeserializer,21,1511,144,79
EnumMapDeserializer,21,1511,200,117
EnumSetDeserializer,15,1511,85,42
FailingDeserializer,2,401,0,30
FromStringDeserializer,14,1511,264,231
InetAddressDeserializer,3,546,2,28
InetSocketAddressDeserializer,3,546,1,53
JacksonDeserializers,15,1491,119,203
JavaTypeDeserializer,8,511,5,45
JdkDeserializers,29,1491,427,648
JsonLocationInstantiator,2,511,1,2
JsonNodeDeserializer,18,1511,204,132
StdKeyDeserializer,2,1511,0,12
StdKeyDeserializers,2,1511,0,11
MapDeserializer,37,1511,497,274
NullifyingDeserializer,1,731,0,0
NumberDeserializers,14,1491,300,137
ObjectArrayDeserializer,18,1511,94,48
package-info,2,1511,0,2
PrimitiveArrayDeserializers,11,1511,89,159
StdScalarDeserializer,2,1511,0,13
StackTraceElementDeserializer,3,546,13,5
StdDelegatingDeserializer,12,909,75,31
StdDeserializer,39,1511,443,635
StdKeyDeserializer,14,1511,326,262
StdKeyDeserializers,14,1511,111,117
StdScalarDeserializer,7,1511,7,16
StdValueInstantiator,18,1511,114,98
StringArrayDeserializer,6,676,14,22
StringCollectionDeserializer,29,1511,136,125
StringDeserializer,11,1511,42,27
ThrowableDeserializer,10,1511,23,28
TimestampDeserializer,3,1511,1,32
TokenBufferDeserializer,8,511,9,14
UntypedObjectDeserializer,17,1511,418,58
UUIDDeserializer,3,440,56,49
UnresolvedForwardReference,6,263,107,59
UnresolvedId,2,231,4,5
ValueInstantiator,15,1511,124,123
ValueInstantiators,7,1511,4,9
IgnoredPropertyException,1,359,0,0
InvalidFormatException,1,1086,0,0
PropertyBindingException,1,359,0,0
UnrecognizedPropertyException,6,1511,97,108
CoreXMLDeserializers,9,1511,81,80
CoreXMLSerializers,17,1511,47,54
DOMDeserializer,3,1511,8,7
DOMSerializer,15,1511,35,31
JodaDeserializers,4,1511,1,255
JodaSerializers,8,1511,12,216
OptionalHandlerFactory,14,1511,37,86
package-info,1,1511,0,0
HandlerInstantiator,6,1511,7,122
InjectableValues,4,1511,10,14
AnnotatedClass,17,1511,341,281
AnnotatedConstructor,5,1511,77,7
AnnotatedField,7,1511,87,19
Annotated,5,1511,15,12
AnnotatedMember,6,1511,51,8
AnnotatedMethod,12,1511,140,41
AnnotatedMethodMap,3,1511,2,2
AnnotatedParameter,9,1511,13,22
AnnotatedWithParams,7,1511,9,38
