ClassName,Changes,TotalCommits,Insertions,Deletions
AbstractFactory,11,277,97,135
BasicNamespaceManager,2,110,0,89
BasicNodeSet,5,135,26,71
BasicVariables,9,289,80,101
ClassFunctions,12,289,111,123
CompiledExpression,8,254,64,90
Container,8,287,40,87
DynamicPropertyHandler,7,289,36,81
ExpressionContext,9,289,61,96
Function,9,289,51,93
FunctionLibrary,8,289,73,103
ConstructorFunction,14,289,102,133
Functions,9,289,48,91
MethodFunction,14,289,140,152
PackageFunctions,2,289,0,146
Types,3,289,62,516
IdentityManager,6,228,31,76
JXPathAbstractFactoryException,2,52,8,7
JXPathBasicBeanInfo,13,289,125,146
JXPathBeanInfo,9,289,59,98
JXPathContextFactoryConfigurationError,8,289,36,86
JXPathContextFactory,10,289,187,225
JXPathContext,30,289,811,429
JXPathException,9,258,61,108
JXPathFunctionNotFoundException,2,52,8,7
JXPathIntrospector,12,289,149,141
JXPathInvalidAccessException,2,52,8,7
JXPathInvalidSyntaxException,2,52,8,7
JXPath,5,289,22,138
JXPathNotFoundException,2,52,8,7
JXPathTypeConversionException,2,52,8,7
KeyManager,7,228,39,81
MapDynamicPropertyHandler,10,283,53,97
NamespaceManager,2,110,0,88
NodeSet,5,143,23,60
PackageFunctions,16,289,207,169
Pointer,11,289,104,122
AncestorContext,17,289,145,220
AttributeContext,12,287,101,183
ChildContext,19,289,204,283
DescendantContext,18,289,212,244
InitialContext,19,289,110,145
NamespaceContext,12,282,93,130
NodeSetContext,5,135,26,71
ParentContext,17,289,134,209
PrecedingOrFollowingContext,18,289,211,263
PredicateContext,26,289,370,329
PropertyIterator,2,289,0,324
RootContext,21,289,173,190
SelfContext,14,289,134,199
SimplePathInterpreter,21,259,1063,539
UnionContext,16,289,123,186
Constant,11,289,77,124
CoreFunction,21,289,936,433
CoreOperationAdd,5,152,23,60
CoreOperationAnd,5,152,23,60
CoreOperationCompare,6,152,28,69
CoreOperationDivide,5,152,23,60
CoreOperationEqual,5,152,23,60
CoreOperationGreaterThan,5,152,23,60
CoreOperationGreaterThanOrEqual,5,152,23,60
CoreOperation,17,289,745,787
CoreOperationLessThan,5,152,23,60
CoreOperationLessThanOrEqual,5,152,23,60
CoreOperationMod,5,152,23,60
CoreOperationMultiply,5,152,23,60
CoreOperationNegate,5,152,23,60
CoreOperationNotEqual,5,152,23,60
CoreOperationOr,5,152,23,60
CoreOperationSubtract,5,152,23,60
CoreOperationUnion,5,152,23,60
Expression,14,289,212,300
ExpressionPath,18,289,229,226
ExtensionFunction,17,289,160,151
Compiler,12,289,95,126
LocationPath,14,289,116,188
NameAttributeTest,7,247,34,17
NodeNameTest,13,289,76,123
NodeTest,7,282,35,83
NodeTypeTest,10,289,63,121
Operation,10,289,55,125
Path,20,289,492,309
ProcessingInstructionTest,10,289,60,119
QName,3,289,5,130
Step,11,289,146,150
TreeCompiler,13,289,237,247
VariableReference,11,289,72,115
EvalContext,35,289,1363,2248
InfoSetUtil,14,247,172,210
JXPathCompiledExpression,11,254,110,119
JXPathContextFactoryReferenceImpl,8,289,46,88
JXPathContextReferenceImpl,51,289,1133,707
BeanAttributeIterator,11,268,99,139
BeanPointerFactory,9,268,59,96
BeanPointer,16,268,302,325
BeanPropertyPointer,22,268,284,306
CollectionAttributeNodeIterator,5,135,28,72
CollectionChildNodeIterator,5,135,28,72
CollectionNodeIterator,5,135,28,72
CollectionPointerFactory,9,268,57,102
CollectionPointer,23,268,315,287
DynamicPointerFactory,4,268,14,132
DynamicPointer,8,268,63,227
DynamicPropertyPointer,12,268,329,674
LangAttributePointer,16,268,117,156
NullElementPointer,19,268,223,289
NullPointer,14,268,147,207
NullPropertyPointer,23,268,298,266
PropertyIterator,17,268,201,215
PropertyOwnerPointer,23,268,244,261
PropertyPointer,19,268,236,203
ContainerPointerFactory,9,268,58,101
ContainerPointer,16,268,159,171
DOMAttributeIterator,14,268,133,173
DOMAttributePointer,18,268,158,196
DOMNamespaceIterator,11,268,77,120
DOMNodeIterator,16,268,112,250
DOMNodePointer,35,268,832,643
DOMPointerFactory,9,268,58,101
NamespacePointer,15,268,126,157
DynaBeanPointerFactory,9,172,46,98
DynaBeanPointer,9,172,70,129
DynaBeanPropertyPointer,16,172,396,558
DynamicAttributeIterator,6,164,26,63
DynamicPointerFactory,7,164,55,88
DynamicPointer,10,164,64,108
DynamicPropertyIterator,7,164,28,72
DynamicPropertyPointer,12,164,142,208
JDOMAttributeIterator,10,189,89,211
JDOMAttributePointer,13,189,119,177
JDOMNamespaceIterator,11,189,79,132
JDOMNamespacePointer,12,189,113,159
JDOMNodeIterator,10,189,98,136
JDOMNodePointer,25,189,838,732
JDOMPointerFactory,8,189,42,87
NodeIterator,6,268,31,76
NodePointerFactory,9,268,57,97
NodePointer,29,268,823,595
VariablePointer,22,268,317,270
NamespaceResolver,9,91,49,19
ASCII_UCodeESC_CharStream,2,289,0,520
Parser,12,289,129,137
JavaCharStream,2,149,0,547
ParseException,3,289,4,3
SimpleCharStream,1,134,0,0
Token,3,289,3,3
TokenMgrError,4,289,38,18
XPathParserConstants,5,289,117,108
