ClassName,Changes,TotalCommits,Insertions,Deletions
ArrayUtils,2,615,0,4417
BitField,2,615,0,290
BooleanUtils,2,615,0,930
CompareToBuilder,2,615,0,1047
EqualsBuilder,2,615,0,844
HashCodeBuilder,2,615,0,704
ReflectionToStringBuilder,2,615,0,883
StandardToStringStyle,2,615,0,545
ToStringBuilder,2,615,0,1043
ToStringStyle,2,615,0,2151
CharEncoding,2,615,0,153
CharRange,2,615,0,233
CharSet,2,615,0,284
CharSetUtils,2,615,0,391
CharUtils,2,615,0,560
ClassUtils,2,615,0,679
Entities,2,615,0,939
Enum,2,615,0,631
EnumUtils,2,615,0,128
Enum,2,615,0,630
EnumUtils,2,615,0,124
ValuedEnum,2,615,0,232
ValuedEnum,2,615,0,196
ExceptionUtils,2,615,0,995
NestableDelegate,2,615,0,404
NestableError,2,615,0,198
NestableException,2,615,0,259
Nestable,2,615,0,178
NestableRuntimeException,2,615,0,203
IllegalClassException,2,615,0,103
IncompleteArgumentException,2,615,0,89
IntHashMap,2,615,0,364
LocaleUtils,2,615,0,291
DoubleRange,2,615,0,416
FloatRange,2,615,0,410
Fraction,2,615,0,941
IntRange,2,615,0,384
JVMRandom,2,615,0,170
LongRange,2,615,0,397
NumberRange,2,615,0,242
NumberUtils,2,615,0,1410
RandomUtils,2,615,0,180
Range,2,615,0,431
MutableBoolean,2,615,0,170
MutableByte,2,615,0,281
MutableDouble,2,615,0,312
MutableFloat,2,615,0,313
MutableInt,2,615,0,272
Mutable,2,615,0,54
MutableLong,2,615,0,272
MutableObject,2,615,0,114
MutableShort,2,615,0,281
NotImplementedException,2,615,0,295
NullArgumentException,2,615,0,64
NumberRange,2,615,0,220
NumberUtils,2,615,0,714
ObjectUtils,2,615,0,280
RandomStringUtils,2,615,0,327
SerializationException,2,615,0,80
SerializationUtils,2,615,0,195
StringEscapeUtils,2,615,0,689
StringUtils,2,615,0,4864
SystemUtils,2,615,0,1350
CompositeFormat,2,615,0,105
StrBuilder,2,615,0,2363
StrLookup,2,615,0,161
StrMatcher,2,615,0,406
StrSubstitutor,2,615,0,830
StrTokenizer,2,615,0,1124
DateFormatUtils,2,615,0,262
DateUtils,2,615,0,990
DurationFormatUtils,2,615,0,643
FastDateFormat,2,615,0,1734
StopWatch,2,615,0,264
UnhandledException,2,615,0,73
Validate,2,615,0,554
WordUtils,2,615,0,585
CalendarUtils,2,615,0,469
CalendarUtilsTest,2,615,0,342
DateFormatter,2,615,0,160
DateFormatterTest,2,615,0,255
AllLangTestSuite,2,615,0,71
ArrayUtilsAddTest,2,615,0,574
ArrayUtilsRemoveTest,2,615,0,458
ArrayUtilsTest,2,615,0,2553
BitFieldTest,2,615,0,267
BooleanUtilsTest,2,615,0,580
BuilderTestSuite,2,615,0,65
CompareToBuilderTest,2,615,0,1131
DefaultToStringStyleTest,2,615,0,127
EqualsBuilderTest,2,615,0,996
HashCodeBuilderAndEqualsBuilderTest,2,615,0,164
HashCodeBuilderTest,2,615,0,525
MultiLineToStringStyleTest,2,615,0,128
NoFieldNamesToStringStyleTest,2,615,0,127
ReflectionToStringBuilderExcludeTest,2,615,0,125
ShortPrefixToStringStyleTest,2,615,0,110
SimpleToStringStyleTest,2,615,0,126
StandardToStringStyleTest,2,615,0,142
ToStringBuilderTest,2,615,0,972
ToStringStyleTest,2,615,0,126
CharEncodingTest,2,615,0,108
CharRangeTest,2,615,0,373
CharSetTest,2,615,0,469
CharSetUtilsTest,2,615,0,277
CharUtilsPerfTest,2,615,0,165
CharUtilsTest,2,615,0,370
ClassUtilsTest,2,615,0,559
EntitiesPerformanceTest,2,615,0,218
EntitiesTest,2,615,0,201
Broken1Enum,2,615,0,53
Broken1OperationEnum,2,615,0,86
Broken2Enum,2,615,0,53
Broken2OperationEnum,2,615,0,86
Broken3Enum,2,615,0,53
Broken3OperationEnum,2,615,0,86
Broken4OperationEnum,2,615,0,86
Broken5OperationEnum,2,615,0,86
ColorEnum,2,615,0,54
DummyEnum,2,615,0,31
EnumTest,2,615,0,551
EnumTestSuite,2,615,0,57
EnumUtilsTest,2,615,0,168
Extended1Enum,2,615,0,55
Extended2Enum,2,615,0,54
Extended3Enum,2,615,0,54
NestBroken,2,615,0,67
Nest,2,615,0,63
NestLinked,2,615,0,74
NestReferenced,2,615,0,70
OperationEnum,2,615,0,86
Broken1Enum,2,615,0,53
Broken1OperationEnum,2,615,0,86
Broken2Enum,2,615,0,53
Broken2OperationEnum,2,615,0,86
Broken3Enum,2,615,0,53
Broken3OperationEnum,2,615,0,86
Broken4OperationEnum,2,615,0,86
Broken5OperationEnum,2,615,0,86
ColorEnum,2,615,0,54
DummyEnum,2,615,0,31
EnumEqualsTest,2,615,0,150
EnumTest,2,615,0,549
EnumTestSuite,2,615,0,58
EnumUtilsTest,2,615,0,168
Extended1Enum,2,615,0,55
Extended2Enum,2,615,0,54
Extended3Enum,2,615,0,54
NestBroken,2,615,0,67
Nest,2,615,0,63
NestLinked,2,615,0,74
NestReferenced,2,615,0,70
OperationEnum,2,615,0,86
ValuedColorEnum,2,615,0,58
ValuedEnumTest,2,615,0,242
ValuedLanguageEnum,2,615,0,57
ValuedColorEnum,2,615,0,58
ValuedEnumTest,2,615,0,136
AbstractNestableTestCase,2,615,0,681
ExceptionTestSuite,2,615,0,57
ExceptionUtilsTestCase,2,615,0,600
NestableDelegateTestCase,2,615,0,1185
NestableErrorTestCase,2,615,0,268
NestableExceptionTestCase,2,615,0,367
NestableRuntimeExceptionTestCase,2,615,0,310
IllegalClassExceptionTest,2,615,0,118
IncompleteArgumentExceptionTest,2,615,0,94
IntHashMapTest,2,615,0,142
LangTestSuite,2,615,0,89
LocaleUtilsTest,2,615,0,489
AbstractRangeTest,2,615,0,359
DoubleRangeTest,2,615,0,173
FloatRangeTest,2,615,0,173
FractionTest,2,615,0,1343
IntRangeTest,2,615,0,165
LongRangeTest,2,615,0,153
MathTestSuite,2,615,0,62
NumberRangeTest,2,615,0,166
NumberUtilsTest,2,615,0,1124
RandomUtilsTest,2,615,0,341
RangeTest,2,615,0,125
MutableBooleanTest,2,615,0,149
MutableByteTest,2,615,0,198
MutableDoubleTest,2,615,0,209
MutableFloatTest,2,615,0,209
MutableIntTest,2,615,0,208
MutableLongTest,2,615,0,202
MutableObjectTest,2,615,0,106
MutableShortTest,2,615,0,198
MutableTestSuite,2,615,0,53
NotImplementedExceptionTest,2,615,0,200
NullArgumentExceptionTest,2,615,0,66
NumberRangeTest,2,615,0,245
NumberUtilsTest,2,615,0,524
ObjectUtilsTest,2,615,0,179
RandomStringUtilsTest,2,615,0,351
SerializationUtilsTest,2,615,0,394
StringEscapeUtilsTest,2,615,0,330
StringUtilsEqualsIndexOfTest,2,615,0,512
StringUtilsIsTest,2,615,0,187
StringUtilsSubstringTest,2,615,0,292
StringUtilsTest,2,615,0,1538
StringUtilsTrimEmptyTest,2,615,0,292
SystemUtilsTest,2,615,0,547
CompositeFormatTest,2,615,0,110
StrBuilderAppendInsertTest,2,615,0,1037
StrBuilderTest,2,615,0,1731
StrLookupTest,2,615,0,100
StrMatcherTest,2,615,0,230
StrSubstitutorTest,2,615,0,517
StrTokenizerTest,2,615,0,845
TextTestSuite,2,615,0,62
DateFormatUtilsTest,2,615,0,214
DateUtilsTest,2,615,0,1127
DurationFormatUtilsTest,2,615,0,421
FastDateFormatTest,2,615,0,281
StopWatchTest,2,615,0,197
TimeTestSuite,2,615,0,59
UnhandledExceptionTest,2,615,0,73
ValidateTest,2,615,0,413
WordUtilsTest,2,615,0,366
ArrayUtils,77,1950,9188,5311
BitField,11,1434,70,106
BooleanUtils,33,1876,671,278
CompareToBuilder,41,2022,1239,827
EqualsBuilder,41,2027,639,413
HashCodeBuilder,44,2028,1239,837
IDKey,3,196,3,1
ReflectionToStringBuilder,43,1709,1223,981
StandardToStringStyle,25,2012,388,285
ToStringBuilder,48,2012,1504,1376
ToStringStyle,53,2012,1981,1110
CalendarUtils,2,1870,0,505
CharacterEncoding,3,1178,2,152
CharEncoding,7,1112,57,54
CharRange,26,2110,255,228
CharSet,35,2110,442,295
CharSetUtils,43,2110,523,449
CharUtils,19,1300,205,201
ClassUtils,71,1947,1961,1441
ConcurrentException,1,3,0,0
ConcurrentUtils,1,3,0,0
LazyInitializer,3,11,23,21
DateUtils,2,1871,0,259
Entities,43,1770,1449,1866
