ClassName,Changes,TotalCommits,Insertions,Deletions
BinaryComparator,4,342,27,59
FileHasher,2,343,0,51
PomComparator,4,284,0,0
PublicationsComparator,4,284,0,0
PublicationsComparatorTask,9,284,0,0
SourceJarComparator,4,349,21,36
ZipComparator,6,284,0,0
ZipCompare,7,284,27,15
DefaultProcessRunner,1,184,0,0
Exec,1,184,0,0
ProcessRunner,1,184,0,0
DefaultGitAuthor,2,184,15,1
DefaultGitTool,3,185,16,6
GitAuthor,2,185,6,1
Git,3,185,10,2
GitTool,2,185,7,1
Contribution,3,309,11,40
DefaultProcessRunner,2,284,0,42
Exec,6,284,6,16
ProcessRunner,4,284,0,15
GitCommit,2,309,0,7
GitNotesBuilder,6,284,1,2
DefaultImprovements,5,284,4,0
GitHubAuthToken,5,284,0,0
GitHubImprovementsProvider,7,284,3,3
GitHubTicketFetcher,10,284,214,50
Improvement,5,284,2,2
ImprovementSet,4,284,0,0
ImprovementSetProvider,2,296,0,8
Improvements,6,284,3,3
ImprovementsProvider,3,284,0,0
Contribution,2,307,0,29
GitCommit,2,307,0,7
Improvement,2,307,0,13
PreviousVersionProvider,2,352,0,12
NotesBuilder,6,284,0,0
Notes,6,284,0,0
NotesPrinter,3,284,0,0
PreviousVersionProvider,2,306,0,12
ReleaseNotesBuilderFactory,7,480,64,74
ReleaseNotesBuilder,7,480,12,35
ReleaseNotesServices,3,352,1,67
HumanReadable,3,284,0,0
IOUtil,4,283,44,18
Predicate,3,284,0,0
ReleaseNotesException,4,284,0,0
Commit,5,284,0,0
Contribution,5,284,0,0
ContributionSet,6,284,0,0
ContributionsProvider,4,284,0,0
DefaultContribution,5,305,9,45
DefaultContributionSet,10,284,0,0
GitCommit,5,284,0,0
GitContributionsProvider,5,284,0,0
GitLogProvider,4,284,1,1
IgnoreCiSkip,3,284,0,0
TicketParser,3,284,0,0
Vcs,8,284,1,1
FromNotesContent,4,284,0,0
PreviousVersion,3,284,0,0
Versions,4,284,0,0
ConfigurableReleaseStep,2,186,11,1
DefaultReleaseStep,6,211,64,33
DefaultReleaseSteps,10,211,59,28
ReleaseStep,6,211,17,13
ReleaseSteps,5,211,10,6
Steps,1,211,0,0
ArgumentValidation,3,284,0,0
InputOutput,4,284,0,23
Operation,1,211,0,0
Operations,1,211,0,0
DefaultVersionFile,1,146,0,0
DefaultVersionTool,3,150,14,36
VersionBumper,2,147,3,0
VersionFile,1,146,0,0
Version,4,150,7,5
VersionTool,3,150,4,16
PomComparator,2,285,0,31
PublicationsComparator,2,285,0,26
PublicationsComparatorTask,2,285,0,42
ZipComparator,2,285,0,46
ZipCompare,2,285,0,120
DefaultProcessRunner,2,285,0,42
Exec,2,285,0,10
ProcessRunner,2,285,0,15
GitNotesBuilder,2,285,0,44
DefaultImprovements,2,285,0,25
GitHubAuthToken,2,285,0,20
GitHubImprovementsProvider,2,285,0,22
GitHubTicketFetcher,2,285,0,47
Improvement,2,285,0,24
ImprovementSet,2,285,0,14
Improvements,2,285,0,16
ImprovementsProvider,2,285,0,8
NotesBuilder,2,285,0,16
Notes,2,285,0,30
NotesPrinter,2,285,0,20
HumanReadable,2,285,0,12
Predicate,2,285,0,12
ReleaseNotesException,2,285,0,8
Commit,2,285,0,26
Contribution,2,285,0,37
ContributionSet,2,285,0,26
ContributionsProvider,2,285,0,12
DefaultContributionSet,2,285,0,62
GitCommit,2,285,0,35
GitContributionsProvider,2,285,0,41
GitLogProvider,2,285,0,17
IgnoreCiSkip,2,285,0,16
TicketParser,2,285,0,23
Vcs,2,285,0,16
FromNotesContent,2,285,0,28
PreviousVersion,2,285,0,12
Versions,2,285,0,14
ArgumentValidation,2,285,0,31
InputOutput,2,285,0,23
AnnotationVisitor,2,1641,97,97
AnnotationWriter,2,1641,316,316
Attribute,2,1641,254,254
ByteVector,2,1641,293,293
ClassAdapter,2,1641,121,121
ClassReader,2,1641,2009,2009
ClassVisitor,2,1641,196,196
ClassWriter,2,1641,1344,1344
Edge,2,1641,75,75
FieldVisitor,2,1641,64,64
FieldWriter,2,1641,269,269
Frame,2,1641,1402,1402
Handler,2,1641,70,70
Item,2,1641,256,256
Label,2,1641,526,526
MethodAdapter,2,1641,195,195
MethodVisitor,2,1641,395,395
MethodWriter,2,1641,2601,2601
Opcodes,2,1641,341,341
SignatureReader,2,1641,229,229
SignatureVisitor,2,1641,185,185
SignatureWriter,2,1641,206,206
AbstractInsnNode,2,1641,233,233
AnalyzerException,2,1641,56,56
Analyzer,2,1641,507,507
BasicInterpreter,2,1641,321,321
BasicValue,2,1641,104,104
BasicVerifier,2,1641,423,423
Frame,2,1641,667,667
Interpreter,2,1641,178,178
SimpleVerifier,2,1641,284,284
SmallSet,2,1641,126,126
SourceInterpreter,2,1641,174,174
SourceValue,2,1641,95,95
Subroutine,2,1641,92,92
Value,2,1641,45,45
AnnotationNode,2,1641,191,191
ClassNode,2,1641,280,280
FieldInsnNode,2,1641,103,103
FieldNode,2,1641,127,127
FrameNode,2,1641,208,208
IincInsnNode,2,1641,76,76
InnerClassNode,2,1641,101,101
InsnList,2,1641,640,640
InsnNode,2,1641,81,81
IntInsnNode,2,1641,81,81
JumpInsnNode,2,1641,89,89
LabelNode,2,1641,74,74
LdcInsnNode,2,1641,73,73
LineNumberNode,2,1641,79,79
LocalVariableNode,2,1641,115,115
LookupSwitchInsnNode,2,1641,113,113
MemberNode,2,1641,120,120
MethodInsnNode,2,1641,103,103
MethodNode,2,1641,490,490
MultiANewArrayInsnNode,2,1641,77,77
TableSwitchInsnNode,2,1641,111,111
TryCatchBlockNode,2,1641,94,94
TypeInsnNode,2,1641,83,83
VarInsnNode,2,1641,86,86
Type,2,1641,794,794
AbstractVisitor,2,1641,202,202
ASMifiable,2,1641,53,53
ASMifierAbstractVisitor,2,1641,222,222
ASMifierAnnotationVisitor,2,1641,127,127
ASMifierClassVisitor,2,1641,575,575
ASMifierFieldVisitor,2,1641,50,50
ASMifierMethodVisitor,2,1641,443,443
CheckAnnotationAdapter,2,1641,132,132
CheckClassAdapter,2,1641,480,480
CheckFieldAdapter,2,1641,77,77
CheckMethodAdapter,2,1641,1328,1328
CheckSignatureAdapter,2,1641,290,290
Traceable,2,1641,52,52
TraceAbstractVisitor,2,1641,179,179
TraceAnnotationVisitor,2,1641,266,266
TraceClassVisitor,2,1641,523,523
TraceFieldVisitor,2,1641,78,78
TraceMethodVisitor,2,1641,567,567
TraceSignatureVisitor,2,1641,300,300
BeanCopier,1,1641,0,0
BeanGenerator,1,1641,0,0
BeanMapEmitter,1,1641,0,0
BeanMap,1,1641,0,0
BulkBeanEmitter,1,1641,0,0
BulkBeanException,1,1641,0,0
BulkBean,1,1641,0,0
FixedKeySet,1,1641,0,0
ImmutableBean,1,1641,0,0
AbstractClassGenerator,1,1641,0,0
Block,1,1641,0,0
ClassEmitter,1,1641,0,0
ClassesKey,1,1641,0,0
ClassGenerator,1,1641,0,0
ClassInfo,1,1641,0,0
ClassNameReader,1,1641,0,0
CodeEmitter,1,1641,0,0
CodeGenerationException,1,1641,0,0
CollectionUtils,1,1641,0,0
Constants,1,1641,0,0
Converter,1,1641,0,0
Customizer,1,1641,0,0
DebuggingClassWriter,1,1641,0,0
DefaultGeneratorStrategy,1,1641,0,0
DefaultNamingPolicy,1,1641,0,0
DuplicatesPredicate,1,1641,0,0
EmitUtils,1,1641,0,0
GeneratorStrategy,1,1641,0,0
KeyFactory,1,1641,0,0
Local,1,1641,0,0
LocalVariablesSorter,1,1641,0,0
MethodInfo,1,1641,0,0
MethodInfoTransformer,1,1641,0,0
MethodWrapper,1,1641,0,0
