ClassName,Changes,TotalCommits,Insertions,Deletions
FunctionInfo,2,118,13,12
FunctionInformationMap,4,118,93,26
Instrumentation,4,118,49,16
InstrumentationTemplate,2,118,9,8
AbstractCommandLineRunner,10,58,400,235
AbstractCompiler,7,150,32,10
AbstractCompilerRunner,18,150,361,1211
AbstractMessageFormatter,1,150,0,0
AliasExternals,2,150,4,5
AliasKeywords,1,150,0,0
AliasStrings,1,150,0,0
AmbiguateProperties,8,150,106,92
AnalyzeNameReferences,1,150,0,0
AnalyzePrototypeProperties,2,150,1,1
AnonymousFunctionNamingCallback,1,150,0,0
AnonymousFunctionNamingPolicy,1,150,0,0
AntErrorManager,1,104,0,0
CompileTask,3,104,3,4
AstChangeProxy,1,150,0,0
AstParallelizer,1,150,0,0
BasicErrorManager,2,150,29,21
ChainableReverseAbstractInterpreter,2,150,43,16
