ClassName,Changes,TotalCommits,Insertions,Deletions
src/examples/org/apache/commons/compress/examples/Bzip2Compress.java,4,1036,0,70
src/examples/org/apache/commons/compress/examples/BZip2Example.java,0,0,0,0
src/examples/org/apache/commons/compress/examples/Bzip2Uncompress.java,4,1036,0,76
src/examples/org/apache/commons/compress/examples/TarExample.java,0,0,0,0
src/examples/org/apache/commons/compress/examples/ZipExample.java,0,0,0,0
src/java/org/apache/commons/compress/AbstractArchive.java,0,0,0,0
src/java/org/apache/commons/compress/AbstractCompressor.java,0,0,0,0
src/java/org/apache/commons/compress/ArchiveEntry.java,0,0,0,0
src/java/org/apache/commons/compress/ArchiveException.java,0,0,0,0
src/java/org/apache/commons/compress/Archive.java,0,0,0,0
src/java/org/apache/commons/compress/ArchiverFactory.java,0,0,0,0
src/java/org/apache/commons/compress/archivers/tar/TarArchive.java,0,0,0,0
src/java/org/apache/commons/compress/archivers/tar/TarBuffer.java,0,0,0,0
src/java/org/apache/commons/compress/archivers/tar/TarEntry.java,0,0,0,0
src/java/org/apache/commons/compress/archivers/tar/TarInputStream.java,0,0,0,0
src/java/org/apache/commons/compress/archivers/tar/TarOutputStream.java,0,0,0,0
src/java/org/apache/commons/compress/archivers/tar/TarUtils.java,0,0,0,0
src/java/org/apache/commons/compress/archivers/zip/AsiExtraField.java,0,0,0,0
src/java/org/apache/commons/compress/archivers/zip/ExtraFieldUtils.java,0,0,0,0
src/java/org/apache/commons/compress/archivers/zip/UnixStat.java,0,0,0,0
src/java/org/apache/commons/compress/archivers/zip/UnrecognizedExtraField.java,0,0,0,0
src/java/org/apache/commons/compress/archivers/zip/ZipArchive.java,0,0,0,0
src/java/org/apache/commons/compress/archivers/zip/ZipEntry.java,0,0,0,0
src/java/org/apache/commons/compress/archivers/zip/ZipExtraField.java,0,0,0,0
src/java/org/apache/commons/compress/archivers/zip/ZipLong.java,0,0,0,0
src/java/org/apache/commons/compress/archivers/zip/ZipOutputStream.java,0,0,0,0
src/java/org/apache/commons/compress/archivers/zip/ZipShort.java,0,0,0,0
src/java/org/apache/commons/compress/bzip2/BZip2Constants.java,4,1072,0,144
src/java/org/apache/commons/compress/bzip2/CBZip2InputStream.java,6,1072,0,1012
src/java/org/apache/commons/compress/bzip2/CBZip2OutputStream.java,4,1072,0,2080
src/java/org/apache/commons/compress/bzip2/CRC.java,4,1072,0,172
src/java/org/apache/commons/compress/CompressException.java,0,0,0,0
src/java/org/apache/commons/compress/CompressorFactory.java,0,0,0,0
src/java/org/apache/commons/compress/Compressor.java,0,0,0,0
src/java/org/apache/commons/compress/compressors/bzip2/BZip2Compressor.java,0,0,0,0
src/java/org/apache/commons/compress/compressors/bzip2/BZip2Constants.java,0,0,0,0
src/java/org/apache/commons/compress/compressors/bzip2/BZip2InputStream.java,0,0,0,0
src/java/org/apache/commons/compress/compressors/bzip2/BZip2OutputStream.java,0,0,0,0
src/java/org/apache/commons/compress/compressors/bzip2/CRC.java,0,0,0,0
src/java/org/apache/commons/compress/CompressUtils.java,0,0,0,0
src/java/org/apache/commons/compress/PackableObjectException.java,0,0,0,0
src/java/org/apache/commons/compress/PackableObject.java,0,0,0,0
src/java/org/apache/commons/compress/tar/TarBuffer.java,6,1076,0,542
src/java/org/apache/commons/compress/tar/TarConstants.java,5,1076,0,187
src/java/org/apache/commons/compress/tar/TarEntry.java,5,1076,0,733
src/java/org/apache/commons/compress/tar/TarInputStream.java,6,1076,0,510
src/java/org/apache/commons/compress/tar/TarOutputStream.java,5,1076,0,469
src/java/org/apache/commons/compress/tar/TarUtils.java,5,1076,0,278
src/java/org/apache/commons/compress/UnpackException.java,0,0,0,0
src/java/org/apache/commons/compress/zip/AsiExtraField.java,5,1076,0,451
src/java/org/apache/commons/compress/zip/ExtraFieldUtils.java,5,1076,0,249
src/java/org/apache/commons/compress/zip/UnixStat.java,5,1076,0,121
src/java/org/apache/commons/compress/zip/UnrecognizedExtraField.java,5,1076,0,225
src/java/org/apache/commons/compress/zip/ZipEntry.java,5,1076,0,496
src/java/org/apache/commons/compress/zip/ZipExtraField.java,5,1076,0,133
src/java/org/apache/commons/compress/zip/ZipLong.java,5,1076,0,165
src/java/org/apache/commons/compress/zip/ZipOutputStream.java,5,1076,0,773
src/java/org/apache/commons/compress/zip/ZipShort.java,5,1076,0,161
src/main/java/org/apache/commons/compress/archivers/ar/ArArchiveEntry.java,25,1074,164,47
src/main/java/org/apache/commons/compress/archivers/ar/ArArchiveInputStream.java,34,1074,385,104
src/main/java/org/apache/commons/compress/archivers/ar/ArArchiveOutputStream.java,27,1074,210,146
src/main/java/org/apache/commons/compress/archivers/ArchiveEntry.java,8,1074,21,7
