ClassName,Changes,TotalCommits,Insertions,Deletions
src/java/org/apache/commons/csv/CharBuffer.java,8,1187,0,188
src/java/org/apache/commons/csv/CSVParser.java,29,1228,0,763
src/java/org/apache/commons/csv/CSVPrinter.java,11,1228,0,358
src/java/org/apache/commons/csv/CSVStrategy.java,14,1208,0,87
src/java/org/apache/commons/csv/CSVUtils.java,7,1203,0,116
src/java/org/apache/commons/csv/ExtendedBufferedReader.java,10,1228,0,304
src/java/org/apache/commons/csv/writer/CSVConfigGuesser.java,6,1218,0,187
src/java/org/apache/commons/csv/writer/CSVConfig.java,6,1218,0,285
src/java/org/apache/commons/csv/writer/CSVField.java,5,1218,0,111
src/java/org/apache/commons/csv/writer/CSVWriter.java,8,1218,0,130
src/main/java/org/apache/commons/csv/Assertions.java,8,533,22,3
src/main/java/org/apache/commons/csv/CharBuffer.java,7,1101,0,237
src/main/java/org/apache/commons/csv/Constants.java,22,861,47,9
src/main/java/org/apache/commons/csv/CSVFormat.java,274,1091,1967,131
src/main/java/org/apache/commons/csv/CSVLexer.java,55,1021,0,344
src/main/java/org/apache/commons/csv/CSVParser.java,181,1101,491,502
src/main/java/org/apache/commons/csv/CSVPrinter.java,104,1101,274,232
src/main/java/org/apache/commons/csv/CSVRecord.java,61,1017,276,87
src/main/java/org/apache/commons/csv/CSVStrategy.java,5,1101,0,191
src/main/java/org/apache/commons/csv/CSVUtils.java,7,1101,0,121
src/main/java/org/apache/commons/csv/ExtendedBufferedReader.java,37,1101,113,167
src/main/java/org/apache/commons/csv/Lexer.java,70,555,72,41
src/main/java/org/apache/commons/csv/package-info.java,9,910,24,22
src/main/java/org/apache/commons/csv/Quote.java,7,819,0,47
src/main/java/org/apache/commons/csv/QuoteMode.java,6,368,10,8
src/main/java/org/apache/commons/csv/Token.java,18,996,30,19
src/main/java/org/apache/commons/csv/UnicodeUnescapeReader.java,6,1063,0,83
src/main/java/org/apache/commons/csv/writer/CSVConfigGuesser.java,2,1101,0,196
src/main/java/org/apache/commons/csv/writer/CSVConfig.java,4,1101,0,347
src/main/java/org/apache/commons/csv/writer/CSVField.java,2,1101,0,114
src/main/java/org/apache/commons/csv/writer/CSVWriter.java,2,1101,0,144
src/test/AllTests.java,4,1186,0,30
src/test/ch/netcetera/wake/core/format/FormatTests.java,1,1229,0,40
src/test/java/org/apache/commons/csv/AssertionsTest.java,3,533,17,1
src/test/java/org/apache/commons/csv/bugs/JiraCsv164Test.java,4,192,0,39
src/test/java/org/apache/commons/csv/bugs/JiraCsv167Test.java,4,192,0,84
src/test/java/org/apache/commons/csv/bugs/JiraCsv198Test.java,3,75,0,45
src/test/java/org/apache/commons/csv/CharBufferTest.java,5,1101,0,195
src/test/java/org/apache/commons/csv/CSVBenchmark.java,5,276,66,28
src/test/java/org/apache/commons/csv/CSVFileParserTest.java,32,964,100,35
src/test/java/org/apache/commons/csv/CSVFormatBuilderTest.java,16,760,0,152
src/test/java/org/apache/commons/csv/CSVFormatPredefinedTest.java,4,256,72,56
src/test/java/org/apache/commons/csv/CSVFormatTest.java,81,1091,1082,31
src/test/java/org/apache/commons/csv/CSVLexer130663.java,2,932,0,226
src/test/java/org/apache/commons/csv/CSVLexer1306663.java,14,928,0,226
src/test/java/org/apache/commons/csv/CSVLexer1306667.java,14,918,0,226
src/test/java/org/apache/commons/csv/CSVLexer1.java,17,989,0,238
src/test/java/org/apache/commons/csv/CSVLexer3.java,10,942,0,248
src/test/java/org/apache/commons/csv/CSVLexerTest.java,61,1061,0,167
src/test/java/org/apache/commons/csv/CSVParserTest.java,136,1101,1045,492
src/test/java/org/apache/commons/csv/CSVPrinterTest.java,95,1101,1301,164
src/test/java/org/apache/commons/csv/CSVRecordBooleanTest.java,4,574,0,63
src/test/java/org/apache/commons/csv/CSVRecordIntTest.java,2,570,0,64
src/test/java/org/apache/commons/csv/CSVRecordLongTest.java,2,571,0,64
src/test/java/org/apache/commons/csv/CSVRecordTest.java,19,662,101,10
src/test/java/org/apache/commons/csv/CSVStrategyTest.java,4,1101,0,91
src/test/java/org/apache/commons/csv/CSVUtilsTest.java,3,1101,0,150
src/test/java/org/apache/commons/csv/ExtendedBufferedReaderTest.java,24,1101,175,127
src/test/java/org/apache/commons/csv/FercGovTest.java,6,586,0,87
src/test/java/org/apache/commons/csv/issues/JiraCsv164Test.java,1,73,0,0
src/test/java/org/apache/commons/csv/issues/JiraCsv167Test.java,2,73,51,48
src/test/java/org/apache/commons/csv/issues/JiraCsv198Test.java,2,73,3,3
src/test/java/org/apache/commons/csv/issues/JiraCsv203Test.java,3,69,37,21
src/test/java/org/apache/commons/csv/issues/JiraCsv213Test.java,4,53,20,4
src/test/java/org/apache/commons/csv/JiraCsv167Test.java,6,225,0,64
src/test/java/org/apache/commons/csv/LexerTest.java,9,510,211,217
