ClassName,Changes,TotalCommits,Insertions,Deletions
src/main/java/org/jsoup/Connection.java,53,853,778,92
src/main/java/org/jsoup/DataUtil.java,8,1007,0,40
src/main/java/org/jsoup/Entities.java,2,875,0,2197
src/main/java/org/jsoup/examples/HtmlToPlainText.java,7,673,41,13
src/main/java/org/jsoup/examples/ListLinks.java,3,975,5,6
src/main/java/org/jsoup/examples/package-info.java,2,975,1,1
src/main/java/org/jsoup/examples/Wikipedia.java,1,11,0,0
src/main/java/org/jsoup/helper/ChangeNotifyingArrayList.java,1,128,0,0
src/main/java/org/jsoup/helper/DataUtil.java,40,852,218,48
src/main/java/org/jsoup/helper/DescendableLinkedList.java,6,702,0,72
src/main/java/org/jsoup/helper/HttpConnection.java,96,853,1017,42
src/main/java/org/jsoup/helper/StringUtil.java,20,861,166,12
src/main/java/org/jsoup/helper/Validate.java,4,861,30,3
src/main/java/org/jsoup/helper/W3CDom.java,11,412,49,8
src/main/java/org/jsoup/HttpStatusException.java,1,588,0,0
src/main/java/org/jsoup/internal/ConstrainableInputStream.java,5,95,91,5
src/main/java/org/jsoup/internal/Normalizer.java,2,127,7,3
src/main/java/org/jsoup/internal/package-info.java,1,105,0,0
src/main/java/org/jsoup/Jsoup.java,25,1091,243,5
src/main/java/org/jsoup/nodes/Attribute.java,31,1103,184,14
src/main/java/org/jsoup/nodes/Attributes.java,41,1106,442,3
src/main/java/org/jsoup/nodes/BooleanAttribute.java,2,294,2,1
src/main/java/org/jsoup/nodes/Comment.java,19,1106,42,6
src/main/java/org/jsoup/nodes/DataNode.java,16,1073,45,10
src/main/java/org/jsoup/nodes/Document.java,67,1106,558,7
src/main/java/org/jsoup/nodes/DocumentType.java,13,722,84,14
src/main/java/org/jsoup/nodes/Element.java,142,1106,1393,26
src/main/java/org/jsoup/nodes/EntitiesData.java,1,17,0,0
src/main/java/org/jsoup/nodes/Entities.java,40,874,319,2228
src/main/java/org/jsoup/nodes/Evaluator.java,15,1022,0,131
src/main/java/org/jsoup/nodes/FormElement.java,10,537,18,4
src/main/java/org/jsoup/nodes/LeafNode.java,1,78,0,0
src/main/java/org/jsoup/nodes/Node.java,92,1106,706,21
src/main/java/org/jsoup/nodes/package-info.java,1,991,0,0
src/main/java/org/jsoup/nodes/TextNode.java,42,1106,132,6
src/main/java/org/jsoup/nodes/XmlDeclaration.java,17,1090,77,8
src/main/java/org/jsoup/package-info.java,1,991,0,0
src/main/java/org/jsoup/parser/AttributeParser.java,3,1106,0,15
src/main/java/org/jsoup/parser/CharacterReader.java,24,722,343,66
src/main/java/org/jsoup/parser/HtmlTreeBuilder.java,33,666,209,146
src/main/java/org/jsoup/parser/HtmlTreeBuilderState.java,35,666,385,336
src/main/java/org/jsoup/parser/package-info.java,1,991,0,0
src/main/java/org/jsoup/parser/ParseError.java,5,722,20,25
src/main/java/org/jsoup/parser/ParseErrorList.java,2,651,3,3
src/main/java/org/jsoup/parser/Parser.java,63,1106,194,48
src/main/java/org/jsoup/parser/ParserRuntimeException.java,3,1109,0,8
src/main/java/org/jsoup/parser/ParseSettings.java,3,201,5,6
src/main/java/org/jsoup/parser/Position.java,3,1109,0,8
src/main/java/org/jsoup/parser/StartTag.java,4,1106,0,25
src/main/java/org/jsoup/parser/Tag.java,60,1107,252,196
src/main/java/org/jsoup/parser/Tokeniser.java,27,722,127,80
src/main/java/org/jsoup/parser/TokeniserState.java,36,722,222,266
src/main/java/org/jsoup/parser/Token.java,25,722,183,56
src/main/java/org/jsoup/parser/TokenQueue.java,44,1089,315,58
src/main/java/org/jsoup/parser/TokenStream.java,4,1109,0,8
src/main/java/org/jsoup/parser/TreeBuilder.java,20,722,45,650
src/main/java/org/jsoup/parser/TreeBuilderState.java,7,722,0,1482
src/main/java/org/jsoup/parser/XmlTreeBuilder.java,16,666,55,23
src/main/java/org/jsoup/safety/Cleaner.java,20,1049,171,1
src/main/java/org/jsoup/safety/package-info.java,2,991,1,1
src/main/java/org/jsoup/safety/Whitelist.java,34,1049,555,26
src/main/java/org/jsoup/select/Collector.java,12,1088,74,12
src/main/java/org/jsoup/select/CombiningEvaluator.java,10,747,39,7
src/main/java/org/jsoup/select/ElementList.java,4,1084,0,68
src/main/java/org/jsoup/select/Elements.java,46,1081,601,35
src/main/java/org/jsoup/select/Evaluator.java,25,753,323,24
src/main/java/org/jsoup/select/ng/AndSelector.java,10,792,0,27
src/main/java/org/jsoup/select/ng/AttrSelector.java,3,791,0,96
src/main/java/org/jsoup/select/ng/BasicSelector.java,4,792,0,30
src/main/java/org/jsoup/select/ng/ClassSelector.java,2,792,0,25
src/main/java/org/jsoup/select/ng/ElementContainerSelector.java,3,778,0,38
src/main/java/org/jsoup/select/ng/ElementSelector.java,7,792,0,39
src/main/java/org/jsoup/select/ng/HasSelector.java,4,773,0,32
src/main/java/org/jsoup/select/ng/IdSelector.java,2,792,0,25
src/main/java/org/jsoup/select/ng/ImmediateParentSelector.java,5,787,0,25
src/main/java/org/jsoup/select/ng/ImmediatePreviousSiblingSelector.java,2,760,0,39
src/main/java/org/jsoup/select/ng/ListSelector.java,3,792,0,30
src/main/java/org/jsoup/select/ng/NextSiblingSelector.java,2,787,0,23
src/main/java/org/jsoup/select/ng/NotSelector.java,7,792,0,23
src/main/java/org/jsoup/select/ng/OrSelector.java,8,786,0,30
src/main/java/org/jsoup/select/ng/ParentSelector.java,6,787,0,28
src/main/java/org/jsoup/select/ng/parser/Parser.java,6,776,0,289
src/main/java/org/jsoup/select/ng/PreviousSequentSiblingSelector.java,5,781,0,31
src/main/java/org/jsoup/select/ng/PrevioustSiblingSelector.java,2,760,0,46
src/main/java/org/jsoup/select/ng/PrevSiblingSelector.java,5,781,0,23
src/main/java/org/jsoup/select/ng/RootSelector.java,3,765,0,13
src/main/java/org/jsoup/select/ng/SelectMatch.java,5,792,0,58
src/main/java/org/jsoup/select/ng/Selector.java,2,792,0,7
src/main/java/org/jsoup/select/ng/SequentSiblingSelector.java,2,787,0,31
src/main/java/org/jsoup/select/ng/TagSelector.java,2,792,0,23
src/main/java/org/jsoup/select/NodeFilter.java,2,45,1,1
src/main/java/org/jsoup/select/NodeTraversor.java,12,903,105,3
src/main/java/org/jsoup/select/NodeVisitor.java,4,903,23,3
src/main/java/org/jsoup/select/package-info.java,1,991,0,0
src/main/java/org/jsoup/select/QueryParser.java,16,753,140,36
src/main/java/org/jsoup/select/Selector.java,56,1084,142,74
src/main/java/org/jsoup/select/selectors/AndSelector.java,3,753,0,57
src/main/java/org/jsoup/select/selectors/BasicSelector.java,2,753,0,20
src/main/java/org/jsoup/select/selectors/HasSelector.java,2,753,0,31
src/main/java/org/jsoup/select/selectors/ImmediateParentSelector.java,2,753,0,25
src/main/java/org/jsoup/select/selectors/ImmediatePreviousSiblingSelector.java,2,753,0,30
src/main/java/org/jsoup/select/selectors/NotSelector.java,2,753,0,28
src/main/java/org/jsoup/select/selectors/OrSelector.java,2,753,0,41
src/main/java/org/jsoup/select/selectors/ParentSelector.java,2,753,0,37
src/main/java/org/jsoup/select/selectors/PreviousSiblingSelector.java,2,753,0,40
src/main/java/org/jsoup/select/selectors/RootSelector.java,2,753,0,18
src/main/java/org/jsoup/select/StructuralEvaluator.java,5,747,13,1
src/main/java/org/jsoup/SerializationException.java,2,423,5,9
src/main/java/org/jsoup/UncheckedIOException.java,1,95,0,0
src/main/java/org/jsoup/UnsupportedMimeTypeException.java,1,588,0,0
src/test/java/org/jsoup/DataUtilTest.java,2,894,0,15
src/test/java/org/jsoup/EntitiesTest.java,2,875,0,18
src/test/java/org/jsoup/helper/DataUtilTest.java,13,852,147,2
src/test/java/org/jsoup/helper/HttpConnectionTest.java,15,835,216,2
src/test/java/org/jsoup/helper/StringUtilTest.java,8,861,63,5
src/test/java/org/jsoup/helper/W3CDomTest.java,7,412,68,15
src/test/java/org/jsoup/integration/Benchmark.java,1,1024,0,0
src/test/java/org/jsoup/integration/ConnectTest.java,11,32,344,3
src/test/java/org/jsoup/integration/ParseTest.java,24,1066,175,29
src/test/java/org/jsoup/integration/servlets/BaseServlet.java,2,32,12,1
src/test/java/org/jsoup/integration/servlets/EchoServlet.java,2,30,34,2
src/test/java/org/jsoup/integration/servlets/HelloServlet.java,1,32,0,0
src/test/java/org/jsoup/integration/servlets/SlowRider.java,4,29,25,5
src/test/java/org/jsoup/integration/TestServer.java,3,32,5,3
src/test/java/org/jsoup/integration/UrlConnectTest.java,68,996,657,9
src/test/java/org/jsoup/internal/ConstrainableInputStreamTest.java,1,34,0,0
src/test/java/org/jsoup/MultiLocaleRule.java,1,128,0,0
src/test/java/org/jsoup/nodes/AttributesTest.java,8,848,135,14
src/test/java/org/jsoup/nodes/AttributeTest.java,2,838,9,2
src/test/java/org/jsoup/nodes/BuildEntities.java,3,187,15,14
src/test/java/org/jsoup/nodes/DocumentTest.java,41,1069,445,2
src/test/java/org/jsoup/nodes/DocumentTypeTest.java,5,693,39,10
src/test/java/org/jsoup/nodes/ElementTest.java,91,1096,1251,7
src/test/java/org/jsoup/nodes/EntitiesTest.java,20,874,139,15
src/test/java/org/jsoup/nodes/FormElementTest.java,7,537,62,4
src/test/java/org/jsoup/nodes/NodeTest.java,24,1067,292,6
src/test/java/org/jsoup/nodes/TextNodeTest.java,8,960,55,5
src/test/java/org/jsoup/org/jsoup/safety/CleanerTest.java,10,1047,0,26
src/test/java/org/jsoup/parser/AttributeParserTest.java,2,1103,0,52
src/test/java/org/jsoup/parser/AttributeParseTest.java,11,1090,65,7
src/test/java/org/jsoup/parser/CharacterReaderTest.java,7,694,197,0
src/test/java/org/jsoup/parser/HtmlParserTest.java,54,666,472,19
src/test/java/org/jsoup/parser/HtmlTreeBuilderStateTest.java,1,19,0,0
src/test/java/org/jsoup/parser/HtmlTreeBuilderTest.java,1,19,0,0
src/test/java/org/jsoup/parser/ParserSettingsTest.java,2,201,33,10
src/test/java/org/jsoup/parser/ParserTest.java,65,1106,0,19
src/test/java/org/jsoup/parser/TagTest.java,5,1107,23,31
src/test/java/org/jsoup/parser/TokeniserTest.java,3,9,121,1
src/test/java/org/jsoup/parser/TokenisetStateTest.java,1,5,0,0
src/test/java/org/jsoup/parser/TokenQueueTest.java,6,912,49,2
src/test/java/org/jsoup/parser/TokenStreamTest.java,4,1109,0,8
src/test/java/org/jsoup/parser/TokenTest.java,2,1106,0,78
src/test/java/org/jsoup/parser/XmlTreeBuilderTest.java,14,666,168,0
src/test/java/org/jsoup/safety/CleanerTest.java,25,926,204,13
src/test/java/org/jsoup/select/CssTest.java,2,602,12,5
src/test/java/org/jsoup/select/ElementListTest.java,3,1082,0,21
src/test/java/org/jsoup/select/ElementsTest.java,34,1080,369,2
src/test/java/org/jsoup/select/ParserSelectorNG.java,3,772,0,604
src/test/java/org/jsoup/select/QueryParserTest.java,3,639,8,0
src/test/java/org/jsoup/select/SelectorNGTest.java,5,783,0,606
src/test/java/org/jsoup/select/SelectorTest.java,56,1084,730,16
src/test/java/org/jsoup/select/TraversorTest.java,1,43,0,0
src/test/java/org/jsoup/TextUtil.java,5,998,1,1
