ClassName,Changes,TotalCommits,Insertions,Deletions
src/experimental/org/apache/commons/math/analysis/derivative/AbstractDifferenceDerivative.java,6,1644,16,53
src/experimental/org/apache/commons/math/analysis/derivative/BackwardDifferenceDerivative.java,6,1644,16,53
src/experimental/org/apache/commons/math/analysis/derivative/CenterDifferenceDerivative.java,6,1644,16,53
src/experimental/org/apache/commons/math/analysis/derivative/ForwardDifferenceDerivative.java,6,1644,16,53
src/experimental/org/apache/commons/math/analysis/DerivativeOperatorFactory.java,4,1646,14,4
src/experimental/org/apache/commons/math/analysis/DerivativeOperatorFactoryTest.java,5,1646,14,4
src/experimental/org/apache/commons/math/analysis/FunctionOperator.java,2,1646,13,3
src/experimental/org/apache/commons/math/analysis/UnivariateRealFunctionProxy.java,6,1644,16,53
src/experimental/org/apache/commons/math/analysis/UnivariateRealFunctionUtils.java,6,1644,16,53
src/experimental/org/apache/commons/math/analysis/UnivariateRealFunctionUtilsTest.java,6,1644,14,51
src/experimental/org/apache/commons/math/function/Compilable.java,6,1646,17,54
src/experimental/org/apache/commons/math/function/DefaultContext.java,7,1646,18,55
src/experimental/org/apache/commons/math/function/EvaluationContext.java,6,1646,17,54
src/experimental/org/apache/commons/math/function/EvaluationException.java,7,1646,19,54
src/experimental/org/apache/commons/math/function/Evaluation.java,6,1646,17,54
src/experimental/org/apache/commons/math/function/simple/Add.java,6,1646,18,57
src/experimental/org/apache/commons/math/function/simple/Divide.java,6,1646,18,57
src/experimental/org/apache/commons/math/function/simple/Equals.java,6,1646,18,57
src/experimental/org/apache/commons/math/function/simple/Multiply.java,6,1646,18,57
src/experimental/org/apache/commons/math/function/simple/Power.java,6,1646,18,57
src/experimental/org/apache/commons/math/function/simple/Sqrt.java,6,1646,18,57
src/experimental/org/apache/commons/math/function/simple/Subtract.java,6,1646,18,57
src/experimental/org/apache/commons/math/function/Variable.java,6,1646,18,57
src/experimental/org/apache/commons/math/linear/CholeskySolver.java,6,1643,16,53
src/experimental/org/apache/commons/math/linear/CholeskySolverTest.java,6,1643,23,60
src/experimental/org/apache/commons/math/linear/Decomposer.java,6,1646,15,5
src/experimental/org/apache/commons/math/linear/DecompositionFactory.java,5,1646,14,4
src/experimental/org/apache/commons/math/linear/Decomposition.java,5,1646,14,4
src/experimental/org/apache/commons/math/linear/RealVector.java,4,1646,13,3
src/experimental/org/apache/commons/math/linear/RecursiveLayoutRealMatrix.java,3,334,47,74
src/experimental/org/apache/commons/math/linear/RecursiveLayoutRealMatrixTest.java,1,334,0,0
src/experimental/org/apache/commons/math/stat/univariate/BeanListUnivariateImpl.java,4,1430,8,7
src/experimental/org/apache/commons/math/stat/univariate/BeanListUnivariateImplTest.java,4,1430,16,15
src/experimental/org/apache/commons/math/util/BeanTransformer.java,5,1177,7,6
src/experimental/org/apache/commons/math/util/BeanTransformerTest.java,5,1177,7,6
src/java/org/apache/commons/math/AbstractStoreUnivariate.java,4,1857,0,252
src/java/org/apache/commons/math/analysis/BisectionSolver.java,26,1674,0,138
src/java/org/apache/commons/math/analysis/BrentSolver.java,33,1674,0,198
src/java/org/apache/commons/math/analysis/ConvergenceException.java,7,1674,0,97
src/java/org/apache/commons/math/analysis/CubicSplineFunction.java,14,1674,0,162
src/java/org/apache/commons/math/analysis/DifferentiableMultivariateRealFunction.java,1,298,0,0
src/java/org/apache/commons/math/analysis/DifferentiableMultivariateVectorialFunction.java,2,298,0,38
src/java/org/apache/commons/math/analysis/DifferentiableUnivariateMatrixFunction.java,1,298,0,0
src/java/org/apache/commons/math/analysis/DifferentiableUnivariateRealFunction.java,4,1544,9,8
src/java/org/apache/commons/math/analysis/DifferentiableUnivariateVectorialFunction.java,1,298,0,0
src/java/org/apache/commons/math/analysis/DividedDifferenceInterpolator.java,9,1082,0,119
src/java/org/apache/commons/math/analysis/integration/LegendreGaussIntegrator.java,3,368,1,4
src/java/org/apache/commons/math/analysis/integration/RombergIntegrator.java,6,380,34,29
src/java/org/apache/commons/math/analysis/integration/SimpsonIntegrator.java,6,380,33,28
src/java/org/apache/commons/math/analysis/integration/TrapezoidIntegrator.java,6,380,38,31
src/java/org/apache/commons/math/analysis/integration/UnivariateRealIntegratorImpl.java,5,380,50,131
src/java/org/apache/commons/math/analysis/integration/UnivariateRealIntegrator.java,4,380,21,70
src/java/org/apache/commons/math/analysis/interpolation/DividedDifferenceInterpolator.java,1,380,0,0
src/java/org/apache/commons/math/analysis/interpolation/LoessInterpolator.java,1,61,0,0
src/java/org/apache/commons/math/analysis/interpolation/NevilleInterpolator.java,1,380,0,0
src/java/org/apache/commons/math/analysis/interpolation/SplineInterpolator.java,2,380,8,4
src/java/org/apache/commons/math/analysis/interpolation/UnivariateRealInterpolator.java,1,380,0,0
src/java/org/apache/commons/math/analysis/LaguerreSolver.java,9,1082,0,319
src/java/org/apache/commons/math/analysis/minimization/BrentMinimizer.java,3,377,0,204
src/java/org/apache/commons/math/analysis/minimization/UnivariateRealMinimizerImpl.java,4,377,0,134
src/java/org/apache/commons/math/analysis/minimization/UnivariateRealMinimizer.java,3,377,0,118
src/java/org/apache/commons/math/analysis/MullerSolver.java,9,1082,0,277
src/java/org/apache/commons/math/analysis/MultivariateMatrixFunction.java,2,298,1,2
src/java/org/apache/commons/math/analysis/MultivariateRealFunction.java,2,298,1,3
src/java/org/apache/commons/math/analysis/MultivariateVectorialFunction.java,2,298,1,3
