ClassName,Changes,TotalCommits,Insertions,Deletions
buildSrc/src/main/groovy/org/mockito/release/comparison/BinaryComparator.java,4,277,0,32
buildSrc/src/main/groovy/org/mockito/release/comparison/FileHasher.java,2,278,0,51
buildSrc/src/main/groovy/org/mockito/release/comparison/PomComparator.java,4,219,0,0
buildSrc/src/main/groovy/org/mockito/release/comparison/PublicationsComparator.java,4,219,0,0
buildSrc/src/main/groovy/org/mockito/release/comparison/PublicationsComparatorTask.java,9,219,0,0
buildSrc/src/main/groovy/org/mockito/release/comparison/SourceJarComparator.java,4,284,0,15
buildSrc/src/main/groovy/org/mockito/release/comparison/ZipComparator.java,6,219,0,0
buildSrc/src/main/groovy/org/mockito/release/comparison/ZipCompare.java,7,219,27,15
buildSrc/src/main/groovy/org/mockito/release/exec/DefaultProcessRunner.java,1,119,0,0
buildSrc/src/main/groovy/org/mockito/release/exec/Exec.java,1,119,0,0
buildSrc/src/main/groovy/org/mockito/release/exec/ProcessRunner.java,1,119,0,0
buildSrc/src/main/groovy/org/mockito/release/git/DefaultGitAuthor.java,2,119,15,1
buildSrc/src/main/groovy/org/mockito/release/git/DefaultGitTool.java,3,120,15,5
buildSrc/src/main/groovy/org/mockito/release/git/GitAuthor.java,2,120,6,1
buildSrc/src/main/groovy/org/mockito/release/git/Git.java,3,120,10,2
buildSrc/src/main/groovy/org/mockito/release/git/GitTool.java,2,120,7,1
buildSrc/src/main/groovy/org/mockito/release/notes/Contribution.java,3,244,0,29
buildSrc/src/main/groovy/org/mockito/release/notes/exec/DefaultProcessRunner.java,2,219,0,42
buildSrc/src/main/groovy/org/mockito/release/notes/exec/Exec.java,6,219,0,10
buildSrc/src/main/groovy/org/mockito/release/notes/exec/ProcessRunner.java,4,219,0,15
buildSrc/src/main/groovy/org/mockito/release/notes/GitCommit.java,2,244,0,7
buildSrc/src/main/groovy/org/mockito/release/notes/GitNotesBuilder.java,6,219,1,2
buildSrc/src/main/groovy/org/mockito/release/notes/improvements/DefaultImprovements.java,5,219,4,0
buildSrc/src/main/groovy/org/mockito/release/notes/improvements/GitHubAuthToken.java,5,219,0,0
buildSrc/src/main/groovy/org/mockito/release/notes/improvements/GitHubImprovementsProvider.java,7,219,3,3
buildSrc/src/main/groovy/org/mockito/release/notes/improvements/GitHubTicketFetcher.java,9,219,187,22
buildSrc/src/main/groovy/org/mockito/release/notes/improvements/Improvement.java,5,219,2,2
buildSrc/src/main/groovy/org/mockito/release/notes/improvements/ImprovementSet.java,4,219,0,0
buildSrc/src/main/groovy/org/mockito/release/notes/improvements/ImprovementSetProvider.java,2,231,0,8
buildSrc/src/main/groovy/org/mockito/release/notes/improvements/Improvements.java,6,219,3,3
buildSrc/src/main/groovy/org/mockito/release/notes/improvements/ImprovementsProvider.java,3,219,0,0
buildSrc/src/main/groovy/org/mockito/release/notes/internal/Contribution.java,2,242,0,29
buildSrc/src/main/groovy/org/mockito/release/notes/internal/GitCommit.java,2,242,0,7
buildSrc/src/main/groovy/org/mockito/release/notes/internal/Improvement.java,2,242,0,13
buildSrc/src/main/groovy/org/mockito/release/notes/internal/PreviousVersionProvider.java,2,287,0,12
buildSrc/src/main/groovy/org/mockito/release/notes/NotesBuilder.java,6,219,0,0
buildSrc/src/main/groovy/org/mockito/release/notes/Notes.java,6,219,0,0
buildSrc/src/main/groovy/org/mockito/release/notes/NotesPrinter.java,3,219,0,0
buildSrc/src/main/groovy/org/mockito/release/notes/PreviousVersionProvider.java,2,241,0,12
buildSrc/src/main/groovy/org/mockito/release/notes/ReleaseNotesBuilderFactory.java,7,415,0,10
buildSrc/src/main/groovy/org/mockito/release/notes/ReleaseNotesBuilder.java,7,415,0,23
buildSrc/src/main/groovy/org/mockito/release/notes/ReleaseNotesServices.java,3,287,0,66
buildSrc/src/main/groovy/org/mockito/release/notes/util/HumanReadable.java,3,219,0,0
buildSrc/src/main/groovy/org/mockito/release/notes/util/IOUtil.java,4,218,40,14
buildSrc/src/main/groovy/org/mockito/release/notes/util/Predicate.java,3,219,0,0
buildSrc/src/main/groovy/org/mockito/release/notes/util/ReleaseNotesException.java,4,219,0,0
buildSrc/src/main/groovy/org/mockito/release/notes/vcs/Commit.java,5,219,0,0
buildSrc/src/main/groovy/org/mockito/release/notes/vcs/Contribution.java,5,219,0,0
buildSrc/src/main/groovy/org/mockito/release/notes/vcs/ContributionSet.java,6,219,0,0
buildSrc/src/main/groovy/org/mockito/release/notes/vcs/ContributionsProvider.java,4,219,0,0
buildSrc/src/main/groovy/org/mockito/release/notes/vcs/DefaultContribution.java,5,240,0,36
buildSrc/src/main/groovy/org/mockito/release/notes/vcs/DefaultContributionSet.java,10,219,0,0
buildSrc/src/main/groovy/org/mockito/release/notes/vcs/GitCommit.java,5,219,0,0
buildSrc/src/main/groovy/org/mockito/release/notes/vcs/GitContributionsProvider.java,5,219,0,0
buildSrc/src/main/groovy/org/mockito/release/notes/vcs/GitLogProvider.java,4,219,1,1
buildSrc/src/main/groovy/org/mockito/release/notes/vcs/IgnoreCiSkip.java,3,219,0,0
buildSrc/src/main/groovy/org/mockito/release/notes/vcs/TicketParser.java,3,219,0,0
buildSrc/src/main/groovy/org/mockito/release/notes/vcs/Vcs.java,8,219,1,1
buildSrc/src/main/groovy/org/mockito/release/notes/versions/FromNotesContent.java,4,219,0,0
buildSrc/src/main/groovy/org/mockito/release/notes/versions/PreviousVersion.java,3,219,0,0
buildSrc/src/main/groovy/org/mockito/release/notes/versions/Versions.java,4,219,0,0
buildSrc/src/main/groovy/org/mockito/release/steps/ConfigurableReleaseStep.java,2,121,11,1
buildSrc/src/main/groovy/org/mockito/release/steps/DefaultReleaseStep.java,6,146,42,11
buildSrc/src/main/groovy/org/mockito/release/steps/DefaultReleaseSteps.java,10,146,36,5
buildSrc/src/main/groovy/org/mockito/release/steps/ReleaseStep.java,6,146,5,1
buildSrc/src/main/groovy/org/mockito/release/steps/ReleaseSteps.java,5,146,6,2
buildSrc/src/main/groovy/org/mockito/release/steps/Steps.java,1,146,0,0
buildSrc/src/main/groovy/org/mockito/release/util/ArgumentValidation.java,3,219,0,0
buildSrc/src/main/groovy/org/mockito/release/util/InputOutput.java,4,219,0,23
buildSrc/src/main/groovy/org/mockito/release/util/operations/Operation.java,1,146,0,0
buildSrc/src/main/groovy/org/mockito/release/util/operations/Operations.java,1,146,0,0
buildSrc/src/main/groovy/org/mockito/release/version/DefaultVersionFile.java,1,81,0,0
buildSrc/src/main/groovy/org/mockito/release/version/DefaultVersionTool.java,3,85,0,22
buildSrc/src/main/groovy/org/mockito/release/version/VersionBumper.java,2,82,3,0
buildSrc/src/main/groovy/org/mockito/release/version/VersionFile.java,1,81,0,0
buildSrc/src/main/groovy/org/mockito/release/version/Version.java,4,85,5,3
buildSrc/src/main/groovy/org/mockito/release/version/VersionTool.java,3,85,0,12
buildSrc/src/main/java/org/mockito/release/comparison/PomComparator.java,2,220,0,31
buildSrc/src/main/java/org/mockito/release/comparison/PublicationsComparator.java,2,220,0,26
buildSrc/src/main/java/org/mockito/release/comparison/PublicationsComparatorTask.java,2,220,0,42
buildSrc/src/main/java/org/mockito/release/comparison/ZipComparator.java,2,220,0,46
buildSrc/src/main/java/org/mockito/release/comparison/ZipCompare.java,2,220,0,120
buildSrc/src/main/java/org/mockito/release/notes/exec/DefaultProcessRunner.java,2,220,0,42
buildSrc/src/main/java/org/mockito/release/notes/exec/Exec.java,2,220,0,10
buildSrc/src/main/java/org/mockito/release/notes/exec/ProcessRunner.java,2,220,0,15
buildSrc/src/main/java/org/mockito/release/notes/GitNotesBuilder.java,2,220,0,44
buildSrc/src/main/java/org/mockito/release/notes/improvements/DefaultImprovements.java,2,220,0,25
buildSrc/src/main/java/org/mockito/release/notes/improvements/GitHubAuthToken.java,2,220,0,20
buildSrc/src/main/java/org/mockito/release/notes/improvements/GitHubImprovementsProvider.java,2,220,0,22
buildSrc/src/main/java/org/mockito/release/notes/improvements/GitHubTicketFetcher.java,2,220,0,47
buildSrc/src/main/java/org/mockito/release/notes/improvements/Improvement.java,2,220,0,24
buildSrc/src/main/java/org/mockito/release/notes/improvements/ImprovementSet.java,2,220,0,14
buildSrc/src/main/java/org/mockito/release/notes/improvements/Improvements.java,2,220,0,16
buildSrc/src/main/java/org/mockito/release/notes/improvements/ImprovementsProvider.java,2,220,0,8
buildSrc/src/main/java/org/mockito/release/notes/NotesBuilder.java,2,220,0,16
buildSrc/src/main/java/org/mockito/release/notes/Notes.java,2,220,0,30
buildSrc/src/main/java/org/mockito/release/notes/NotesPrinter.java,2,220,0,20
buildSrc/src/main/java/org/mockito/release/notes/util/HumanReadable.java,2,220,0,12
buildSrc/src/main/java/org/mockito/release/notes/util/Predicate.java,2,220,0,12
buildSrc/src/main/java/org/mockito/release/notes/util/ReleaseNotesException.java,2,220,0,8
buildSrc/src/main/java/org/mockito/release/notes/vcs/Commit.java,2,220,0,26
buildSrc/src/main/java/org/mockito/release/notes/vcs/Contribution.java,2,220,0,37
buildSrc/src/main/java/org/mockito/release/notes/vcs/ContributionSet.java,2,220,0,26
buildSrc/src/main/java/org/mockito/release/notes/vcs/ContributionsProvider.java,2,220,0,12
buildSrc/src/main/java/org/mockito/release/notes/vcs/DefaultContributionSet.java,2,220,0,62
buildSrc/src/main/java/org/mockito/release/notes/vcs/GitCommit.java,2,220,0,35
buildSrc/src/main/java/org/mockito/release/notes/vcs/GitContributionsProvider.java,2,220,0,41
buildSrc/src/main/java/org/mockito/release/notes/vcs/GitLogProvider.java,2,220,0,17
buildSrc/src/main/java/org/mockito/release/notes/vcs/IgnoreCiSkip.java,2,220,0,16
buildSrc/src/main/java/org/mockito/release/notes/vcs/TicketParser.java,2,220,0,23
buildSrc/src/main/java/org/mockito/release/notes/vcs/Vcs.java,2,220,0,16
buildSrc/src/main/java/org/mockito/release/notes/versions/FromNotesContent.java,2,220,0,28
buildSrc/src/main/java/org/mockito/release/notes/versions/PreviousVersion.java,2,220,0,12
buildSrc/src/main/java/org/mockito/release/notes/versions/Versions.java,2,220,0,14
buildSrc/src/main/java/org/mockito/release/util/ArgumentValidation.java,2,220,0,31
buildSrc/src/main/java/org/mockito/release/util/InputOutput.java,2,220,0,23
cglib-and-asm/src/org/mockito/asm/AnnotationVisitor.java,1,1576,0,0
cglib-and-asm/src/org/mockito/asm/AnnotationWriter.java,1,1576,0,0
cglib-and-asm/src/org/mockito/asm/Attribute.java,1,1576,0,0
cglib-and-asm/src/org/mockito/asm/ByteVector.java,1,1576,0,0
cglib-and-asm/src/org/mockito/asm/ClassAdapter.java,1,1576,0,0
cglib-and-asm/src/org/mockito/asm/ClassReader.java,1,1576,0,0
cglib-and-asm/src/org/mockito/asm/ClassVisitor.java,1,1576,0,0
cglib-and-asm/src/org/mockito/asm/ClassWriter.java,1,1576,0,0
cglib-and-asm/src/org/mockito/asm/Edge.java,1,1576,0,0
cglib-and-asm/src/org/mockito/asm/FieldVisitor.java,1,1576,0,0
cglib-and-asm/src/org/mockito/asm/FieldWriter.java,1,1576,0,0
cglib-and-asm/src/org/mockito/asm/Frame.java,1,1576,0,0
cglib-and-asm/src/org/mockito/asm/Handler.java,1,1576,0,0
cglib-and-asm/src/org/mockito/asm/Item.java,1,1576,0,0
cglib-and-asm/src/org/mockito/asm/Label.java,1,1576,0,0
cglib-and-asm/src/org/mockito/asm/MethodAdapter.java,1,1576,0,0
cglib-and-asm/src/org/mockito/asm/MethodVisitor.java,1,1576,0,0
cglib-and-asm/src/org/mockito/asm/MethodWriter.java,1,1576,0,0
cglib-and-asm/src/org/mockito/asm/Opcodes.java,1,1576,0,0
cglib-and-asm/src/org/mockito/asm/signature/SignatureReader.java,1,1576,0,0
cglib-and-asm/src/org/mockito/asm/signature/SignatureVisitor.java,1,1576,0,0
cglib-and-asm/src/org/mockito/asm/signature/SignatureWriter.java,1,1576,0,0
cglib-and-asm/src/org/mockito/asm/tree/AbstractInsnNode.java,1,1576,0,0
cglib-and-asm/src/org/mockito/asm/tree/analysis/AnalyzerException.java,1,1576,0,0
cglib-and-asm/src/org/mockito/asm/tree/analysis/Analyzer.java,1,1576,0,0
cglib-and-asm/src/org/mockito/asm/tree/analysis/BasicInterpreter.java,1,1576,0,0
cglib-and-asm/src/org/mockito/asm/tree/analysis/BasicValue.java,1,1576,0,0
cglib-and-asm/src/org/mockito/asm/tree/analysis/BasicVerifier.java,1,1576,0,0
cglib-and-asm/src/org/mockito/asm/tree/analysis/Frame.java,1,1576,0,0
cglib-and-asm/src/org/mockito/asm/tree/analysis/Interpreter.java,1,1576,0,0
cglib-and-asm/src/org/mockito/asm/tree/analysis/SimpleVerifier.java,1,1576,0,0
cglib-and-asm/src/org/mockito/asm/tree/analysis/SmallSet.java,1,1576,0,0
cglib-and-asm/src/org/mockito/asm/tree/analysis/SourceInterpreter.java,1,1576,0,0
cglib-and-asm/src/org/mockito/asm/tree/analysis/SourceValue.java,1,1576,0,0
cglib-and-asm/src/org/mockito/asm/tree/analysis/Subroutine.java,1,1576,0,0
cglib-and-asm/src/org/mockito/asm/tree/analysis/Value.java,1,1576,0,0
cglib-and-asm/src/org/mockito/asm/tree/AnnotationNode.java,1,1576,0,0
cglib-and-asm/src/org/mockito/asm/tree/ClassNode.java,1,1576,0,0
